partnerid,MaxSameIpCount,NoOfUniqueIp,IpClickRatio,IpVariance,MaxSameAgentCount,NoOfUniqueAgent,AgentClickRatio,AgentVariance,MaxSameCidCount,NoOfUniqueCid,CidClickRatio,CidVariance,MaxSameCntrCount,NoOfUniqueCntr,CntrClickRatio,CntrVariance,TotalClicks,NoOfUniqueReferer,RefererClickRatio,NonRefererClickRatio,AvgClickPer1Min,AvgClickPer5Min,AvgClickPer3Hr,AvgClickPer6Hr,MaxClickPer1Min,MaxClickPer5Min,MaxClickPer3Hr,MaxClickPer6Hr,TimeatVariance1Min,TimeatVariance5Min,TimeatVariance3Hr,TimeatVariance6Hr,Skew1Min,Skew5Min,Skew3Hr,Skew6Hr,EntropyIplong,EntropyCid,EntropyAgent,EntropyCntr,CategoryPrior,status
8ihk7,1944,1895,0.4,1991.78,475,421,0.09,933.08,196,368,0.08,662.35,3667,68,0.01,194179.6,4782,1859,0.39,0.61,1.47,5.55,191.28,367.85,7,19,362,573,0.56,7.56,5185.08,20552.75,1.98,1.04,0.42,-0.6,7.26,7.05,7.04,1.84,4782,Observation
8ihkj,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,OK
8ihkt,105,106,0.44,101.04,70,70,0.29,70.39,16,54,0.23,18.28,203,12,0.05,3067.5,240,109,0.45,0.55,1.04,1.19,9.6,18.46,2,3,26,35,0.04,0.23,23.92,69.17,4.76,2.58,1.27,0.16,4.67,5.14,4.84,1.01,240,OK
8ihl1,1,3,1,0,3,1,0.33,0,1,3,1,0,3,1,0.33,0,3,3,1,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1.58,1.58,0,0,3,Fraud
8ihl9,58,139,0.62,23.83,29,90,0.4,12.78,143,53,0.24,371.91,115,30,0.13,420.38,224,60,0.27,0.73,1.05,1.27,9.74,17.23,2,4,38,54,0.05,0.4,58.89,178.79,4.05,2.69,2,1.32,5.95,2.89,5.78,3,224,OK
8ihlr,12,33,0.7,3.58,11,21,0.45,6.75,10,20,0.43,4.53,32,7,0.15,110.49,47,22,0.47,0.53,1.04,1.09,2.35,3.62,2,4,5,8,0.04,0.22,1.83,6.85,4.42,5.55,0.68,0.6,4.51,3.9,3.78,1.59,47,OK
8ihn7,24,35,0.57,14.71,8,41,0.67,1.66,6,37,0.61,1.47,43,9,0.15,171.73,61,18,0.3,0.7,1,1.07,3.59,6.1,1,2,8,10,0,0.07,2.36,7.69,0,3.37,1,-0.22,4.02,4.91,5.03,1.53,61,OK
8ihna,40,124,0.7,12.28,12,79,0.45,3.8,130,34,0.19,472.67,63,26,0.15,172.25,176,38,0.22,0.78,1.05,1.18,7.04,13.54,3,4,16,26,0.06,0.2,16.6,39.79,5.03,2.94,0.72,0.19,6.08,2.1,5.91,3.23,176,OK
8ihnk,2,14,0.93,0.07,3,11,0.73,0.41,3,9,0.6,0.44,15,1,0.07,0,15,2,0.13,0.87,1,1.07,1.88,2.14,1,2,4,4,0,0.07,1.36,1.84,0,3.33,0.72,0.43,3.77,3.06,3.32,0,15,OK
8ihot,5,2,0.33,4,3,4,0.67,0.75,1,6,1,0,2,5,0.83,0.16,6,1,0.17,0.83,1,1,1.2,1.2,1,1,2,2,0,0,0.16,0.16,0,0,1.5,1.5,0.65,2.58,1.79,2.25,6,OK
8ihpi,29387,9206,0.12,94970.32,10391,1630,0.02,88449.21,12361,396,0.01,935375.09,8667,105,0,999999.99,75376,20681,0.27,0.73,18,89.1,3015.04,5798.15,190,842,12979,20936,318.99,7476.87,999999.99,999999.99,3.63,3.69,2.24,1.93,7.14,5.03,7.5,5.23,75376,OK
8ihqx,134,15,0.08,1072.65,72,8,0.04,457.94,35,15,0.08,173.32,178,1,0.01,0,178,102,0.57,0.43,1.07,1.24,7.74,14.83,2,4,18,26,0.07,0.28,20.02,49.64,3.3,2.46,0.83,-0.29,1.62,3.01,2.4,0,178,OK
8ihrz,2,12,0.92,0.08,8,5,0.38,7.44,2,9,0.69,0.25,13,1,0.08,0,13,5,0.38,0.62,1,1.08,1.86,2.17,1,2,6,7,0,0.08,2.98,4.81,0,3.02,1.89,1.69,3.55,3.09,1.7,0,13,OK
8ihs5,22,11,0.34,36.45,6,22,0.69,1.16,19,12,0.38,24.39,7,9,0.28,6.47,32,13,0.41,0.59,1,1,2,3.2,1,1,4,6,0,0,0.75,2.16,0,0,0.58,0.22,1.93,2.35,4.2,2.8,32,OK
8ihsd,31,38,0.46,24.31,11,32,0.39,6.3,8,44,0.53,3.1,83,1,0.01,0,83,21,0.25,0.75,1.12,1.34,4.15,6.92,4,10,17,22,0.21,1.48,14.13,37.24,4.48,5.98,2,1.42,3.99,5.03,4.49,0,83,OK
8ihsp,11,27,0.55,3.85,9,28,0.57,2.33,5,29,0.59,1.46,38,5,0.1,199.36,49,10,0.2,0.8,1.07,1.11,2.45,4.45,3,3,7,12,0.1,0.15,3.55,10.07,5.18,3.56,1.09,1.14,4.27,4.56,4.47,1.2,49,OK
8ihth,4,9,0.64,1.14,4,10,0.71,0.84,3,10,0.71,0.44,8,5,0.36,7.36,14,6,0.43,0.57,1,1.27,2,2.33,1,3,4,7,0,0.38,1.14,4.56,0,2.08,0.7,1.62,2.9,3.18,3.09,1.75,14,OK
8ihtk,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,OK
8ihtv,30,51,0.58,16.12,9,47,0.53,2.45,61,19,0.22,178.34,44,16,0.18,114,88,33,0.38,0.63,1.07,1.19,3.67,7.33,3,6,12,14,0.09,0.48,6.56,12.06,4.49,5.13,1.74,0.54,4.6,2.06,5.2,2.54,88,OK
8ihue,1,3,1,0,1,3,1,0,1,3,1,0,3,1,0.33,0,3,2,0.67,0.33,1,1,1.5,1.5,1,1,2,2,0,0,0.25,0.25,0,0,0,0,1.58,1.58,1.58,0,3,OK
8ihuk,1,4,1,0,3,2,0.5,1,1,4,1,0,4,1,0.25,0,4,1,0.25,0.75,1,1,1.33,1.33,1,1,2,2,0,0,0.22,0.22,0,0,0.71,0.71,2,2,0.81,0,4,OK
8ihup,123,188,0.54,78.85,26,110,0.32,15.35,148,135,0.39,159.73,92,32,0.09,518.19,347,127,0.37,0.63,1.08,1.29,13.88,26.69,4,5,33,49,0.11,0.38,50.11,172.83,4.72,2.43,0.5,-0.19,5.73,4.84,6.1,3.29,347,OK
8ihuv,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,OK
8ihuy,2,2,0.67,0.25,2,2,0.67,0.25,1,3,1,0,3,1,0.33,0,3,1,0.33,0.67,1,1,1.5,1.5,1,1,2,2,0,0,0.25,0.25,0,0,0,0,0.92,1.58,0.92,0,3,OK
8ihv1,29,61,0.57,12.97,13,40,0.37,6.82,9,61,0.57,2.02,89,10,0.09,684.41,107,75,0.7,0.3,1.08,1.23,4.86,8.92,4,4,11,15,0.16,0.34,6.3,17.91,5.66,2.73,0.79,-0.07,5.01,5.6,4.8,1.1,107,OK
8ihvb,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,OK
8ihwi,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,OK
8ihwm,3,3,0.6,0.89,2,3,0.6,0.22,1,5,1,0,2,3,0.6,0.22,5,2,0.4,0.6,1,1.25,1.67,1.67,1,2,2,2,0,0.19,0.22,0.22,0,1.15,-0.71,-0.71,1.37,2.32,1.52,1.52,5,OK
8ihxc,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,OK
8ihxl,1,2,1,0,1,2,1,0,1,2,1,0,2,1,0.5,0,2,1,0.5,0.5,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1,1,0,2,OK
8ihxp,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,OK
8ihxy,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,OK
8ihy6,1,3,1,0,1,3,1,0,1,3,1,0,2,2,0.67,0.25,3,2,0.67,0.33,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1.58,1.58,1.58,0.92,3,OK
8ihyb,2,6,0.75,0.22,4,5,0.63,1.44,2,7,0.88,0.12,8,1,0.13,0,8,8,1,0,1,1,1.14,1.14,1,1,2,2,0,0,0.12,0.12,0,0,2.04,2.04,2.5,2.75,2,0,8,OK
8ihyi,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,OK
8ihz5,4,8,0.73,0.98,4,8,0.73,0.98,5,4,0.36,2.19,11,1,0.09,0,11,9,0.82,0.18,1,1,1.83,2.2,1,1,3,3,0,0,0.81,0.56,0,0,0.33,-0.34,2.73,1.79,2.73,0,11,OK
8ihzv,1,2,1,0,1,2,1,0,2,1,0.5,0,2,1,0.5,0,2,2,1,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,1,0,2,OK
8ihzw,6,2,0.29,6.25,2,6,0.86,0.14,2,6,0.86,0.14,5,2,0.29,2.25,7,6,0.86,0.14,1,1,1.17,1.4,1,1,2,3,0,0,0.14,0.64,0,0,1.79,1.5,0.59,2.52,2.52,0.86,7,OK
8ihzy,16,94,0.59,4.19,44,48,0.3,41.01,69,13,0.08,459.1,66,11,0.07,452.25,159,11,0.07,0.93,1.36,2.15,14.45,19.88,4,8,103,112,0.54,3.42,819.52,1280.61,1.92,1.75,2.63,2.04,6.01,2.07,4.48,2.2,159,OK
8ii07,4,9,0.75,0.89,3,10,0.83,0.36,2,11,0.92,0.08,8,4,0.33,8.5,12,6,0.5,0.5,1,1.2,1.5,1.71,1,2,4,4,0,0.16,1,1.06,0,1.5,1.88,1.38,2.92,3.42,3.19,1.42,12,OK
8ii0g,38,79,0.45,31.66,16,58,0.33,13.64,28,37,0.21,33.17,174,2,0.01,7482.25,175,20,0.11,0.89,1.08,1.22,7,13.46,3,6,19,34,0.09,0.37,23.92,63.79,3.8,4.33,1.04,1.11,4.89,4.44,5.12,0.05,175,OK
8ii0i,52,63,0.39,45.58,22,53,0.33,13.34,15,47,0.29,8.75,158,2,0.01,6084,160,19,0.12,0.88,1.07,1.22,6.96,12.31,3,4,12,24,0.08,0.28,10.82,43.75,4.39,2.65,-0.05,0.09,4.46,5.09,5.08,0.1,160,OK
8ii0k,73,12,0.14,393.19,53,17,0.2,147.52,45,4,0.05,321.69,86,2,0.02,1806.25,87,1,0.01,0.99,2.12,2.42,6.69,8.7,9,22,24,24,5.38,20.02,50.37,57.61,1.98,3.35,1.28,0.69,1.18,1.41,2.32,0.09,87,OK
8ii11,428,24,0.05,7255.33,237,32,0.07,2590.35,51,25,0.05,265.78,462,4,0.01,39617.69,469,198,0.42,0.58,1.5,3.07,21.32,39.08,5,14,50,87,0.74,7.7,246.22,856.91,2.1,1.55,0.32,0.45,0.8,4.07,1.86,0.14,469,OK
8ii14,11,17,0.47,5.52,12,18,0.5,6.22,7,18,0.5,2,36,1,0.03,0,36,15,0.42,0.58,1.06,1.29,2.12,3.27,2,3,4,6,0.06,0.35,1.16,3.11,3.75,1.93,0.61,0.08,3.55,3.89,3.57,0,36,OK
8ii1p,3,8,0.8,0.44,9,2,0.2,16,2,8,0.8,0.19,2,8,0.8,0.19,10,1,0.1,0.9,1,1,1.25,1.43,1,1,2,2,0,0,0.19,0.24,0,0,1.15,0.29,2.85,2.92,0.47,2.92,10,OK
8ii1r,193,269,0.47,137.31,49,116,0.2,44.6,184,137,0.24,245.07,529,12,0.02,21090.08,570,293,0.51,0.49,1.12,1.5,23.75,47.5,3,6,47,66,0.11,0.69,99.52,178.25,2.68,1.86,0.47,0.02,6.06,5.38,6,0.58,570,OK
8ii26,162,15,0.09,1612.86,79,16,0.09,345,159,9,0.05,2434.47,172,4,0.02,5461.5,176,154,0.88,0.13,1.13,1.63,9.78,16,3,5,56,86,0.12,0.96,273.4,745.82,2.65,1.69,1.97,1.8,0.7,0.7,2.78,0.19,176,OK
8ii2b,225,387,0.52,130.86,43,173,0.23,51.01,472,92,0.12,2389.65,306,39,0.05,3368.54,742,277,0.37,0.63,1.12,1.58,29.68,57.08,5,12,69,118,0.16,0.91,215.02,781.15,4.37,3.98,0.61,0.23,6.65,2.91,6.33,2.75,742,OK
8ii2l,2,2,0.67,0.25,2,2,0.67,0.25,1,3,1,0,3,1,0.33,0,3,3,1,0,1,1,1.5,1.5,1,1,2,2,0,0,0.25,0.25,0,0,0,0,0.92,1.58,0.92,0,3,OK
8ii2n,1,2,1,0,2,1,0.5,0,2,1,0.5,0,2,1,0.5,0,2,1,0.5,0.5,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,2,OK
8ii3a,14,62,0.28,11.46,88,52,0.23,141.83,11,82,0.37,5.15,224,1,0,0,224,36,0.16,0.84,1.11,1.39,9.33,18.67,3,6,26,40,0.13,0.7,50.22,89.89,3.31,2.62,1,0.75,5.43,5.95,4.17,0,224,OK
8ii4l,3,4,0.57,0.69,3,5,0.71,0.64,2,6,0.86,0.14,7,1,0.14,0,7,3,0.43,0.57,1.17,1.17,1.75,2.33,2,2,3,3,0.14,0.14,0.69,0.22,1.79,1.79,0.49,0.71,1.84,2.52,2.13,0,7,OK
8ii4n,1,2,1,0,2,1,0.5,0,1,2,1,0,2,1,0.5,0,2,1,0.5,0.5,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1,0,0,2,OK
8ii4y,2,1,0.5,0,1,2,1,0,1,2,1,0,1,2,1,0,2,2,1,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1,1,2,OK
8ii58,13,39,0.6,3.91,8,34,0.52,2.14,3,52,0.8,0.23,23,13,0.2,46.62,65,35,0.54,0.46,1.02,1.18,2.95,5,2,4,8,13,0.02,0.29,5.04,11.85,7.81,3.51,1.12,0.93,4.79,5.61,4.77,2.74,65,OK
8ii5a,15,18,0.51,10.16,6,22,0.63,1.42,2,28,0.8,0.19,10,9,0.26,11.21,35,23,0.66,0.34,1,1.06,2.06,3.18,1,3,5,6,0,0.12,1.7,2.88,0,5.48,1.16,0.05,3.28,4.73,4.17,2.67,35,OK
8ii5u,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,OK
8ii6o,4,4,0.44,1.19,3,4,0.44,0.69,3,5,0.56,0.56,4,4,0.44,1.19,9,1,0.11,0.89,1.13,1.13,1.5,2.25,2,2,2,4,0.11,0.11,0.25,1.69,2.27,2.27,0,0.21,1.84,2.2,1.89,1.84,9,OK
8ii7u,174,2,0.01,6806.25,179,2,0.01,7656.25,22,52,0.28,15.52,183,1,0.01,0,183,1,0.01,0.99,1.13,2.82,26.14,36.6,2,9,81,81,0.11,2.37,717.84,663.04,2.21,1.27,0.98,0.64,0.28,5.09,0.15,0,183,OK
8ii9a,99,177,0.59,54.03,29,104,0.35,15.06,15,84,0.28,7.89,260,8,0.03,7136.73,301,196,0.65,0.35,1.05,1.23,12.04,23.15,3,3,34,49,0.05,0.24,59.48,196.44,5.01,2.03,1.1,0.33,5.86,6.01,5.96,0.8,301,OK
8iiai,1,3,1,0,3,1,0.33,0,2,2,0.67,0.25,3,1,0.33,0,3,1,0.33,0.67,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1.58,0.92,0,0,3,OK
8iiby,4,3,0.5,2,4,3,0.5,2,3,4,0.67,0.75,4,3,0.5,2,6,1,0.17,0.83,1,1,1,1.5,1,1,1,2,0,0,0,0.25,0,0,0,0,1.25,1.79,1.25,1.25,6,OK
8iic8,2,1,0.5,0,1,2,1,0,2,1,0.5,0,2,1,0.5,0,2,1,0.5,0.5,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,1,0,2,OK
8iicn,1,6,1,0,2,5,0.83,0.16,2,4,0.67,0.25,4,2,0.33,1,6,4,0.67,0.33,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,2.58,1.92,2.25,0.92,6,OK
8iid3,248,456,0.56,134.21,160,206,0.25,137.03,30,201,0.25,17.04,622,51,0.06,7374.24,816,363,0.44,0.56,1.17,1.75,32.64,62.77,4,8,101,128,0.19,1.46,448.71,1023.25,2.71,2.42,2.07,0.5,6.87,7.08,6.26,1.97,816,OK
8iid4,2152,571,0.09,11842.93,486,342,0.05,2071.91,491,226,0.04,4877.17,2969,60,0.01,161500.6,6416,1274,0.2,0.8,7.02,16.24,256.64,493.54,25,81,1079,1474,31.16,599.81,111454.15,280499.63,0.39,1.19,1.1,0.75,4.66,5.71,6.68,3.02,6416,Fraud
8iidh,9,21,0.62,3.19,4,27,0.79,0.41,4,22,0.65,0.79,22,7,0.21,50.12,34,15,0.44,0.56,1.06,1.21,2.43,3.4,3,4,6,7,0.12,0.38,2.1,3.44,5.39,3.45,0.92,0.35,3.9,4.26,4.62,1.77,34,OK
8iidk,231,418,0.45,198.55,58,246,0.27,28.67,71,166,0.18,134.35,361,42,0.05,3839.13,928,75,0.08,0.92,1.39,2.03,37.12,71.38,23,45,246,270,2.44,15.74,1991.47,4002.08,7.07,8.33,4.06,2.24,6.13,5.83,7.16,3.12,928,OK
8iidm,683,1167,0.49,404.03,191,347,0.14,246.6,277,223,0.09,1323.2,1119,65,0.03,20641.55,2395,113,0.05,0.95,1.36,3.11,95.8,184.23,6,14,175,313,0.46,3.71,1183.28,5353.1,2.25,1.26,0.28,-0.25,7.74,5.17,6.92,3.14,2395,OK
8iidn,448,784,0.43,366.98,106,345,0.19,95.16,156,170,0.09,769.15,654,61,0.03,8976.04,1843,96,0.05,0.95,1.48,2.77,73.72,141.77,31,54,418,494,2.64,20.8,5606.04,13170.79,8.52,7.9,3.82,2.05,6.82,5.27,7.26,3.4,1843,OK
8iidr,611,923,0.41,519.82,173,377,0.17,169.57,144,246,0.11,483.09,1235,73,0.03,21895.5,2267,106,0.05,0.95,1.52,3.14,90.68,174.38,27,53,439,509,2.38,19.13,5839.26,12841.31,7.15,7.04,3.71,1.69,6.78,6.14,7.21,2.85,2267,OK
8iie9,3,11,0.85,0.33,5,6,0.46,2.14,6,6,0.46,3.14,11,2,0.15,20.25,13,6,0.46,0.54,1,1,1.44,1.63,1,1,4,4,0,0,0.91,0.98,0,0,2.07,1.57,3.33,2.2,2.29,0.62,13,OK
8iieo,2,2,0.67,0.25,2,2,0.67,0.25,1,3,1,0,1,3,1,0,3,2,0.67,0.33,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0.92,1.58,0.92,1.58,3,OK
8iig5,404,665,0.45,258.74,202,299,0.2,187.98,143,189,0.13,457.45,709,60,0.04,8707.57,1462,97,0.07,0.93,1.28,2.32,58.48,112.46,19,42,138,224,0.79,5.41,689.61,2572.09,9.61,9.09,1.02,0.34,7,5.47,6.65,3.19,1462,OK
8iigf,2,1,0.5,0,2,1,0.5,0,1,2,1,0,2,1,0.5,0,2,1,0.5,0.5,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,1,0,0,2,OK
8iigk,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,OK
8iigl,354,622,0.45,250.45,85,313,0.23,61.22,116,162,0.12,454.58,520,53,0.04,6170.17,1375,88,0.06,0.94,1.38,2.27,55,105.77,31,42,266,312,1.98,11.42,2090.72,4621.25,11.32,8.23,3.86,1.88,6.82,5.28,7.18,3.27,1375,OK
8iigz,19,22,0.37,23.76,10,29,0.49,3.55,14,11,0.19,16.78,53,7,0.12,331.1,59,16,0.27,0.73,1,1.04,2.95,5.9,1,2,7,9,0,0.03,3.35,4.09,0,5.05,0.51,-0.37,3.22,3.04,4.43,0.74,59,OK
8iih9,29,76,0.48,10.86,53,45,0.28,65.22,35,28,0.18,78.2,152,3,0.02,4870.22,160,15,0.09,0.91,1.13,1.68,8.89,14.55,5,6,55,71,0.22,0.95,192.77,410.98,5.12,1.62,2.37,1.98,5.59,3.7,4.14,0.33,160,OK
8iiii,1,3,1,0,1,3,1,0,1,3,1,0,3,1,0.33,0,3,3,1,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1.58,1.58,1.58,0,3,OK
8iiiv,1,4,1,0,4,1,0.25,0,2,2,0.5,0,4,1,0.25,0,4,1,0.25,0.75,1,1,1,1.33,1,1,1,2,0,0,0,0.22,0,0,0,0.71,2,1,0,0,4,OK
8iij1,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,OK
8iijd,2,2,0.67,0.25,2,2,0.67,0.25,1,3,1,0,3,1,0.33,0,3,2,0.67,0.33,1,1.5,1.5,1.5,1,2,2,2,0,0.25,0.25,0.25,0,0,0,0,0.92,1.58,0.92,0,3,OK
8iijk,33,78,0.55,15.97,12,86,0.61,2.95,7,69,0.49,2.61,48,25,0.18,109.74,142,65,0.46,0.54,1.03,1.16,5.92,10.92,2,5,16,28,0.03,0.25,11.49,39.92,5.61,4.56,1.18,1.27,5.2,5.74,6,3.31,142,OK
8iijt,489,674,0.43,358.02,132,260,0.17,179.28,70,262,0.17,108.25,806,68,0.04,9687.07,1554,670,0.43,0.57,1.29,2.3,62.16,119.54,12,20,130,219,0.49,2.82,839.25,3215.48,5.16,2.96,0.72,0.31,6.94,6.81,6.68,3.16,1554,OK
8iik1,448,561,0.36,547.04,101,417,0.27,54.2,166,256,0.16,304.8,592,57,0.04,9517.94,1553,208,0.13,0.87,1.51,2.86,62.12,119.46,7,19,213,394,1.02,9.48,3280.51,12430.86,2.42,2.45,1.54,1.64,5.81,6.29,7.67,3,1553,OK
8iilm,1,2,1,0,1,2,1,0,1,2,1,0,2,1,0.5,0,2,2,1,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1,1,0,2,OK
8iim7,1,2,1,0,1,2,1,0,1,2,1,0,2,1,0.5,0,2,2,1,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1,1,0,2,OK
8iimi,1,2,1,0,1,2,1,0,1,2,1,0,1,2,1,0,2,2,1,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1,1,1,2,OK
8iina,435,594,0.44,324.18,62,239,0.18,75.52,324,187,0.14,786.59,657,27,0.02,17394,1355,755,0.56,0.44,1.27,2.35,54.2,104.23,6,9,117,202,0.33,2.31,1031.84,3301.56,2.54,1.24,0.36,0.06,6.75,5.43,6.91,2.48,1355,OK
8iinm,1,2,1,0,2,1,0.5,0,1,2,1,0,2,1,0.5,0,2,1,0.5,0.5,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1,0,0,2,OK
8iiov,2,8,0.89,0.11,1,9,1,0,2,8,0.89,0.11,3,4,0.44,0.19,9,9,1,0,1,1.13,1.29,1.5,1,2,2,3,0,0.11,0.2,0.58,0,2.27,0.95,1.12,2.95,2.95,3.17,1.97,9,OK
8iiq8,1,5,1,0,1,5,1,0,1,5,1,0,5,1,0.2,0,5,2,0.4,0.6,1,1,1.67,1.67,1,1,3,3,0,0,0.89,0.89,0,0,0.71,0.71,2.32,2.32,2.32,0,5,OK
8iiqq,1,2,1,0,1,2,1,0,1,2,1,0,2,1,0.5,0,2,2,1,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1,1,0,2,OK
8iir0,36,4,0.08,204.69,48,2,0.04,552.25,8,26,0.53,2.79,47,3,0.06,470.22,49,2,0.04,0.96,1.11,1.69,5.44,7,2,6,25,25,0.1,1.25,50.47,58,2.44,2.26,2.23,1.75,1.04,4.29,0.14,0.29,49,OK
8iird,8,54,0.76,1.25,11,30,0.42,5.3,12,36,0.51,4.19,58,8,0.11,346.36,71,13,0.18,0.82,1,1.06,3.38,5.92,1,2,6,9,0,0.06,3.19,5.41,0,3.72,0.42,-0.26,5.47,4.7,4.4,1.14,71,OK
8iitn,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,OK
8iitu,74,232,0.69,23.06,43,99,0.29,28.75,14,132,0.39,5.43,294,16,0.05,4974.93,337,163,0.48,0.52,1.07,1.33,13.48,25.92,3,4,40,50,0.07,0.43,78.01,173.46,3.87,2.19,1.58,0.17,6.81,6.59,5.77,0.97,337,OK
8iitv,20,3,0.09,40.67,21,5,0.15,54.24,14,10,0.3,13.21,14,4,0.12,28.19,33,2,0.06,0.94,1.27,1.83,6.6,8.25,3,6,10,11,0.35,2.36,10.64,4.69,2.06,1.66,-0.71,-0.32,1.36,2.76,1.6,1.67,33,OK
8iivd,114,236,0.59,54.16,79,124,0.31,53.23,34,91,0.23,49.68,256,31,0.08,2003.43,398,175,0.44,0.56,1.06,1.34,15.92,30.62,3,6,33,57,0.07,0.48,62.07,228.24,4.79,2.96,0.37,0.03,6.38,5.38,5.88,2.39,398,OK
8iivr,8,84,0.63,1.24,99,7,0.05,1120.98,32,14,0.1,94.67,134,1,0.01,0,134,1,0.01,0.99,1.04,1.18,8.38,14.89,2,3,18,23,0.04,0.21,15.61,38.1,4.78,2.69,0.37,-0.11,6.13,3.09,1.23,0,134,OK
8iiwo,3,2,0.5,1,2,3,0.75,0.22,1,4,1,0,4,1,0.25,0,4,4,1,0,1,1,1.33,1.33,1,1,2,2,0,0,0.22,0.22,0,0,0.71,0.71,0.81,2,1.5,0,4,OK
8iix3,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,OK
8iixo,16,26,0.59,8.37,6,27,0.61,1.34,3,35,0.8,0.25,30,12,0.27,63.22,44,33,0.75,0.25,1.02,1.1,2.59,4,2,2,5,7,0.02,0.09,1.89,4.55,6.33,2.67,0.22,-0.17,3.85,5.03,4.48,1.98,44,OK
8iixv,10,21,0.58,3.73,6,19,0.53,2.52,21,9,0.25,37.56,35,2,0.06,289,36,6,0.17,0.83,1,1.13,2.4,3.27,1,2,9,9,0,0.11,4.77,5.11,0,2.27,1.86,1.31,3.89,2.11,3.84,0.18,36,OK
8iixy,3,4,0.67,0.75,1,6,1,0,5,2,0.33,4,5,2,0.33,4,6,6,1,0,1,1,1.2,1.2,1,1,2,2,0,0,0.16,0.16,0,0,1.5,1.5,1.79,0.65,2.58,0.65,6,OK
8iixz,2,3,0.6,0.22,2,3,0.6,0.22,1,5,1,0,2,3,0.6,0.22,5,3,0.6,0.4,1.25,1.67,1.67,1.67,2,2,2,2,0.19,0.22,0.22,0.22,1.15,-0.71,-0.71,-0.71,1.52,2.32,1.52,1.52,5,OK
