"partnerid","AvgClickPer5Min","AvgClickPer3Hr","AvgClickPer6Hr","status"
"8igih","1.00","1.00","2.00","OK"
"8igj2","1.07","2.50","3.75","OK"
"8igji","1.75","7.00","7.00","OK"
"8igkk","1.00","1.00","1.00","OK"
"8igkp","1.00","1.53","2.17","OK"
"8igl1","1.11","2.33","3.82","OK"
"8igl7","1.25","1.25","1.25","OK"
"8iglk","2.44","7.33","7.33","OK"
"8igm1","1.00","1.00","1.00","OK"
"8igm8","1.44","4.33","4.33","OK"
"8igmr","1.50","2.40","3.00","OK"
"8ign1","1.00","1.00","1.00","OK"
"8ignc","1.50","1.50","1.50","OK"
"8igne","1.00","1.00","1.25","OK"
"8igo3","1.27","1.73","2.38","OK"
"8igo7","1.23","8.00","16.00","OK"
"8igox","1.06","1.50","2.00","OK"
"8igpd","2.00","4.00","4.00","OK"
"8igpr","1.00","1.00","1.25","OK"
"8igql","1.44","1.86","2.60","OK"
"8igqx","1.00","2.00","2.00","OK"
"8igr1","1.00","1.00","1.00","OK"
"8igsh","1.00","1.00","1.00","OK"
"8igsi","1.00","1.67","1.67","OK"
"8igts","1.00","1.00","1.50","OK"
"8igv1","1.16","2.44","2.75","OK"
"8igvd","1.25","1.25","1.25","OK"
"8igy3","1.19","2.11","2.11","OK"
"8igyy","2.18","55.24","106.23","Observation"
"8igz8","1.73","3.17","3.17","OK"
"8igzo","1.00","1.00","2.00","OK"
"8igzs","1.00","1.00","2.00","OK"
"8igzy","1.00","1.00","2.00","OK"
"8igzz","1.00","1.00","1.00","OK"
"8ih09","2.24","19.84","31.42","Fraud"
"8ih1h","1.29","2.25","2.25","OK"
"8ih1j","1.00","1.00","1.00","OK"
"8ih20","1.00","1.44","1.86","OK"
"8ih2n","1.13","3.39","5.55","OK"
"8ih3o","1.33","1.33","1.33","OK"
"8ih4k","1.25","2.50","2.50","OK"
"8ih6i","1.00","1.00","1.00","OK"
"8iha2","1.84","37.40","71.92","Observation"
"8ihab","1.00","1.18","1.30","OK"
"8ihac","1.00","1.00","1.00","OK"
"8ihaj","1.11","1.62","2.33","OK"
"8ihba","1.81","22.96","42.38","Observation"
"8ihbr","1.00","1.00","1.00","OK"
"8ihbx","7.43","253.44","487.38","OK"
"8ihc4","2.12","53.12","102.15","OK"
"8ihcj","1.00","1.00","1.00","OK"
"8ihck","1.00","2.00","2.80","OK"
"8ihcm","2.00","2.00","2.00","OK"
"8ihct","1.00","1.00","1.00","OK"
"8ihcu","1.00","1.31","1.70","OK"
"8ihd5","1.00","1.17","1.75","OK"
"8ihdv","1.20","2.33","4.08","OK"
"8ihe5","1.39","14.32","27.54","OK"
"8ihhk","1.00","1.00","1.00","OK"
"8ihij","1.00","1.50","1.50","OK"
"8ihik","1.16","3.47","5.78","OK"
"8ihk7","5.55","191.28","367.85","Observation"
"8ihkj","1.00","1.00","1.00","OK"
"8ihkt","1.19","9.60","18.46","OK"
"8ihl1","1.00","1.00","1.00","Fraud"
"8ihl9","1.27","9.74","17.23","OK"
"8ihlr","1.09","2.35","3.62","OK"
"8ihn7","1.07","3.59","6.10","OK"
"8ihna","1.18","7.04","13.54","OK"
"8ihnk","1.07","1.88","2.14","OK"
"8ihot","1.00","1.20","1.20","OK"
"8ihpi","89.10","3015.04","5798.15","OK"
"8ihqx","1.24","7.74","14.83","OK"
"8ihrz","1.08","1.86","2.17","OK"
"8ihs5","1.00","2.00","3.20","OK"
"8ihsd","1.34","4.15","6.92","OK"
"8ihsp","1.11","2.45","4.45","OK"
"8ihth","1.27","2.00","2.33","OK"
"8ihtk","1.00","1.00","1.00","OK"
"8ihtv","1.19","3.67","7.33","OK"
"8ihue","1.00","1.50","1.50","OK"
"8ihuk","1.00","1.33","1.33","OK"
"8ihup","1.29","13.88","26.69","OK"
"8ihuv","1.00","1.00","1.00","OK"
"8ihuy","1.00","1.50","1.50","OK"
"8ihv1","1.23","4.86","8.92","OK"
"8ihvb","1.00","1.00","1.00","OK"
"8ihwi","1.00","1.00","1.00","OK"
"8ihwm","1.25","1.67","1.67","OK"
"8ihxc","1.00","1.00","1.00","OK"
"8ihxl","1.00","1.00","1.00","OK"
"8ihxp","1.00","1.00","1.00","OK"
"8ihxy","1.00","1.00","1.00","OK"
"8ihy6","1.00","1.00","1.00","OK"
"8ihyb","1.00","1.14","1.14","OK"
"8ihyi","1.00","1.00","1.00","OK"
"8ihz5","1.00","1.83","2.20","OK"
"8ihzv","1.00","1.00","1.00","OK"
"8ihzw","1.00","1.17","1.40","OK"
"8ihzy","2.15","14.45","19.88","OK"
"8ii07","1.20","1.50","1.71","OK"
"8ii0g","1.22","7.00","13.46","OK"
"8ii0i","1.22","6.96","12.31","OK"
"8ii0k","2.42","6.69","8.70","OK"
"8ii11","3.07","21.32","39.08","OK"
"8ii14","1.29","2.12","3.27","OK"
"8ii1p","1.00","1.25","1.43","OK"
"8ii1r","1.50","23.75","47.50","OK"
"8ii26","1.63","9.78","16.00","OK"
"8ii2b","1.58","29.68","57.08","OK"
"8ii2l","1.00","1.50","1.50","OK"
"8ii2n","1.00","1.00","1.00","OK"
"8ii3a","1.39","9.33","18.67","OK"
"8ii4l","1.17","1.75","2.33","OK"
"8ii4n","1.00","1.00","1.00","OK"
"8ii4y","1.00","1.00","1.00","OK"
"8ii58","1.18","2.95","5.00","OK"
"8ii5a","1.06","2.06","3.18","OK"
"8ii5u","1.00","1.00","1.00","OK"
"8ii6o","1.13","1.50","2.25","OK"
"8ii7u","2.82","26.14","36.60","OK"
"8ii9a","1.23","12.04","23.15","OK"
"8iiai","1.00","1.00","1.00","OK"
"8iiby","1.00","1.00","1.50","OK"
"8iic8","2.00","2.00","2.00","OK"
"8iicn","1.00","1.00","1.00","OK"
"8iid3","1.75","32.64","62.77","OK"
"8iid4","16.24","256.64","493.54","Fraud"
"8iidh","1.21","2.43","3.40","OK"
"8iidk","2.03","37.12","71.38","OK"
"8iidm","3.11","95.80","184.23","OK"
"8iidn","2.77","73.72","141.77","OK"
"8iidr","3.14","90.68","174.38","OK"
"8iie9","1.00","1.44","1.63","OK"
"8iieo","1.00","1.00","1.00","OK"
"8iig5","2.32","58.48","112.46","OK"
"8iigf","2.00","2.00","2.00","OK"
"8iigk","1.00","1.00","1.00","OK"
"8iigl","2.27","55.00","105.77","OK"
"8iigz","1.04","2.95","5.90","OK"
"8iih9","1.68","8.89","14.55","OK"
"8iiii","1.00","1.00","1.00","OK"
"8iiiv","1.00","1.00","1.33","OK"
"8iij1","1.00","1.00","1.00","OK"
"8iijd","1.50","1.50","1.50","OK"
"8iijk","1.16","5.92","10.92","OK"
"8iijt","2.30","62.16","119.54","OK"
"8iik1","2.86","62.12","119.46","OK"
"8iilm","1.00","1.00","1.00","OK"
"8iim7","1.00","1.00","1.00","OK"
"8iimi","1.00","1.00","1.00","OK"
"8iina","2.35","54.20","104.23","OK"
"8iinm","1.00","1.00","1.00","OK"
"8iiov","1.13","1.29","1.50","OK"
"8iiq8","1.00","1.67","1.67","OK"
"8iiqq","1.00","1.00","1.00","OK"
"8iir0","1.69","5.44","7.00","OK"
"8iird","1.06","3.38","5.92","OK"
"8iitn","1.00","1.00","1.00","OK"
"8iitu","1.33","13.48","25.92","OK"
"8iitv","1.83","6.60","8.25","OK"
"8iivd","1.34","15.92","30.62","OK"
"8iivr","1.18","8.38","14.89","OK"
"8iiwo","1.00","1.33","1.33","OK"
"8iix3","1.00","1.00","1.00","OK"
"8iixo","1.10","2.59","4.00","OK"
"8iixv","1.13","2.40","3.27","OK"
"8iixy","1.00","1.20","1.20","OK"
"8iixz","1.67","1.67","1.67","OK"
"8iiy4","1.49","22.76","43.77","OK"
"8iiyk","1.23","2.39","3.58","OK"
"8ij00","1.00","1.00","1.00","OK"
"8ij02","1.13","1.89","2.13","OK"
"8ij0g","10.87","374.36","719.92","OK"
"8ij0y","1.58","4.58","7.25","OK"
"8ij1v","1.00","1.00","1.00","OK"
"8ij22","1.21","2.30","3.29","OK"
"8ij28","1.00","1.00","1.00","OK"
"8ij2q","1.16","7.88","15.15","OK"
"8ij2z","1.10","3.57","6.82","OK"
"8ij34","1.00","1.00","1.00","OK"
"8ij3p","1.00","1.00","1.00","OK"
"8ij42","1.64","27.80","53.46","OK"
"8ij4e","1.25","1.67","1.67","OK"
"8ij4s","1.00","1.00","1.00","OK"
"8ij4w","1.00","1.20","1.50","OK"
"8ij4y","1.27","7.20","12.00","OK"
"8ij4z","1.00","1.13","1.50","OK"
"8ij59","1.83","31.28","60.15","OK"
"8ij5w","3.72","19.83","29.75","OK"
"8ij62","1.00","1.00","1.00","OK"
"8ij63","1.20","1.71","2.00","OK"
"8ij6x","1.00","1.30","1.44","OK"
"8ij77","1.00","1.00","1.00","OK"
"8ij7g","1.00","1.00","1.00","OK"
"8ij8t","1.50","3.00","3.00","OK"
"8ij92","1.81","33.44","64.31","OK"
"8ij9m","1.36","15.76","30.31","OK"
"8ijat","1.44","2.30","3.29","OK"
"8ijb4","1.00","1.75","2.33","OK"
"8ijb7","1.04","2.07","2.90","OK"
"8ijb8","7.84","259.20","498.46","OK"
"8ijba","7.09","229.20","440.77","OK"
"8ijbf","3.93","76.16","146.46","OK"
"8ijcm","1.28","6.13","12.25","OK"
"8ijd3","1.05","1.67","2.22","OK"
"8ijdf","1.00","1.00","1.00","OK"
"8ije6","1.00","1.00","1.17","OK"
"8ijed","1.00","1.00","1.00","OK"
"8ijei","1.20","2.25","3.00","OK"
"8ijeq","1.00","1.33","1.33","OK"
"8ijf6","1.00","1.20","1.20","OK"
"8ijfb","1.24","8.00","15.33","OK"
"8ijfd","1.39","12.44","23.92","OK"
"8ijfl","1.00","1.00","1.00","OK"
"8ijgn","1.00","1.00","1.00","OK"
"8ijj1","1.00","1.00","1.00","OK"
"8ijjb","1.00","1.67","2.50","OK"
"8ijlc","1.00","1.00","1.00","OK"
"8ijmb","1.00","1.00","1.00","OK"
"8ijod","1.10","2.39","4.58","OK"
"8ijq9","1.00","1.29","1.64","OK"
"8ijql","1.36","4.14","7.58","Observation"
"8ijqm","1.00","1.00","1.00","OK"
"8ijqn","1.00","1.00","1.00","OK"
"8ijqw","1.17","1.75","1.75","OK"
"8ijro","1.12","5.43","9.50","OK"
"8ijs4","1.00","1.00","1.00","OK"
"8ijsn","1.11","1.25","1.67","OK"
"8ijsu","1.00","1.25","1.67","OK"
"8ijtd","1.00","2.00","2.00","OK"
"8ijub","1.06","1.90","2.71","OK"
"8ijva","1.00","1.33","2.00","OK"
"8ijw3","1.19","2.05","3.58","OK"
"8ijwf","1.00","1.00","1.33","OK"
"8ijx4","1.11","1.11","1.11","OK"
"8ijy9","1.13","2.25","3.46","OK"
"8ijyd","1.37","14.25","28.50","OK"
"8ijzd","2.21","46.24","88.92","Observation"
"8ijze","1.15","5.14","9.42","OK"
"8ijzf","1.00","1.29","1.80","OK"
"8ijzi","3.50","22.40","43.08","OK"
"8ijzj","1.77","36.68","70.54","Fraud"
"8ijzx","6.02","165.80","318.85","OK"
"8ik0f","1.00","1.50","3.00","OK"
"8ik0g","1.00","1.00","1.00","OK"
"8ik0y","4.00","5.33","5.33","OK"
"8ik15","1.00","1.00","1.00","OK"
"8ik16","1.00","1.13","1.50","OK"
"8ik1o","1.00","1.00","1.00","OK"
"8ik1t","1.00","1.14","1.33","OK"
"8ik2b","1.08","2.29","3.25","OK"
"8ik2u","1.04","1.71","2.67","OK"
"8ik4w","1.06","1.46","1.90","OK"
"8ik58","9.81","337.36","648.77","OK"
"8ik59","1.13","2.59","4.00","OK"
"8ik67","1.00","1.00","1.00","OK"
"8ik6c","1.00","1.30","1.44","OK"
"8ik6x","1.00","1.00","1.00","OK"
"8ik7d","1.26","6.80","13.08","OK"
"8ik7m","1.00","1.00","1.00","OK"
"8ik7q","1.00","1.00","1.00","OK"
"8ik9c","1.40","1.75","2.33","OK"
"8ik9l","1.00","1.00","1.33","OK"
"8ik9s","1.00","1.33","1.60","OK"
"8ik9t","1.38","8.40","12.00","OK"
"8ika3","1.00","1.40","2.00","OK"
"8ikah","2.18","25.40","48.85","OK"
"8ikap","1.00","1.00","1.00","OK"
"8ikaq","1.00","1.00","1.33","OK"
"8ikb5","1.17","4.39","7.77","OK"
"8ikba","1.07","2.07","2.82","OK"
"8ikc8","1.00","1.00","1.00","OK"
"8ikdj","1.05","3.14","5.50","OK"
"8ikdw","1.03","3.00","3.90","OK"
"8ike2","1.00","1.55","2.43","OK"
"8ikf1","1.07","2.00","3.20","OK"
"8ikfo","5.33","16.00","16.00","OK"
"8ikg6","1.08","1.44","1.63","OK"
"8ikg9","1.00","1.00","1.33","OK"
"8iki8","1.00","1.00","1.00","OK"
"8ikip","1.44","21.25","42.50","OK"
"8ikjp","1.18","2.17","2.60","OK"
"8iklg","1.00","1.00","1.00","OK"
"8ikm9","1.34","11.88","23.75","OK"
"8ikme","1.12","3.45","5.85","OK"
"8ikmz","1.00","2.00","2.00","OK"
"8ikn6","1.24","5.12","9.85","OK"
"8ikna","1.92","3.29","3.29","OK"
"8ikou","1.13","6.68","11.31","OK"
"8ikpq","1.27","11.84","22.77","Observation"
"8ikr4","1.44","21.96","42.23","OK"
"8iks0","1.06","2.12","3.27","OK"
"8ikt9","47.25","519.78","584.75","Fraud"
"8ikuf","1.00","1.00","1.00","OK"
"8ikvr","1.19","5.17","7.75","OK"
"8ikyc","1.00","1.00","1.00","OK"
"8ikzq","1.57","27.52","52.92","OK"
"8il0o","10.36","355.48","683.62","Fraud"
"8il17","1.00","1.00","1.33","OK"
"8il1w","2.39","64.88","124.77","OK"
"8il22","1.02","2.72","4.45","OK"
"8il2j","1.13","1.64","2.25","OK"
"8il2x","1.66","26.40","50.77","OK"
"8il3g","1.39","17.20","33.08","OK"
"8il3o","1.00","1.25","1.25","OK"
"8il3v","1.25","9.32","17.92","OK"
"8il4c","1.17","2.63","3.82","OK"
"8il4n","1.36","21.42","42.83","OK"
"8il4r","1.14","1.60","1.60","OK"
"8il6b","2.28","6.64","9.13","OK"
"8il79","1.15","2.14","3.92","OK"
"8il7m","1.00","1.00","1.00","OK"
"8il8k","1.14","1.33","1.60","OK"
"8ilbu","1.07","5.84","11.23","OK"
"8ilbx","25.75","619.12","1190.62","OK"
"8ilc9","1.00","1.00","1.00","OK"
"8ildb","1.00","1.39","2.50","OK"
"8ildi","6.77","231.32","444.85","OK"
"8ildn","1.00","1.11","1.67","OK"
"8ilee","1.00","1.00","1.00","OK"
"8ilel","1.20","2.00","2.40","OK"
"8ilf9","1.17","6.17","12.33","OK"
"8ilff","1.29","2.57","3.00","OK"
"8ilfu","1.73","32.44","62.38","OK"
"8ilh8","1.00","1.00","1.00","OK"
"8ili5","1.11","3.32","5.25","OK"
"8iljx","5.77","197.48","379.77","OK"
"8iljy","1.16","4.90","9.36","OK"
"8ill4","1.20","1.20","1.50","OK"
"8ilm3","1.00","1.00","1.00","OK"
"8ilm4","1.06","2.19","3.50","OK"
"8ilma","1.00","1.00","1.00","OK"
"8ilmh","1.50","1.50","1.50","OK"
"8ilnq","1.00","1.00","1.00","OK"
"8ilnu","1.11","2.33","3.50","OK"
"8iloh","1.00","1.60","1.60","OK"
"8ilok","3.87","110.32","212.15","Observation"
"8ilp2","1.00","1.17","1.40","OK"
"8ilqt","3.68","115.40","221.92","OK"
"8ils4","1.00","1.00","1.00","OK"
"8ils9","3.29","92.32","177.54","Observation"
"8ilu4","1.00","1.00","1.00","OK"
"8iluh","1.50","1.50","1.50","OK"
"8iluo","1.00","1.00","1.50","OK"
"8iluy","3.96","35.24","61.67","Observation"
"8ilyg","1.00","1.33","1.33","OK"
"8ilzp","1.20","5.48","9.58","OK"
"8ilzu","1.00","1.00","1.00","OK"
"8im0u","1.60","29.40","56.54","OK"
"8im11","1.00","1.00","1.00","OK"
"8im12","1.00","1.00","1.00","OK"
"8im1a","1.00","1.00","1.00","OK"
"8im1j","1.00","1.00","1.00","OK"
"8im29","1.00","1.33","1.33","OK"
"8im41","1.15","7.00","12.83","OK"
"8im4f","4.01","44.83","67.25","OK"
"8im4k","1.00","1.14","1.14","OK"
"8im4l","1.00","1.25","1.25","OK"
"8im50","1.00","1.00","1.00","OK"
"8im59","4.99","163.76","314.92","OK"
"8im6c","1.20","1.64","2.25","OK"
"8im6t","4.05","124.72","239.85","OK"
"8im78","1.13","6.76","13.00","OK"
"8im90","1.00","1.00","1.00","OK"
"8im9a","5.86","197.76","380.31","OK"
"8imbb","1.00","1.00","1.00","OK"
"8imcs","3.72","39.86","69.75","OK"
"8imd2","56.50","1912.12","3677.15","OK"
"8imdp","1.00","1.00","1.00","OK"
"8imdt","1.00","2.33","3.00","OK"
"8ime3","1.16","6.08","11.69","OK"
"8ime7","1.21","6.25","12.50","OK"
"8imef","1.50","1.50","2.00","OK"
"8imfu","1.00","1.00","1.00","OK"
"8img5","1.00","1.00","1.00","OK"
"8imgt","3.44","81.92","157.54","OK"
"8imh7","1.00","1.20","1.50","OK"
"8imho","1.00","1.50","1.50","OK"
"8imhp","1.00","1.00","1.00","OK"
"8imhz","1.00","1.93","2.70","OK"
"8imi0","1.33","1.33","1.33","OK"
"8imib","1.12","2.11","3.17","OK"
"8imik","1.00","1.00","1.00","OK"
"8imk8","11.25","90.00","120.00","Observation"
"8imkc","1.34","14.77","29.55","Observation"
"8imkd","1.25","10.52","20.23","OK"
"8imko","1.00","1.50","1.50","OK"
"8immj","26.59","919.08","1767.46","OK"
"8immk","1.06","4.18","7.67","OK"
"8immq","1.00","1.00","1.00","OK"
"8immu","1.00","1.40","1.40","OK"
"8imna","1.46","5.70","7.13","OK"
"8imob","1.79","40.96","78.77","OK"
"8impo","1.21","5.78","11.08","OK"
"8imqe","2.07","34.68","66.69","OK"
"8imqn","1.00","1.00","1.00","OK"
"8imrg","1.67","2.00","2.00","OK"
"8imrr","1.23","5.40","9.00","OK"
"8ims6","1.55","27.08","52.08","Fraud"
"8imt7","1.00","1.00","1.00","OK"
"8imtk","1.00","1.17","1.40","OK"
"8imtz","1.00","1.00","1.00","OK"
"8imu3","1.00","1.88","3.20","OK"
"8imv2","1.32","6.84","13.15","OK"
"8imvn","4.32","90.56","174.15","OK"
"8imvu","1.00","1.50","1.50","OK"
"8imw6","1.00","1.40","1.75","OK"
"8imwm","1.12","3.50","7.00","OK"
"8imwn","1.14","2.47","4.20","OK"
"8imwx","3.73","117.92","226.77","OK"
"8imxk","1.00","1.00","1.00","OK"
"8imxz","1.07","1.50","2.50","OK"
"8imy8","1.00","1.00","1.00","OK"
"8imyq","1.00","1.00","1.00","OK"
"8imyz","1.33","2.00","2.00","OK"
"8imz2","1.07","2.29","3.56","OK"
"8imza","1.05","1.75","2.33","OK"
"8imzd","3.25","96.08","184.77","OK"
"8imze","1.24","4.45","8.17","OK"
"8imzr","1.17","11.88","22.85","OK"
"8imzv","1.21","6.90","11.50","OK"
"8in00","1.00","1.00","1.00","OK"
"8in07","2.00","3.00","3.00","OK"
"8in0d","16.12","386.80","644.67","OK"
"8in0q","1.00","1.00","1.00","OK"
"8in1c","1.08","1.40","2.00","OK"
"8in1d","1.55","2.65","4.09","OK"
"8in1s","9.35","321.88","619.00","OK"
"8in1t","3.28","103.00","198.08","OK"
"8in1y","1.00","1.00","1.00","OK"
"8in20","1.00","1.00","1.00","OK"
"8in2d","1.00","1.54","2.00","OK"
"8in2g","1.00","1.00","1.00","OK"
"8in34","1.16","1.69","2.20","OK"
"8in35","1.25","3.74","5.92","OK"
"8in36","1.00","1.00","1.00","OK"
"8in3c","3.12","81.36","156.46","OK"
"8in41","1.00","1.00","1.00","OK"
"8in43","1.00","1.00","1.00","OK"
"8in49","1.00","1.33","1.60","OK"
"8in4e","1.00","1.00","1.00","OK"
"8in66","1.13","2.13","3.40","OK"
"8in69","24.40","693.84","1334.31","OK"
"8in6a","23.20","799.00","1536.54","OK"
"8in7f","1.31","9.56","18.38","OK"
"8in80","1.00","1.14","1.14","OK"
"8in8e","1.63","24.35","44.27","Fraud"
"8in8l","1.00","1.50","3.00","OK"
"8in8z","1.00","3.00","6.00","OK"
"8in9f","1.00","1.00","1.00","OK"
"8in9m","1.00","1.70","2.43","OK"
"8ina8","1.00","1.00","1.00","OK"
"8inag","1.29","1.50","2.25","OK"
"8inat","1.25","1.25","1.25","OK"
"8inay","23.71","817.68","1572.46","OK"
"8inbg","1.00","1.00","1.00","OK"
"8inca","1.00","1.00","1.00","OK"
"8incg","1.00","1.00","2.00","OK"
"8inch","1.00","1.00","1.00","OK"
"8inck","1.30","9.24","17.77","OK"
"8ind9","1.00","1.00","1.00","OK"
"8indc","1.09","3.33","5.00","OK"
"8inei","1.31","14.36","27.62","OK"
"8inf7","1.12","3.50","6.42","OK"
"8ingg","1.17","2.56","4.10","OK"
"8ings","1.17","7.20","13.85","OK"
"8inhr","2.95","82.80","159.23","OK"
"8ini4","1.42","3.00","3.86","OK"
"8ini5","1.00","1.00","1.00","OK"
"8inig","1.16","2.87","4.30","OK"
"8inil","1.10","3.54","5.11","OK"
"8injc","1.14","2.00","3.00","OK"
"8injo","2.00","2.00","2.00","OK"
"8inkd","1.13","1.29","1.50","OK"
"8inld","1.00","1.00","1.00","OK"
"8inn7","1.60","23.64","45.46","OK"
"8ino6","3.73","120.64","232.00","OK"
"8inp3","1.27","1.75","2.00","OK"
"8inrc","1.11","2.73","3.75","OK"
"8ins1","1.21","8.54","15.77","OK"
"8insm","1.04","1.93","2.70","OK"
"8insr","1.50","1.50","1.50","OK"
"8intf","1.11","2.13","3.92","OK"
"8inu8","1.14","1.60","1.60","OK"
"8inum","1.29","14.16","27.23","OK"
"8invg","1.00","1.00","1.00","OK"
"8inwd","1.16","10.00","19.23","OK"
"8inwo","1.27","6.00","11.08","OK"
"8inwq","1.16","3.70","4.63","OK"
"8inwx","1.00","1.20","1.20","OK"
"8inz6","1.13","2.37","4.09","OK"
"8inz8","1.27","7.88","15.75","OK"
"8io28","1.02","2.52","4.08","OK"
"8io3k","1.50","1.50","1.50","OK"
"8io3v","2.00","2.00","2.00","OK"
"8io4k","1.00","1.00","1.00","OK"
"8io4t","1.00","1.17","1.17","OK"
"8io5j","2.18","50.16","96.46","OK"
"8io5s","3.02","89.84","172.77","OK"
"8io79","1.00","1.00","1.00","OK"
"8io7a","1.50","1.50","1.50","OK"
"8io8s","1.22","6.45","12.91","OK"
"8io95","1.21","3.63","7.25","OK"
"8io9t","1.00","1.25","1.50","OK"
"8ioac","1.00","1.78","2.91","OK"
"8ioad","1.54","24.04","46.23","Observation"
"8ioaf","1.23","11.60","22.31","OK"
"8iob1","1.35","2.25","2.70","OK"
"8ioby","1.11","1.43","2.00","OK"
"8iofb","1.20","1.50","1.50","OK"
"8iohm","1.00","1.00","1.00","OK"
"8ioj0","1.00","1.00","1.00","OK"
"8iok5","1.00","1.00","1.00","OK"
"8iokr","1.00","1.00","1.00","OK"
"8ioml","1.00","1.00","1.00","OK"
"8iomw","1.00","1.00","1.00","OK"
"8ionb","1.00","1.00","1.00","OK"
"8ionh","1.00","1.00","1.00","OK"
"8ionj","1.00","1.25","1.25","OK"
"8ioo5","1.06","1.31","1.89","OK"
"8ioo7","1.00","1.09","1.71","OK"
"8ioov","1.00","1.00","1.00","OK"
"8ioqe","1.77","29.60","56.92","OK"
"8ior0","1.00","1.14","1.14","OK"
"8iory","1.00","1.00","1.00","OK"
"8iosv","3.75","120.36","231.46","OK"
"8iot1","1.56","24.20","46.54","OK"
"8iott","1.00","1.00","1.00","OK"
"8iou1","1.00","1.43","1.82","OK"
"8iou5","1.00","2.00","2.00","OK"
"8iou8","1.18","5.92","11.38","OK"
"8ioui","1.00","2.00","2.00","OK"
"8ioul","1.00","1.50","1.50","OK"
"8iow5","1.17","7.00","7.00","OK"
"8iowu","1.15","2.75","5.00","OK"
"8ioyh","1.00","1.00","1.00","OK"
"8ioyz","1.00","1.00","1.00","OK"
"8iozi","1.10","1.77","2.56","OK"
"8ip10","1.50","1.50","1.50","OK"
"8ip1i","1.00","1.00","1.00","OK"
"8ip1v","1.86","34.48","66.31","OK"
"8ip45","10.68","360.60","693.46","OK"
"8ip46","1.00","1.50","2.00","OK"
"8ip4d","14.79","505.24","971.62","OK"
"8ip5p","2.51","68.80","132.31","OK"
"8ip5q","1.27","11.64","22.38","OK"
"8ip65","1.00","1.00","1.00","OK"
"8ip71","2.20","61.56","118.38","Observation"
"8ip85","1.00","1.00","1.00","OK"
"8ip8o","1.00","1.25","1.25","OK"
"8ipat","1.25","1.25","1.67","OK"
"8ipcr","1.00","1.14","1.60","OK"
"8ipdk","1.00","2.00","2.00","OK"
"8ipdp","1.00","1.50","2.00","OK"
"8ipdr","1.00","1.33","1.33","OK"
"8ipeq","1.00","1.50","1.50","OK"
"8ipg0","1.00","1.00","1.25","OK"
"8ipg1","1.00","1.00","1.25","OK"
"8ipgq","1.00","1.53","2.30","OK"
"8ipgz","1.00","1.00","1.00","OK"
"8iph1","1.00","1.00","1.00","OK"
"8ipif","1.00","1.50","1.50","OK"
"8ipiu","1.00","1.25","1.25","OK"
"8ipks","1.17","1.87","2.55","OK"
"8ipls","1.33","5.47","7.75","OK"
"8ipm4","1.07","1.60","2.29","OK"
"8ipn0","1.00","1.00","1.40","OK"
"8ipoi","2.00","2.00","2.00","OK"
"8ipoo","1.64","28.60","55.00","OK"
"8ippe","1.17","1.40","1.75","OK"
"8ippl","1.00","1.33","1.33","OK"
"8ipr3","1.20","3.67","6.42","OK"
"8iprx","1.00","1.00","1.00","OK"
"8ipxe","1.19","7.44","14.31","OK"
"8ipxf","1.50","1.50","1.50","OK"
"8iq0e","1.62","7.05","11.75","OK"
"8iq0h","1.00","1.00","1.00","OK"
"8iq0l","1.17","6.68","12.85","OK"
"8iq0m","1.50","1.50","1.50","OK"
"8iq0q","1.13","3.31","5.30","OK"
"8iq0r","1.50","2.00","3.00","OK"
"8iq11","1.00","1.00","1.00","OK"
"8iq1n","1.14","1.33","1.33","OK"
"8iq1z","1.54","27.40","52.69","Observation"
"8iq22","1.26","8.60","16.54","OK"
"8iq3b","1.09","2.50","3.89","OK"
"8iq4r","1.78","30.16","58.00","OK"
"8iq53","6.20","119.96","212.23","OK"
"8iq7l","1.00","1.00","1.00","OK"
"8iq7q","1.12","2.11","2.71","OK"
"8iq85","1.00","1.50","2.18","OK"
"8iqbs","1.00","1.25","1.67","OK"
"8iqd8","1.00","1.00","1.00","OK"
"8iqde","1.08","2.33","3.11","OK"
"8iqe6","1.00","1.29","1.50","OK"
"8iqec","1.00","1.00","1.00","OK"
"8iqee","1.00","1.00","1.00","OK"
"8iqez","1.00","1.00","1.00","OK"
"8iqfg","1.33","2.00","2.00","OK"
"8iqhl","1.00","1.33","1.33","OK"
"8iqip","1.00","1.00","1.00","OK"
"8iqjj","1.00","1.00","1.00","OK"
"8iqk3","1.11","1.82","2.50","OK"
"8iqks","1.00","1.25","1.25","OK"
"8iqni","1.00","1.29","1.80","OK"
"8iqnn","1.40","1.75","1.75","OK"
"8iqnv","8.59","290.00","557.69","OK"
"8iqp5","1.00","1.00","1.00","OK"
"8iqqe","1.00","1.17","1.40","OK"
"8iqr5","1.00","1.00","1.00","OK"
"8iqsf","1.00","1.00","1.00","OK"
"8iqsw","1.00","1.00","1.00","OK"
"8iqtd","1.00","1.00","1.00","OK"
"8iqth","3.54","6.57","9.20","OK"
"8iqu0","1.00","1.00","1.00","OK"
"8iqu4","1.00","1.00","1.00","OK"
"8iqu5","1.00","1.00","1.00","OK"
"8iqua","1.00","1.00","1.00","OK"
"8iqug","1.94","46.96","90.31","OK"
"8iqur","1.00","1.00","1.00","OK"
"8iquu","1.00","1.00","1.00","OK"
"8iqvd","1.00","1.00","1.00","OK"
"8iqvi","1.83","3.14","4.40","OK"
