"partnerid","EntropyIplong","EntropyCid","EntropyAgent","EntropyCntr","status"
"8ie98","0.00","1.84","0.00","0.00","OK"
"8ie9s","2.32","0.72","1.52","0.00","OK"
"8iea1","1.00","2.25","1.92","1.46","OK"
"8ieaq","2.87","4.20","2.58","2.54","OK"
"8ieaz","3.03","4.18","2.22","1.97","OK"
"8ieb4","1.50","1.50","2.00","0.81","OK"
"8iebt","0.00","0.00","0.00","0.00","OK"
"8iebx","2.64","0.50","0.50","0.99","OK"
"8ief6","2.64","0.50","0.50","0.99","OK"
"8iefb","4.59","4.58","5.09","1.19","OK"
"8iefl","6.53","6.72","6.22","1.45","OK"
"8iefo","0.00","0.00","0.00","0.00","OK"
"8iefs","2.00","2.00","2.00","0.00","OK"
"8ieg2","4.79","2.28","5.07","1.57","OK"
"8iegi","0.00","0.00","0.00","0.00","OK"
"8ieh3","2.64","2.50","0.50","0.99","OK"
"8iehk","3.26","3.16","3.20","1.34","OK"
"8ieht","9.36","6.87","7.17","4.28","Observation"
"8iejt","0.81","1.50","2.00","0.81","OK"
"8iel9","5.51","4.70","6.51","3.08","OK"
"8ielc","3.77","3.46","3.51","1.27","OK"
"8iem5","2.84","3.51","3.06","0.10","Fraud"
"8iemj","0.00","0.00","0.00","0.00","OK"
"8ien9","2.45","2.92","0.65","1.61","OK"
"8ieo7","0.00","1.00","0.00","0.00","OK"
"8ieol","3.30","1.06","2.39","2.18","OK"
"8ieqn","3.58","0.54","3.15","1.50","OK"
"8iequ","0.00","0.00","0.00","0.00","OK"
"8ies6","1.67","2.85","2.66","1.67","OK"
"8ies8","5.68","6.77","6.24","2.72","OK"
"8ieso","0.00","0.00","0.00","0.00","OK"
"8iet9","7.93","7.35","7.00","3.63","OK"
"8ietw","2.16","3.12","2.45","0.00","OK"
"8ieuh","1.00","0.00","0.00","0.00","OK"
"8iev9","0.00","0.00","0.00","0.00","OK"
"8ievj","0.00","0.59","0.59","0.00","OK"
"8ievt","2.43","4.00","2.77","1.15","OK"
"8ievz","1.54","3.81","1.66","1.60","Fraud"
"8iex1","1.39","3.09","3.48","1.13","OK"
"8iex9","7.43","1.61","6.43","3.05","OK"
"8iexi","2.41","0.54","0.54","1.06","OK"
"8iext","2.41","2.50","0.54","1.06","OK"
"8if13","3.24","4.64","4.31","2.94","OK"
"8if2b","0.00","1.92","0.97","0.00","OK"
"8if3m","2.84","3.78","3.89","1.10","OK"
"8if4w","0.00","0.00","0.00","0.00","OK"
"8if5c","0.00","0.00","0.00","0.00","OK"
"8if5p","2.49","0.24","0.00","0.00","OK"
"8if6n","0.00","0.00","0.00","0.00","OK"
"8if7b","0.00","0.00","0.00","0.00","OK"
"8if9o","2.81","5.08","3.01","2.45","Fraud"
"8ifa1","8.37","6.57","6.89","3.45","Observation"
"8ifan","4.27","4.26","4.10","0.66","OK"
"8ifcw","3.91","5.11","6.38","2.32","Fraud"
"8ifem","1.58","1.58","1.58","0.00","OK"
"8iff5","0.00","0.72","0.72","0.72","OK"
"8iff6","0.00","0.00","0.00","0.00","OK"
"8iffk","3.20","5.79","6.14","3.80","OK"
"8ifg0","0.00","0.00","0.00","0.00","OK"
"8ifg9","0.00","0.00","0.00","0.00","OK"
"8ifgn","0.72","2.32","1.37","0.72","OK"
"8ifik","5.11","6.18","5.27","2.19","OK"
"8ifm5","1.58","0.92","0.92","0.92","OK"
"8ifma","5.17","4.68","5.47","1.36","OK"
"8ifmk","1.00","1.00","1.00","1.00","OK"
"8ifna","2.64","2.95","2.42","0.00","OK"
"8ifnd","0.00","0.00","0.00","0.00","OK"
"8ifog","5.07","4.98","5.64","3.30","OK"
"8ifov","4.33","3.81","4.42","2.17","OK"
"8ifqc","3.53","1.16","4.55","0.84","OK"
"8ifqi","5.50","5.31","6.80","1.43","Fraud"
"8ifqk","1.90","4.95","1.91","1.43","OK"
"8ifvn","0.00","0.00","0.00","0.00","OK"
"8ifwd","0.00","1.50","2.00","0.00","OK"
"8ifzw","0.59","2.24","2.52","0.00","OK"
"8ig0z","0.81","1.50","0.81","0.81","OK"
"8ig13","0.00","3.25","0.00","0.00","OK"
"8ig4x","0.81","2.00","1.50","0.00","OK"
"8ig5c","2.81","1.15","2.52","1.38","OK"
"8ig76","6.19","4.28","5.86","2.42","OK"
"8ig8i","0.97","3.17","3.26","0.00","OK"
"8igb7","2.70","3.85","3.17","1.02","OK"
"8igbs","1.79","1.46","0.00","0.65","OK"
"8igbt","2.41","0.54","0.54","1.06","OK"
"8igbu","2.00","2.25","0.54","1.06","OK"
"8igc1","3.97","4.19","4.42","1.01","OK"
"8igcb","2.40","3.03","3.46","2.85","OK"
"8igdb","2.00","2.00","0.00","0.81","OK"
"8igdp","0.00","0.00","0.00","0.00","OK"
"8igem","2.19","2.55","2.37","0.00","OK"
"8igew","0.92","1.58","0.92","1.58","OK"
"8igfs","3.80","4.22","4.78","1.81","OK"
"8igh8","3.00","1.30","1.75","1.06","OK"
"8igih","0.00","1.00","1.00","0.00","OK"
"8igj2","3.85","3.34","5.00","1.66","OK"
"8igji","0.00","2.24","0.00","0.00","OK"
"8igkk","1.00","1.00","0.00","1.00","OK"
"8igkp","2.45","4.32","4.55","2.93","OK"
"8igl1","4.21","1.74","4.37","1.37","OK"
"8igl7","0.00","1.92","2.32","0.97","OK"
"8iglk","2.56","1.88","1.81","0.00","OK"
"8igm1","0.81","2.00","2.00","0.81","OK"
"8igm8","3.18","2.78","1.33","1.70","OK"
"8igmr","1.04","2.63","1.96","0.65","OK"
"8ign1","0.00","0.00","0.00","0.00","OK"
"8ignc","0.92","1.58","0.92","0.00","OK"
"8igne","1.37","2.32","2.32","0.00","OK"
"8igo3","2.79","3.51","2.36","1.85","OK"
"8igo7","2.44","4.82","2.11","2.60","OK"
"8igox","3.08","4.06","3.50","0.00","OK"
"8igpd","0.00","1.50","0.00","0.00","OK"
"8igpr","1.92","2.32","2.32","1.92","OK"
"8igql","2.20","3.55","2.05","1.70","OK"
"8igqx","0.00","1.00","1.00","0.00","OK"
"8igr1","0.00","0.00","0.00","0.00","OK"
"8igsh","0.00","0.00","0.00","0.00","OK"
"8igsi","1.37","2.32","1.92","1.92","OK"
"8igts","0.92","0.92","0.92","0.92","OK"
"8igv1","0.27","3.39","3.20","1.86","OK"
"8igvd","1.37","1.92","2.32","1.52","OK"
"8igy3","3.41","3.33","3.47","2.95","OK"
"8igyy","7.27","4.08","6.86","3.19","Observation"
"8igz8","2.40","3.43","1.76","1.82","OK"
"8igzo","1.00","1.00","0.00","0.00","OK"
"8igzs","1.00","1.00","0.00","0.00","OK"
"8igzy","1.00","0.00","0.00","0.00","OK"
"8igzz","1.00","0.00","0.00","1.00","OK"
"8ih09","1.73","4.88","2.26","2.32","Fraud"
"8ih1h","1.22","2.28","1.53","1.66","OK"
"8ih1j","0.00","0.00","0.00","0.00","OK"
"8ih20","2.51","3.55","3.70","2.78","OK"
"8ih2n","5.58","2.74","1.13","2.76","OK"
"8ih3o","1.50","0.00","1.50","1.00","OK"
"8ih4k","1.37","1.92","1.37","1.37","OK"
"8ih6i","1.58","1.58","1.58","0.92","OK"
"8iha2","6.51","1.36","5.95","2.75","Observation"
"8ihab","2.81","3.24","3.18","0.39","OK"
"8ihac","2.25","2.58","2.58","0.65","OK"
"8ihaj","3.15","4.30","3.98","0.55","OK"
"8ihba","6.66","1.87","6.48","2.09","Observation"
"8ihbr","0.00","0.00","0.00","0.00","OK"
"8ihbx","8.55","4.88","7.25","2.31","OK"
"8ihc4","7.05","5.94","7.01","3.34","OK"
"8ihcj","0.00","0.00","0.00","0.00","OK"
"8ihck","3.82","0.22","3.95","1.34","OK"
"8ihcm","0.00","1.00","0.00","0.00","OK"
"8ihct","1.58","1.58","1.58","0.92","OK"
"8ihcu","3.85","3.85","4.09","2.94","OK"
"8ihd5","1.66","2.24","1.84","0.86","OK"
"8ihdv","3.23","4.47","4.76","2.76","OK"
"8ihe5","5.25","6.76","6.04","2.23","OK"
"8ihhk","1.00","1.00","1.00","1.00","OK"
"8ihij","0.65","1.92","2.25","0.92","OK"
"8ihik","4.08","3.95","4.86","2.76","OK"
"8ihk7","7.26","7.05","7.04","1.84","Observation"
"8ihkj","0.00","0.00","0.00","0.00","OK"
"8ihkt","4.67","5.14","4.84","1.01","OK"
"8ihl1","1.58","1.58","0.00","0.00","Fraud"
"8ihl9","5.95","2.89","5.78","3.00","OK"
"8ihlr","4.51","3.90","3.78","1.59","OK"
"8ihn7","4.02","4.91","5.03","1.53","OK"
"8ihna","6.08","2.10","5.91","3.23","OK"
"8ihnk","3.77","3.06","3.32","0.00","OK"
"8ihot","0.65","2.58","1.79","2.25","OK"
"8ihpi","7.14","5.03","7.50","5.23","OK"
"8ihqx","1.62","3.01","2.40","0.00","OK"
"8ihrz","3.55","3.09","1.70","0.00","OK"
"8ihs5","1.93","2.35","4.20","2.80","OK"
"8ihsd","3.99","5.03","4.49","0.00","OK"
"8ihsp","4.27","4.56","4.47","1.20","OK"
"8ihth","2.90","3.18","3.09","1.75","OK"
"8ihtk","0.00","0.00","0.00","0.00","OK"
"8ihtv","4.60","2.06","5.20","2.54","OK"
"8ihue","1.58","1.58","1.58","0.00","OK"
"8ihuk","2.00","2.00","0.81","0.00","OK"
"8ihup","5.73","4.84","6.10","3.29","OK"
"8ihuv","0.00","0.00","0.00","0.00","OK"
"8ihuy","0.92","1.58","0.92","0.00","OK"
"8ihv1","5.01","5.60","4.80","1.10","OK"
"8ihvb","0.00","0.00","0.00","0.00","OK"
"8ihwi","0.00","0.00","0.00","0.00","OK"
"8ihwm","1.37","2.32","1.52","1.52","OK"
"8ihxc","0.00","0.00","0.00","0.00","OK"
"8ihxl","1.00","1.00","1.00","0.00","OK"
"8ihxp","0.00","0.00","0.00","0.00","OK"
"8ihxy","0.00","0.00","0.00","0.00","OK"
"8ihy6","1.58","1.58","1.58","0.92","OK"
"8ihyb","2.50","2.75","2.00","0.00","OK"
"8ihyi","0.00","0.00","0.00","0.00","OK"
"8ihz5","2.73","1.79","2.73","0.00","OK"
"8ihzv","1.00","0.00","1.00","0.00","OK"
"8ihzw","0.59","2.52","2.52","0.86","OK"
"8ihzy","6.01","2.07","4.48","2.20","OK"
"8ii07","2.92","3.42","3.19","1.42","OK"
"8ii0g","4.89","4.44","5.12","0.05","OK"
"8ii0i","4.46","5.09","5.08","0.10","OK"
"8ii0k","1.18","1.41","2.32","0.09","OK"
"8ii11","0.80","4.07","1.86","0.14","OK"
"8ii14","3.55","3.89","3.57","0.00","OK"
"8ii1p","2.85","2.92","0.47","2.92","OK"
"8ii1r","6.06","5.38","6.00","0.58","OK"
"8ii26","0.70","0.70","2.78","0.19","OK"
"8ii2b","6.65","2.91","6.33","2.75","OK"
"8ii2l","0.92","1.58","0.92","0.00","OK"
"8ii2n","1.00","0.00","0.00","0.00","OK"
"8ii3a","5.43","5.95","4.17","0.00","OK"
"8ii4l","1.84","2.52","2.13","0.00","OK"
"8ii4n","1.00","1.00","0.00","0.00","OK"
"8ii4y","0.00","1.00","1.00","1.00","OK"
"8ii58","4.79","5.61","4.77","2.74","OK"
"8ii5a","3.28","4.73","4.17","2.67","OK"
"8ii5u","0.00","0.00","0.00","0.00","OK"
"8ii6o","1.84","2.20","1.89","1.84","OK"
"8ii7u","0.28","5.09","0.15","0.00","OK"
"8ii9a","5.86","6.01","5.96","0.80","OK"
"8iiai","1.58","0.92","0.00","0.00","OK"
"8iiby","1.25","1.79","1.25","1.25","OK"
"8iic8","0.00","0.00","1.00","0.00","OK"
"8iicn","2.58","1.92","2.25","0.92","OK"
"8iid3","6.87","7.08","6.26","1.97","OK"
"8iid4","4.66","5.71","6.68","3.02","Fraud"
"8iidh","3.90","4.26","4.62","1.77","OK"
"8iidk","6.13","5.83","7.16","3.12","OK"
"8iidm","7.74","5.17","6.92","3.14","OK"
"8iidn","6.82","5.27","7.26","3.40","OK"
"8iidr","6.78","6.14","7.21","2.85","OK"
"8iie9","3.33","2.20","2.29","0.62","OK"
"8iieo","0.92","1.58","0.92","1.58","OK"
"8iig5","7.00","5.47","6.65","3.19","OK"
"8iigf","0.00","1.00","0.00","0.00","OK"
"8iigk","0.00","0.00","0.00","0.00","OK"
"8iigl","6.82","5.28","7.18","3.27","OK"
"8iigz","3.22","3.04","4.43","0.74","OK"
"8iih9","5.59","3.70","4.14","0.33","OK"
"8iiii","1.58","1.58","1.58","0.00","OK"
"8iiiv","2.00","1.00","0.00","0.00","OK"
"8iij1","0.00","0.00","0.00","0.00","OK"
"8iijd","0.92","1.58","0.92","0.00","OK"
"8iijk","5.20","5.74","6.00","3.31","OK"
"8iijt","6.94","6.81","6.68","3.16","OK"
"8iik1","5.81","6.29","7.67","3.00","OK"
"8iilm","1.00","1.00","1.00","0.00","OK"
"8iim7","1.00","1.00","1.00","0.00","OK"
"8iimi","1.00","1.00","1.00","1.00","OK"
"8iina","6.75","5.43","6.91","2.48","OK"
"8iinm","1.00","1.00","0.00","0.00","OK"
"8iiov","2.95","2.95","3.17","1.97","OK"
"8iiq8","2.32","2.32","2.32","0.00","OK"
"8iiqq","1.00","1.00","1.00","0.00","OK"
"8iir0","1.04","4.29","0.14","0.29","OK"
"8iird","5.47","4.70","4.40","1.14","OK"
"8iitn","0.00","0.00","0.00","0.00","OK"
"8iitu","6.81","6.59","5.77","0.97","OK"
"8iitv","1.36","2.76","1.60","1.67","OK"
"8iivd","6.38","5.38","5.88","2.39","OK"
"8iivr","6.13","3.09","1.23","0.00","OK"
"8iiwo","0.81","2.00","1.50","0.00","OK"
"8iix3","0.00","0.00","0.00","0.00","OK"
"8iixo","3.85","5.03","4.48","1.98","OK"
"8iixv","3.89","2.11","3.84","0.18","OK"
"8iixy","1.79","0.65","2.58","0.65","OK"
"8iixz","1.52","2.32","1.52","1.52","OK"
"8iiy4","6.76","5.67","6.31","2.28","OK"
"8iiyk","3.41","4.17","4.14","2.55","OK"
"8ij00","1.58","0.92","0.92","0.92","OK"
"8ij02","3.41","3.45","3.29","0.00","OK"
"8ij0g","8.71","7.35","6.72","2.26","OK"
"8ij0y","1.93","0.00","3.82","0.00","OK"
"8ij1v","0.00","0.00","0.00","0.00","OK"
"8ij22","1.65","3.17","1.68","0.00","OK"
"8ij28","1.58","1.58","0.92","0.92","OK"
"8ij2q","5.74","3.12","6.16","3.71","OK"
"8ij2z","4.65","4.29","3.42","0.10","OK"
"8ij34","1.00","1.00","1.00","1.00","OK"
"8ij3p","1.00","1.00","0.00","0.00","OK"
"8ij42","6.94","6.09","6.34","2.63","OK"
"8ij4e","0.00","1.92","1.92","1.52","OK"
"8ij4s","0.00","0.00","0.00","0.00","OK"
"8ij4w","1.79","1.92","1.79","1.46","OK"
"8ij4y","5.15","3.19","0.75","4.28","OK"
"8ij4z","1.45","2.42","2.42","2.50","OK"
"8ij59","4.40","4.00","0.82","3.92","OK"
"8ij5w","1.87","3.76","3.50","0.96","OK"
"8ij62","0.00","0.00","0.00","0.00","OK"
"8ij63","3.42","2.29","3.25","0.41","OK"
"8ij6x","1.85","3.55","3.18","0.77","OK"
"8ij77","0.00","0.00","0.00","0.00","OK"
"8ij7g","0.00","0.00","0.00","0.00","OK"
"8ij8t","0.00","0.92","0.00","0.00","OK"
"8ij92","6.82","5.91","6.41","2.72","OK"
"8ij9m","5.36","3.06","6.41","3.53","OK"
"8ijat","3.27","3.88","2.94","0.00","OK"
"8ijb4","3.24","2.95","3.38","3.04","OK"
"8ijb7","3.64","3.50","4.35","3.77","OK"
"8ijb8","5.39","4.56","7.40","4.67","OK"
"8ijba","4.74","4.75","6.53","4.72","OK"
"8ijbf","6.63","2.95","7.33","4.79","OK"
"8ijcm","4.29","6.03","5.92","4.03","OK"
"8ijd3","3.21","2.32","2.26","0.85","OK"
"8ijdf","0.00","0.00","0.00","0.00","OK"
"8ije6","2.13","2.81","2.52","1.15","OK"
"8ijed","0.00","1.00","1.00","0.00","OK"
"8ijei","3.20","3.28","1.95","1.53","OK"
"8ijeq","1.50","2.00","1.50","0.81","OK"
"8ijf6","1.79","2.58","2.58","2.25","OK"
"8ijfb","4.49","6.61","6.21","3.30","OK"
"8ijfd","6.32","6.43","5.54","0.42","OK"
"8ijfl","0.00","0.00","0.00","0.00","OK"
"8ijgn","1.58","1.58","1.58","0.92","OK"
"8ijj1","0.00","0.00","0.00","0.00","OK"
"8ijjb","1.92","2.32","2.32","1.37","OK"
"8ijlc","1.50","2.00","0.81","1.50","OK"
"8ijmb","0.00","0.00","0.00","0.00","OK"
"8ijod","4.51","5.10","5.01","3.75","OK"
"8ijq9","2.32","3.84","2.93","2.59","OK"
"8ijql","3.28","2.10","2.65","1.50","Observation"
"8ijqm","0.92","1.58","1.58","0.00","OK"
"8ijqn","0.00","0.00","0.00","0.00","OK"
"8ijqw","0.99","2.52","1.95","1.84","OK"
"8ijro","3.12","3.52","4.18","2.33","OK"
"8ijs4","0.00","0.00","0.00","0.00","OK"
"8ijsn","2.32","3.12","2.92","0.92","OK"
"8ijsu","2.32","2.32","2.32","0.72","OK"
"8ijtd","1.00","1.00","0.00","0.00","OK"
"8ijub","3.43","1.98","4.14","1.82","OK"
"8ijva","2.00","0.81","2.00","0.81","OK"
"8ijw3","2.96","5.01","4.77","2.54","OK"
"8ijwf","1.50","2.00","2.00","0.00","OK"
"8ijx4","2.16","0.00","3.32","2.65","OK"
"8ijy9","1.41","4.18","2.58","1.46","OK"
"8ijyd","5.20","6.18","6.35","0.61","OK"
"8ijzd","4.99","4.63","6.07","4.53","Observation"
"8ijze","5.64","3.39","1.35","3.44","OK"
"8ijzf","3.17","2.73","1.35","2.73","OK"
"8ijzi","4.27","4.71","6.10","1.49","OK"
"8ijzj","5.11","3.41","5.22","3.56","Fraud"
"8ijzx","6.24","3.47","6.56","1.63","OK"
"8ik0f","1.58","1.58","1.58","1.58","OK"
"8ik0g","1.00","0.00","0.00","0.00","OK"
"8ik0y","0.87","3.75","0.87","0.00","OK"
"8ik15","0.00","0.00","0.00","0.00","OK"
"8ik16","2.42","2.42","2.73","0.00","OK"
"8ik1o","0.00","0.00","0.00","0.00","OK"
"8ik1t","2.41","1.55","2.50","1.91","OK"
"8ik2b","3.32","4.11","4.15","2.27","OK"
"8ik2u","3.31","4.50","4.02","2.58","OK"
"8ik4w","3.75","0.30","3.58","2.91","OK"
"8ik58","8.63","6.97","7.22","3.14","OK"
"8ik59","4.52","4.65","4.20","1.67","OK"
"8ik67","0.00","0.00","0.00","0.00","OK"
"8ik6c","2.65","2.82","3.39","0.00","OK"
"8ik6x","0.00","0.00","0.00","0.00","OK"
"8ik7d","5.50","5.51","5.29","0.14","OK"
"8ik7m","0.00","0.00","0.00","0.00","OK"
"8ik7q","0.00","0.00","0.00","0.00","OK"
"8ik9c","0.86","1.56","0.86","0.86","OK"
"8ik9l","0.00","2.00","1.50","2.00","OK"
"8ik9s","1.55","3.00","3.00","1.56","OK"
"8ik9t","5.71","1.30","0.98","0.74","OK"
"8ika3","2.26","2.41","2.12","0.37","OK"
"8ikah","6.45","4.69","5.99","0.83","OK"
"8ikap","1.58","1.58","1.58","0.00","OK"
"8ikaq","0.81","2.00","2.00","2.00","OK"
"8ikb5","2.14","4.47","4.57","0.00","OK"
"8ikba","3.00","4.13","3.78","0.00","OK"
"8ikc8","0.00","0.00","0.00","0.00","OK"
"8ikdj","2.85","2.64","3.63","1.97","OK"
"8ikdw","4.46","4.66","4.36","1.81","OK"
"8ike2","2.81","1.85","3.85","1.44","OK"
"8ikf1","4.18","3.10","3.82","0.00","OK"
"8ikfo","1.50","2.65","0.95","0.34","OK"
"8ikg6","3.55","3.03","2.78","0.00","OK"
"8ikg9","2.00","2.00","2.00","2.00","OK"
"8iki8","1.50","2.00","2.00","0.00","OK"
"8ikip","5.58","6.91","6.53","3.55","OK"
"8ikjp","2.14","2.14","1.61","0.77","OK"
"8iklg","0.00","0.00","0.00","0.00","OK"
"8ikm9","4.82","6.53","6.54","4.63","OK"
"8ikme","4.85","4.92","4.91","0.85","OK"
"8ikmz","0.00","0.00","1.00","0.00","OK"
"8ikn6","4.74","5.91","5.23","3.19","OK"
"8ikna","2.31","2.94","2.48","0.00","OK"
"8ikou","5.98","3.72","0.00","0.00","OK"
"8ikpq","4.42","5.92","6.03","3.18","Observation"
"8ikr4","4.27","2.45","5.72","0.07","OK"
"8iks0","3.81","4.84","4.06","1.92","OK"
"8ikt9","4.55","5.52","6.61","2.86","Fraud"
"8ikuf","0.00","0.00","0.00","0.00","OK"
"8ikvr","3.32","4.92","4.32","2.58","OK"
"8ikyc","1.00","1.00","1.00","0.00","OK"
"8ikzq","6.86","5.04","6.74","3.48","OK"
"8il0o","2.70","4.64","4.09","3.10","Fraud"
"8il17","2.00","2.00","2.00","1.50","OK"
"8il1w","6.96","7.78","7.14","3.07","OK"
"8il22","4.14","4.92","3.80","1.00","OK"
"8il2j","3.61","1.67","2.57","0.61","OK"
"8il2x","6.74","5.80","6.48","1.37","OK"
"8il3g","5.56","6.03","6.18","3.30","OK"
"8il3o","2.32","2.32","2.32","1.92","OK"
"8il3v","5.71","2.41","5.71","3.15","OK"
"8il4c","4.49","4.31","2.85","0.87","OK"
"8il4n","6.22","2.69","6.36","2.29","OK"
"8il4r","2.75","2.25","2.16","0.00","OK"
"8il6b","3.20","4.29","3.40","0.88","OK"
"8il79","3.81","5.17","4.88","3.27","OK"
"8il7m","1.00","1.00","1.00","0.00","OK"
"8il8k","3.00","3.00","2.75","2.00","OK"
"8ilbu","4.71","1.12","5.05","0.55","OK"
"8ilbx","8.03","7.11","5.54","3.76","OK"
"8ilc9","1.58","1.58","1.58","0.00","OK"
"8ildb","4.56","3.70","4.08","0.72","OK"
"8ildi","7.69","6.91","7.41","2.97","OK"
"8ildn","1.77","2.92","3.12","2.92","OK"
"8ilee","0.00","0.00","0.00","0.00","OK"
"8ilel","2.63","3.08","2.86","2.58","OK"
"8ilf9","4.32","6.07","5.16","1.33","OK"
"8ilff","1.94","3.68","3.79","0.31","OK"
"8ilfu","5.61","6.01","6.23","1.61","OK"
"8ilh8","1.00","1.00","1.00","0.00","OK"
"8ili5","4.83","3.92","4.92","0.00","OK"
"8iljx","6.72","7.11","7.55","3.07","OK"
"8iljy","4.61","5.91","5.52","2.26","OK"
"8ill4","2.25","1.92","1.25","0.92","OK"
"8ilm3","1.58","1.58","0.00","1.58","OK"
"8ilm4","4.18","4.36","4.67","2.58","OK"
"8ilma","1.50","0.00","1.50","1.50","OK"
"8ilmh","0.92","0.00","0.92","0.92","OK"
"8ilnq","0.00","0.00","0.00","0.00","OK"
"8ilnu","3.77","5.17","4.42","2.31","OK"
"8iloh","2.41","3.00","2.16","0.54","OK"
"8ilok","6.21","5.69","6.74","2.11","Observation"
"8ilp2","2.52","1.15","2.52","1.66","OK"
"8ilqt","6.48","3.90","6.15","0.75","OK"
"8ils4","1.58","0.92","1.58","0.00","OK"
"8ils9","6.40","5.82","4.40","4.84","Observation"
"8ilu4","0.00","0.00","0.00","0.00","OK"
"8iluh","0.92","1.58","0.92","0.00","OK"
"8iluo","1.58","1.58","1.58","0.92","OK"
"8iluy","0.36","4.13","0.61","0.01","Observation"
"8ilyg","3.00","3.00","2.41","0.54","OK"
"8ilzp","5.29","5.15","5.13","1.39","OK"
"8ilzu","0.00","0.00","0.00","0.00","OK"
"8im0u","4.53","5.38","6.67","0.57","OK"
"8im11","2.32","1.52","0.00","0.00","OK"
"8im12","0.00","1.00","1.00","0.00","OK"
"8im1a","0.00","0.00","0.00","0.00","OK"
"8im1j","0.00","0.00","0.00","0.00","OK"
"8im29","1.50","2.00","2.00","0.81","OK"
"8im41","4.90","3.14","5.21","0.61","OK"
"8im4f","1.69","3.49","1.77","0.63","OK"
"8im4k","0.00","2.16","0.81","2.00","OK"
"8im4l","0.00","1.52","0.00","0.97","OK"
"8im50","0.00","0.00","0.00","0.00","OK"
"8im59","4.98","1.79","3.42","0.08","OK"
"8im6c","3.09","0.61","3.09","1.77","OK"
"8im6t","6.25","5.94","6.68","2.31","OK"
"8im78","4.71","4.20","5.94","2.64","OK"
"8im90","0.00","0.00","0.00","0.00","OK"
"8im9a","8.10","6.25","6.45","1.47","OK"
"8imbb","0.00","0.00","0.00","0.00","OK"
"8imcs","1.72","3.57","2.05","0.75","OK"
"8imd2","7.20","4.44","7.53","3.92","OK"
"8imdp","1.00","0.00","0.00","0.00","OK"
"8imdt","4.30","2.10","0.70","1.25","OK"
"8ime3","5.77","5.36","5.38","3.10","OK"
"8ime7","5.21","6.11","5.82","2.33","OK"
"8imef","0.65","1.79","0.65","0.65","OK"
"8imfu","0.00","0.00","0.00","0.00","OK"
"8img5","0.00","0.00","0.00","0.00","OK"
"8imgt","6.50","7.11","6.73","2.09","OK"
"8imh7","2.58","1.92","2.58","1.25","OK"
"8imho","1.58","1.58","0.92","0.92","OK"
"8imhp","1.00","1.00","1.00","1.00","OK"
"8imhz","3.23","3.25","4.53","0.23","OK"
"8imi0","2.00","1.50","1.50","1.50","OK"
"8imib","3.75","3.89","3.51","2.12","OK"
"8imik","0.00","0.00","0.00","0.00","OK"
"8imk8","6.10","5.92","4.96","3.99","Observation"
"8imkc","5.31","6.67","6.28","3.23","Observation"
"8imkd","4.16","5.21","6.12","0.86","OK"
"8imko","1.58","0.92","0.00","0.00","OK"
"8immj","8.03","6.94","5.91","4.45","OK"
"8immk","4.66","3.21","5.39","2.94","OK"
"8immq","1.00","1.00","1.00","1.00","OK"
"8immu","2.52","1.66","2.81","2.24","OK"
"8imna","2.04","3.31","4.01","1.56","OK"
"8imob","6.53","6.29","6.92","4.23","OK"
"8impo","5.10","4.44","3.44","0.06","OK"
"8imqe","6.76","6.17","5.87","4.20","OK"
"8imqn","1.58","1.58","0.92","0.00","OK"
"8imrg","3.32","2.72","0.00","0.00","OK"
"8imrr","4.20","2.76","4.87","0.42","OK"
"8ims6","4.93","5.45","6.65","0.30","Fraud"
"8imt7","0.00","0.00","0.00","0.00","OK"
"8imtk","2.13","2.81","2.13","1.15","OK"
"8imtz","0.00","0.00","0.00","0.00","OK"
"8imu3","4.20","4.08","3.50","0.64","OK"
"8imv2","5.38","5.04","5.17","3.18","OK"
"8imvn","7.46","6.21","7.23","3.14","OK"
"8imvu","2.58","2.58","2.25","1.25","OK"
"8imw6","2.52","2.52","2.24","1.38","OK"
"8imwm","5.25","5.69","5.52","2.90","OK"
"8imwn","3.84","4.72","4.54","0.16","OK"
"8imwx","7.34","7.53","6.70","2.17","OK"
"8imxk","0.00","0.00","0.00","0.00","OK"
"8imxz","3.64","3.64","3.51","1.04","OK"
"8imy8","0.00","0.00","0.00","0.00","OK"
"8imyq","0.00","0.00","0.00","0.00","OK"
"8imyz","0.81","2.00","1.50","1.50","OK"
"8imz2","3.66","1.31","4.16","2.81","OK"
"8imza","2.10","4.11","3.98","0.86","OK"
"8imzd","6.40","7.31","6.87","3.16","OK"
"8imze","4.71","5.67","5.06","4.52","OK"
"8imzr","5.97","2.34","5.98","2.60","OK"
"8imzv","4.50","4.93","4.22","0.52","OK"
"8in00","0.00","0.00","0.00","0.00","OK"
"8in07","0.65","0.65","0.65","0.00","OK"
"8in0d","7.38","6.08","5.48","0.51","OK"
"8in0q","0.00","0.00","0.00","0.00","OK"
"8in1c","3.09","3.66","3.09","2.41","OK"
"8in1d","3.92","4.05","2.46","1.41","OK"
"8in1s","7.25","7.82","5.06","4.31","OK"
"8in1t","5.26","5.86","6.28","2.81","OK"
"8in1y","1.00","0.00","1.00","1.00","OK"
"8in20","0.00","0.00","0.00","0.00","OK"
"8in2d","2.32","1.92","3.92","0.85","OK"
"8in2g","0.00","0.00","0.00","0.00","OK"
"8in34","3.48","4.15","3.97","1.73","OK"
"8in35","4.52","5.79","4.95","2.62","OK"
