"partnerid","TotalClicks","NoOfUniqueReferer","RefererClickRatio","NonRefererClickRatio","status"
"8igew","3","3","1.00","0.00","OK"
"8igfs","50","21","0.42","0.58","OK"
"8igh8","8","8","1.00","0.00","OK"
"8igih","2","1","0.50","0.50","OK"
"8igj2","45","24","0.53","0.47","OK"
"8igji","7","3","0.43","0.57","OK"
"8igkk","2","1","0.50","0.50","OK"
"8igkp","26","14","0.54","0.46","OK"
"8igl1","42","9","0.21","0.79","OK"
"8igl7","5","1","0.20","0.80","OK"
"8iglk","22","6","0.27","0.73","OK"
"8igm1","4","3","0.75","0.25","OK"
"8igm8","13","1","0.08","0.92","OK"
"8igmr","12","2","0.17","0.83","OK"
"8ign1","1","1","1.00","0.00","OK"
"8ignc","3","2","0.67","0.33","OK"
"8igne","5","5","1.00","0.00","OK"
"8igo3","19","1","0.05","0.95","OK"
"8igo7","192","3","0.02","0.98","OK"
"8igox","18","10","0.56","0.44","OK"
"8igpd","4","1","0.25","0.75","OK"
"8igpr","5","5","1.00","0.00","OK"
"8igql","13","11","0.85","0.15","OK"
"8igqx","2","1","0.50","0.50","OK"
"8igr1","1","1","1.00","0.00","OK"
"8igsh","1","1","1.00","0.00","OK"
"8igsi","5","5","1.00","0.00","OK"
"8igts","3","3","1.00","0.00","OK"
"8igv1","22","7","0.32","0.68","OK"
"8igvd","5","1","0.20","0.80","OK"
"8igy3","19","6","0.32","0.68","OK"
"8igyy","1381","316","0.23","0.77","Observation"
"8igz8","19","5","0.26","0.74","OK"
"8igzo","2","1","0.50","0.50","OK"
"8igzs","2","1","0.50","0.50","OK"
"8igzy","2","1","0.50","0.50","OK"
"8igzz","2","2","1.00","0.00","OK"
"8ih09","377","36","0.10","0.90","Fraud"
"8ih1h","9","2","0.22","0.78","OK"
"8ih1j","1","1","1.00","0.00","OK"
"8ih20","13","8","0.62","0.38","OK"
"8ih2n","61","2","0.03","0.97","OK"
"8ih3o","4","2","0.50","0.50","OK"
"8ih4k","5","3","0.60","0.40","OK"
"8ih6i","3","3","1.00","0.00","OK"
"8iha2","935","104","0.11","0.89","Observation"
"8ihab","13","9","0.69","0.31","OK"
"8ihac","6","4","0.67","0.33","OK"
"8ihaj","21","12","0.57","0.43","OK"
"8ihba","551","325","0.59","0.41","Observation"
"8ihbr","1","1","1.00","0.00","OK"
"8ihbx","6336","539","0.09","0.91","OK"
"8ihc4","1328","459","0.35","0.65","OK"
"8ihcj","1","1","1.00","0.00","OK"
"8ihck","28","3","0.11","0.89","OK"
"8ihcm","2","1","0.50","0.50","OK"
"8ihct","3","2","0.67","0.33","OK"
"8ihcu","17","6","0.35","0.65","OK"
"8ihd5","7","2","0.29","0.71","OK"
"8ihdv","49","11","0.22","0.78","OK"
"8ihe5","358","116","0.32","0.68","OK"
"8ihhk","2","2","1.00","0.00","OK"
"8ihij","6","1","0.17","0.83","OK"
"8ihik","52","12","0.23","0.77","OK"
"8ihk7","4782","1859","0.39","0.61","Observation"
"8ihkj","1","1","1.00","0.00","OK"
"8ihkt","240","109","0.45","0.55","OK"
"8ihl1","3","3","1.00","0.00","Fraud"
"8ihl9","224","60","0.27","0.73","OK"
"8ihlr","47","22","0.47","0.53","OK"
"8ihn7","61","18","0.30","0.70","OK"
"8ihna","176","38","0.22","0.78","OK"
"8ihnk","15","2","0.13","0.87","OK"
"8ihot","6","1","0.17","0.83","OK"
"8ihpi","75376","20681","0.27","0.73","OK"
"8ihqx","178","102","0.57","0.43","OK"
"8ihrz","13","5","0.38","0.62","OK"
"8ihs5","32","13","0.41","0.59","OK"
"8ihsd","83","21","0.25","0.75","OK"
"8ihsp","49","10","0.20","0.80","OK"
"8ihth","14","6","0.43","0.57","OK"
"8ihtk","1","1","1.00","0.00","OK"
"8ihtv","88","33","0.38","0.63","OK"
"8ihue","3","2","0.67","0.33","OK"
"8ihuk","4","1","0.25","0.75","OK"
"8ihup","347","127","0.37","0.63","OK"
"8ihuv","1","1","1.00","0.00","OK"
"8ihuy","3","1","0.33","0.67","OK"
"8ihv1","107","75","0.70","0.30","OK"
"8ihvb","1","1","1.00","0.00","OK"
"8ihwi","1","1","1.00","0.00","OK"
"8ihwm","5","2","0.40","0.60","OK"
"8ihxc","1","1","1.00","0.00","OK"
"8ihxl","2","1","0.50","0.50","OK"
"8ihxp","1","1","1.00","0.00","OK"
"8ihxy","1","1","1.00","0.00","OK"
"8ihy6","3","2","0.67","0.33","OK"
"8ihyb","8","8","1.00","0.00","OK"
"8ihyi","1","1","1.00","0.00","OK"
"8ihz5","11","9","0.82","0.18","OK"
"8ihzv","2","2","1.00","0.00","OK"
"8ihzw","7","6","0.86","0.14","OK"
"8ihzy","159","11","0.07","0.93","OK"
"8ii07","12","6","0.50","0.50","OK"
"8ii0g","175","20","0.11","0.89","OK"
"8ii0i","160","19","0.12","0.88","OK"
"8ii0k","87","1","0.01","0.99","OK"
"8ii11","469","198","0.42","0.58","OK"
"8ii14","36","15","0.42","0.58","OK"
"8ii1p","10","1","0.10","0.90","OK"
"8ii1r","570","293","0.51","0.49","OK"
"8ii26","176","154","0.88","0.13","OK"
"8ii2b","742","277","0.37","0.63","OK"
"8ii2l","3","3","1.00","0.00","OK"
"8ii2n","2","1","0.50","0.50","OK"
"8ii3a","224","36","0.16","0.84","OK"
"8ii4l","7","3","0.43","0.57","OK"
"8ii4n","2","1","0.50","0.50","OK"
"8ii4y","2","2","1.00","0.00","OK"
"8ii58","65","35","0.54","0.46","OK"
"8ii5a","35","23","0.66","0.34","OK"
"8ii5u","1","1","1.00","0.00","OK"
"8ii6o","9","1","0.11","0.89","OK"
"8ii7u","183","1","0.01","0.99","OK"
"8ii9a","301","196","0.65","0.35","OK"
"8iiai","3","1","0.33","0.67","OK"
"8iiby","6","1","0.17","0.83","OK"
"8iic8","2","1","0.50","0.50","OK"
"8iicn","6","4","0.67","0.33","OK"
"8iid3","816","363","0.44","0.56","OK"
"8iid4","6416","1274","0.20","0.80","Fraud"
"8iidh","34","15","0.44","0.56","OK"
"8iidk","928","75","0.08","0.92","OK"
"8iidm","2395","113","0.05","0.95","OK"
"8iidn","1843","96","0.05","0.95","OK"
"8iidr","2267","106","0.05","0.95","OK"
"8iie9","13","6","0.46","0.54","OK"
"8iieo","3","2","0.67","0.33","OK"
"8iig5","1462","97","0.07","0.93","OK"
"8iigf","2","1","0.50","0.50","OK"
"8iigk","1","1","1.00","0.00","OK"
"8iigl","1375","88","0.06","0.94","OK"
"8iigz","59","16","0.27","0.73","OK"
"8iih9","160","15","0.09","0.91","OK"
"8iiii","3","3","1.00","0.00","OK"
"8iiiv","4","1","0.25","0.75","OK"
"8iij1","1","1","1.00","0.00","OK"
"8iijd","3","2","0.67","0.33","OK"
"8iijk","142","65","0.46","0.54","OK"
"8iijt","1554","670","0.43","0.57","OK"
"8iik1","1553","208","0.13","0.87","OK"
"8iilm","2","2","1.00","0.00","OK"
"8iim7","2","2","1.00","0.00","OK"
"8iimi","2","2","1.00","0.00","OK"
"8iina","1355","755","0.56","0.44","OK"
"8iinm","2","1","0.50","0.50","OK"
"8iiov","9","9","1.00","0.00","OK"
"8iiq8","5","2","0.40","0.60","OK"
"8iiqq","2","2","1.00","0.00","OK"
"8iir0","49","2","0.04","0.96","OK"
"8iird","71","13","0.18","0.82","OK"
"8iitn","1","1","1.00","0.00","OK"
"8iitu","337","163","0.48","0.52","OK"
"8iitv","33","2","0.06","0.94","OK"
"8iivd","398","175","0.44","0.56","OK"
"8iivr","134","1","0.01","0.99","OK"
"8iiwo","4","4","1.00","0.00","OK"
"8iix3","1","1","1.00","0.00","OK"
"8iixo","44","33","0.75","0.25","OK"
"8iixv","36","6","0.17","0.83","OK"
"8iixy","6","6","1.00","0.00","OK"
"8iixz","5","3","0.60","0.40","OK"
"8iiy4","569","60","0.11","0.89","OK"
"8iiyk","43","23","0.53","0.47","OK"
"8ij00","3","2","0.67","0.33","OK"
"8ij02","17","15","0.88","0.12","OK"
"8ij0g","9359","2214","0.24","0.76","OK"
"8ij0y","87","2","0.02","0.98","OK"
"8ij1v","1","1","1.00","0.00","OK"
"8ij22","23","10","0.43","0.57","OK"
"8ij28","3","3","1.00","0.00","OK"
"8ij2q","197","90","0.46","0.54","OK"
"8ij2z","75","10","0.13","0.87","OK"
"8ij34","2","2","1.00","0.00","OK"
"8ij3p","2","1","0.50","0.50","OK"
"8ij42","695","69","0.10","0.90","OK"
"8ij4e","5","1","0.20","0.80","OK"
"8ij4s","1","1","1.00","0.00","OK"
"8ij4w","6","1","0.17","0.83","OK"
"8ij4y","144","2","0.01","0.99","OK"
"8ij4z","9","1","0.11","0.89","OK"
"8ij59","782","3","0.00","1.00","OK"
"8ij5w","238","22","0.09","0.91","OK"
"8ij62","1","1","1.00","0.00","OK"
"8ij63","12","6","0.50","0.50","OK"
"8ij6x","13","9","0.69","0.31","OK"
"8ij77","1","1","1.00","0.00","OK"
"8ij7g","1","1","1.00","0.00","OK"
"8ij8t","3","1","0.33","0.67","OK"
"8ij92","836","110","0.13","0.87","OK"
"8ij9m","394","42","0.11","0.89","OK"
"8ijat","23","15","0.65","0.35","OK"
"8ijb4","14","13","0.93","0.07","OK"
"8ijb7","29","22","0.76","0.24","OK"
"8ijb8","6480","4569","0.71","0.29","OK"
"8ijba","5730","23","0.00","1.00","OK"
"8ijbf","1904","1404","0.74","0.26","OK"
"8ijcm","147","34","0.23","0.77","OK"
"8ijd3","20","3","0.15","0.85","OK"
"8ijdf","1","1","1.00","0.00","OK"
"8ije6","7","4","0.57","0.43","OK"
"8ijed","2","2","1.00","0.00","OK"
"8ijei","18","7","0.39","0.61","OK"
"8ijeq","4","4","1.00","0.00","OK"
"8ijf6","6","4","0.67","0.33","OK"
"8ijfb","184","48","0.26","0.74","OK"
"8ijfd","311","129","0.41","0.59","OK"
"8ijfl","1","1","1.00","0.00","OK"
"8ijgn","3","3","1.00","0.00","OK"
"8ijj1","1","1","1.00","0.00","OK"
"8ijjb","5","4","0.80","0.20","OK"
"8ijlc","4","4","1.00","0.00","OK"
"8ijmb","1","1","1.00","0.00","OK"
"8ijod","55","39","0.71","0.29","OK"
"8ijq9","18","11","0.61","0.39","OK"
"8ijql","91","1","0.01","0.99","Observation"
"8ijqm","3","3","1.00","0.00","OK"
"8ijqn","1","1","1.00","0.00","OK"
"8ijqw","7","1","0.14","0.86","OK"
"8ijro","38","1","0.03","0.97","OK"
"8ijs4","1","1","1.00","0.00","OK"
"8ijsn","10","2","0.20","0.80","OK"
"8ijsu","5","2","0.40","0.60","OK"
"8ijtd","2","1","0.50","0.50","OK"
"8ijub","19","6","0.32","0.68","OK"
"8ijva","4","4","1.00","0.00","OK"
"8ijw3","43","30","0.70","0.30","OK"
"8ijwf","4","4","1.00","0.00","OK"
"8ijx4","10","7","0.70","0.30","OK"
"8ijy9","45","1","0.02","0.98","OK"
"8ijyd","342","147","0.43","0.57","OK"
"8ijzd","1156","8","0.01","0.99","Observation"
"8ijze","113","2","0.02","0.98","OK"
"8ijzf","9","1","0.11","0.89","OK"
"8ijzi","560","373","0.67","0.33","OK"
"8ijzj","917","3","0.00","1.00","Fraud"
"8ijzx","4145","2153","0.52","0.48","OK"
"8ik0f","3","3","1.00","0.00","OK"
"8ik0g","2","1","0.50","0.50","OK"
"8ik0y","16","1","0.06","0.94","OK"
"8ik15","1","1","1.00","0.00","OK"
"8ik16","9","5","0.56","0.44","OK"
"8ik1o","1","1","1.00","0.00","OK"
"8ik1t","8","7","0.88","0.13","OK"
"8ik2b","39","30","0.77","0.23","OK"
"8ik2u","24","13","0.54","0.46","OK"
"8ik4w","19","2","0.11","0.89","OK"
"8ik58","8434","2666","0.32","0.68","OK"
"8ik59","44","35","0.80","0.20","OK"
"8ik67","1","1","1.00","0.00","OK"
"8ik6c","13","2","0.15","0.85","OK"
"8ik6x","1","1","1.00","0.00","OK"
"8ik7d","170","64","0.38","0.62","OK"
"8ik7m","1","1","1.00","0.00","OK"
"8ik7q","1","1","1.00","0.00","OK"
"8ik9c","7","1","0.14","0.86","OK"
"8ik9l","4","2","0.50","0.50","OK"
"8ik9s","8","7","0.88","0.13","OK"
"8ik9t","84","2","0.02","0.98","OK"
"8ika3","14","4","0.29","0.71","OK"
"8ikah","635","236","0.37","0.63","OK"
"8ikap","3","3","1.00","0.00","OK"
"8ikaq","4","3","0.75","0.25","OK"
"8ikb5","101","38","0.38","0.62","OK"
"8ikba","31","17","0.55","0.45","OK"
"8ikc8","1","1","1.00","0.00","OK"
"8ikdj","22","1","0.05","0.95","OK"
"8ikdw","39","28","0.72","0.28","OK"
"8ike2","17","11","0.65","0.35","OK"
"8ikf1","32","4","0.13","0.88","OK"
"8ikfo","16","1","0.06","0.94","OK"
"8ikg6","13","6","0.46","0.54","OK"
"8ikg9","4","4","1.00","0.00","OK"
"8iki8","4","4","1.00","0.00","OK"
"8ikip","510","166","0.33","0.67","OK"
"8ikjp","13","2","0.15","0.85","OK"
"8iklg","1","1","1.00","0.00","OK"
"8ikm9","285","180","0.63","0.37","OK"
"8ikme","76","47","0.62","0.38","OK"
"8ikmz","2","2","1.00","0.00","OK"
"8ikn6","128","68","0.53","0.47","OK"
"8ikna","23","9","0.39","0.61","OK"
"8ikou","147","1","0.01","0.99","OK"
"8ikpq","296","173","0.58","0.42","Observation"
"8ikr4","549","86","0.16","0.84","OK"
"8iks0","36","9","0.25","0.75","OK"
"8ikt9","4678","1025","0.22","0.78","Fraud"
"8ikuf","1","1","1.00","0.00","OK"
"8ikvr","62","12","0.19","0.81","OK"
"8ikyc","2","2","1.00","0.00","OK"
"8ikzq","688","102","0.15","0.85","OK"
"8il0o","8887","3464","0.39","0.61","Fraud"
"8il17","4","4","1.00","0.00","OK"
"8il1w","1622","8","0.00","1.00","OK"
"8il22","49","35","0.71","0.29","OK"
"8il2j","18","7","0.39","0.61","OK"
"8il2x","660","261","0.40","0.60","OK"
"8il3g","430","191","0.44","0.56","OK"
"8il3o","5","5","1.00","0.00","OK"
"8il3v","233","86","0.37","0.63","OK"
"8il4c","42","13","0.31","0.69","OK"
"8il4n","514","84","0.16","0.84","OK"
"8il4r","8","6","0.75","0.25","OK"
"8il6b","73","19","0.26","0.74","OK"
"8il79","47","33","0.70","0.30","OK"
"8il7m","2","2","1.00","0.00","OK"
"8il8k","8","5","0.63","0.38","OK"
"8ilbu","146","71","0.49","0.51","OK"
"8ilbx","15478","68","0.00","1.00","OK"
"8ilc9","3","2","0.67","0.33","OK"
"8ildb","25","17","0.68","0.32","OK"
"8ildi","5783","1718","0.30","0.70","OK"
"8ildn","10","5","0.50","0.50","OK"
"8ilee","1","1","1.00","0.00","OK"
"8ilel","12","8","0.67","0.33","OK"
"8ilf9","148","84","0.57","0.43","OK"
"8ilff","18","11","0.61","0.39","OK"
"8ilfu","811","124","0.15","0.85","OK"
"8ilh8","2","2","1.00","0.00","OK"
"8ili5","63","60","0.95","0.05","OK"
"8iljx","4937","2498","0.51","0.49","OK"
"8iljy","103","36","0.35","0.65","OK"
"8ill4","6","3","0.50","0.50","OK"
"8ilm3","3","1","0.33","0.67","OK"
"8ilm4","35","10","0.29","0.71","OK"
"8ilma","4","3","0.75","0.25","OK"
"8ilmh","3","2","0.67","0.33","OK"
"8ilnq","1","1","1.00","0.00","OK"
"8ilnu","42","16","0.38","0.62","OK"
"8iloh","8","8","1.00","0.00","OK"
"8ilok","2758","1459","0.53","0.47","Observation"
"8ilp2","7","6","0.86","0.14","OK"
"8ilqt","2885","60","0.02","0.98","OK"
"8ils4","3","2","0.67","0.33","OK"
"8ils9","2308","7","0.00","1.00","Observation"
"8ilu4","1","1","1.00","0.00","OK"
"8iluh","3","3","1.00","0.00","OK"
"8iluo","3","3","1.00","0.00","OK"
"8iluy","740","570","0.77","0.23","Observation"
"8ilyg","8","4","0.50","0.50","OK"
"8ilzp","115","27","0.23","0.77","OK"
"8ilzu","1","1","1.00","0.00","OK"
"8im0u","735","175","0.24","0.76","OK"
"8im11","5","1","0.20","0.80","OK"
"8im12","2","2","1.00","0.00","OK"
"8im1a","1","1","1.00","0.00","OK"
"8im1j","1","1","1.00","0.00","OK"
"8im29","4","1","0.25","0.75","OK"
"8im41","154","63","0.41","0.59","OK"
"8im4f","269","5","0.02","0.98","OK"
"8im4k","8","7","0.88","0.13","OK"
"8im4l","5","5","1.00","0.00","OK"
"8im50","1","1","1.00","0.00","OK"
"8im59","4094","33","0.01","0.99","OK"
"8im6c","18","6","0.33","0.67","OK"
"8im6t","3118","147","0.05","0.95","OK"
"8im78","169","1","0.01","0.99","OK"
"8im90","1","1","1.00","0.00","OK"
"8im9a","4944","1876","0.38","0.62","OK"
"8imbb","1","1","1.00","0.00","OK"
"8imcs","279","7","0.03","0.97","OK"
"8imd2","47803","19651","0.41","0.59","OK"
"8imdp","2","2","1.00","0.00","OK"
"8imdt","21","1","0.05","0.95","OK"
"8ime3","152","84","0.55","0.45","OK"
"8ime7","150","74","0.49","0.51","OK"
"8imef","6","2","0.33","0.67","OK"
"8imfu","1","1","1.00","0.00","OK"
"8img5","1","1","1.00","0.00","OK"
"8imgt","2048","340","0.17","0.83","OK"
"8imh7","6","6","1.00","0.00","OK"
"8imho","3","3","1.00","0.00","OK"
"8imhp","2","2","1.00","0.00","OK"
"8imhz","27","14","0.52","0.48","OK"
"8imi0","4","2","0.50","0.50","OK"
"8imib","19","6","0.32","0.68","OK"
"8imik","1","1","1.00","0.00","OK"
"8imk8","360","11","0.03","0.97","Observation"
"8imkc","325","252","0.78","0.22","Observation"
"8imkd","263","71","0.27","0.73","OK"
"8imko","3","1","0.33","0.67","OK"
"8immj","22977","111","0.00","1.00","OK"
"8immk","92","26","0.28","0.72","OK"
"8immq","2","2","1.00","0.00","OK"
"8immu","7","2","0.29","0.71","OK"
"8imna","57","37","0.65","0.35","OK"
"8imob","1024","560","0.55","0.45","OK"
"8impo","133","18","0.14","0.86","OK"
"8imqe","867","87","0.10","0.90","OK"
"8imqn","3","3","1.00","0.00","OK"
"8imrg","10","1","0.10","0.90","OK"
"8imrr","81","1","0.01","0.99","OK"
"8ims6","677","196","0.29","0.71","Fraud"
"8imt7","1","1","1.00","0.00","OK"
"8imtk","7","3","0.43","0.57","OK"
"8imtz","1","1","1.00","0.00","OK"
"8imu3","32","13","0.41","0.59","OK"
"8imv2","171","26","0.15","0.85","OK"
"8imvn","2264","749","0.33","0.67","OK"
"8imvu","6","4","0.67","0.33","OK"
"8imw6","7","2","0.29","0.71","OK"
"8imwm","84","56","0.67","0.33","OK"
"8imwn","42","15","0.36","0.64","OK"
"8imwx","2948","768","0.26","0.74","OK"
"8imxk","1","1","1.00","0.00","OK"
"8imxz","15","3","0.20","0.80","OK"
"8imy8","1","1","1.00","0.00","OK"
"8imyq","1","1","1.00","0.00","OK"
"8imyz","4","3","0.75","0.25","OK"
"8imz2","32","14","0.44","0.56","OK"
"8imza","21","10","0.48","0.52","OK"
"8imzd","2402","288","0.12","0.88","OK"
"8imze","98","12","0.12","0.88","OK"
"8imzr","297","133","0.45","0.55","OK"
"8imzv","69","29","0.42","0.58","OK"
"8in00","1","1","1.00","0.00","OK"
"8in07","6","2","0.33","0.67","OK"
"8in0d","1934","375","0.19","0.81","OK"
"8in0q","1","1","1.00","0.00","OK"
"8in1c","14","12","0.86","0.14","OK"
"8in1d","45","9","0.20","0.80","OK"
"8in1s","8047","448","0.06","0.94","OK"
"8in1t","2575","407","0.16","0.84","OK"
"8in1y","2","2","1.00","0.00","OK"
"8in20","1","1","1.00","0.00","OK"
"8in2d","20","12","0.60","0.40","OK"
"8in2g","2","1","0.50","0.50","OK"
"8in34","22","2","0.09","0.91","OK"
"8in35","71","2","0.03","0.97","OK"
"8in36","1","1","1.00","0.00","OK"
"8in3c","2034","136","0.07","0.93","OK"
"8in41","1","1","1.00","0.00","OK"
"8in43","1","1","1.00","0.00","OK"
"8in49","8","2","0.25","0.75","OK"
"8in4e","2","1","0.50","0.50","OK"
"8in66","34","18","0.53","0.47","OK"
"8in69","17346","10358","0.60","0.40","OK"
"8in6a","19975","10090","0.51","0.49","OK"
"8in7f","239","54","0.23","0.77","OK"
"8in80","8","7","0.88","0.13","OK"
"8in8e","487","6","0.01","0.99","Fraud"
"8in8l","3","1","0.33","0.67","OK"
"8in8z","6","1","0.17","0.83","OK"
"8in9f","2","2","1.00","0.00","OK"
"8in9m","17","6","0.35","0.65","OK"
"8ina8","2","2","1.00","0.00","OK"
"8inag","9","7","0.78","0.22","OK"
"8inat","5","4","0.80","0.20","OK"
"8inay","20442","10374","0.51","0.49","OK"
"8inbg","2","2","1.00","0.00","OK"
"8inca","1","1","1.00","0.00","OK"
"8incg","2","2","1.00","0.00","OK"
"8inch","1","1","1.00","0.00","OK"
"8inck","231","139","0.60","0.40","OK"
"8ind9","1","1","1.00","0.00","OK"
"8indc","60","33","0.55","0.45","OK"
"8inei","359","38","0.11","0.89","OK"
"8inf7","77","26","0.34","0.66","OK"
"8ingg","41","15","0.37","0.63","OK"
"8ings","180","27","0.15","0.85","OK"
"8inhr","2070","812","0.39","0.61","OK"
"8ini4","27","12","0.44","0.56","OK"
"8ini5","2","1","0.50","0.50","OK"
"8inig","43","31","0.72","0.28","OK"
"8inil","46","26","0.57","0.43","OK"
"8injc","24","16","0.67","0.33","OK"
"8injo","4","3","0.75","0.25","OK"
"8inkd","9","7","0.78","0.22","OK"
"8inld","3","2","0.67","0.33","OK"
"8inn7","591","124","0.21","0.79","OK"
"8ino6","3016","903","0.30","0.70","OK"
"8inp3","14","10","0.71","0.29","OK"
"8inrc","30","13","0.43","0.57","OK"
"8ins1","205","69","0.34","0.66","OK"
"8insm","27","17","0.63","0.37","OK"
"8insr","3","1","0.33","0.67","OK"
"8intf","51","20","0.39","0.61","OK"
"8inu8","8","4","0.50","0.50","OK"
"8inum","354","196","0.55","0.45","OK"
"8invg","4","4","1.00","0.00","OK"
"8inwd","250","89","0.36","0.64","OK"
"8inwo","144","45","0.31","0.69","OK"
"8inwq","37","35","0.95","0.05","OK"
"8inwx","6","5","0.83","0.17","OK"
"8inz6","45","7","0.16","0.84","OK"
"8inz8","189","26","0.14","0.86","OK"
"8io28","53","27","0.51","0.49","OK"
"8io3k","3","2","0.67","0.33","OK"
"8io3v","2","1","0.50","0.50","OK"
"8io4k","1","1","1.00","0.00","OK"
"8io4t","7","5","0.71","0.29","OK"
"8io5j","1254","579","0.46","0.54","OK"
"8io5s","2246","1052","0.47","0.53","OK"
"8io79","1","1","1.00","0.00","OK"
"8io7a","3","2","0.67","0.33","OK"
"8io8s","142","62","0.44","0.56","OK"
"8io95","29","17","0.59","0.41","OK"
"8io9t","15","1","0.07","0.93","OK"
"8ioac","32","1","0.03","0.97","OK"
"8ioad","601","11","0.02","0.98","Observation"
"8ioaf","290","3","0.01","0.99","OK"
"8iob1","27","13","0.48","0.52","OK"
"8ioby","10","6","0.60","0.40","OK"
"8iofb","6","4","0.67","0.33","OK"
"8iohm","1","1","1.00","0.00","OK"
"8ioj0","1","1","1.00","0.00","OK"
"8iok5","1","1","1.00","0.00","OK"
"8iokr","1","1","1.00","0.00","OK"
"8ioml","2","2","1.00","0.00","OK"
"8iomw","2","1","0.50","0.50","OK"
"8ionb","3","2","0.67","0.33","OK"
"8ionh","1","1","1.00","0.00","OK"
"8ionj","5","5","1.00","0.00","OK"
"8ioo5","17","6","0.35","0.65","OK"
"8ioo7","12","9","0.75","0.25","OK"
"8ioov","1","1","1.00","0.00","OK"
"8ioqe","740","342","0.46","0.54","OK"
"8ior0","8","4","0.50","0.50","OK"
"8iory","3","2","0.67","0.33","OK"
"8iosv","3009","468","0.16","0.84","OK"
"8iot1","605","258","0.43","0.57","OK"
"8iott","1","1","1.00","0.00","OK"
"8iou1","20","12","0.60","0.40","OK"
"8iou5","2","1","0.50","0.50","OK"
"8iou8","148","83","0.56","0.44","OK"
"8ioui","2","2","1.00","0.00","OK"
"8ioul","3","2","0.67","0.33","OK"
"8iow5","7","1","0.14","0.86","OK"
"8iowu","55","20","0.36","0.64","OK"
"8ioyh","3","1","0.33","0.67","OK"
"8ioyz","1","1","1.00","0.00","OK"
"8iozi","23","13","0.57","0.43","OK"
"8ip10","3","2","0.67","0.33","OK"
"8ip1i","1","1","1.00","0.00","OK"
"8ip1v","862","154","0.18","0.82","OK"
"8ip45","9015","3326","0.37","0.63","OK"
"8ip46","6","6","1.00","0.00","OK"
"8ip4d","12631","3361","0.27","0.73","OK"
"8ip5p","1720","393","0.23","0.77","OK"
"8ip5q","291","4","0.01","0.99","OK"
"8ip65","1","1","1.00","0.00","OK"
"8ip71","1539","680","0.44","0.56","Observation"
"8ip85","1","1","1.00","0.00","OK"
"8ip8o","5","5","1.00","0.00","OK"
"8ipat","5","3","0.60","0.40","OK"
"8ipcr","8","4","0.50","0.50","OK"
"8ipdk","2","2","1.00","0.00","OK"
"8ipdp","6","4","0.67","0.33","OK"
"8ipdr","4","4","1.00","0.00","OK"
"8ipeq","6","6","1.00","0.00","OK"
"8ipg0","5","1","0.20","0.80","OK"
"8ipg1","5","2","0.40","0.60","OK"
"8ipgq","23","7","0.30","0.70","OK"
"8ipgz","1","1","1.00","0.00","OK"
"8iph1","1","1","1.00","0.00","OK"
"8ipif","3","2","0.67","0.33","OK"
"8ipiu","10","8","0.80","0.20","OK"
"8ipks","28","11","0.39","0.61","OK"
"8ipls","93","15","0.16","0.84","OK"
"8ipm4","16","6","0.38","0.63","OK"
"8ipn0","7","5","0.71","0.29","OK"
"8ipoi","2","1","0.50","0.50","OK"
"8ipoo","715","164","0.23","0.77","OK"
"8ippe","7","4","0.57","0.43","OK"
"8ippl","4","3","0.75","0.25","OK"
"8ipr3","77","29","0.38","0.62","OK"
"8iprx","1","1","1.00","0.00","OK"
"8ipxe","186","7","0.04","0.96","OK"
"8ipxf","3","2","0.67","0.33","OK"
"8iq0e","141","2","0.01","0.99","OK"
"8iq0h","1","1","1.00","0.00","OK"
"8iq0l","167","100","0.60","0.40","OK"
"8iq0m","3","1","0.33","0.67","OK"
"8iq0q","53","18","0.34","0.66","OK"
"8iq0r","6","1","0.17","0.83","OK"
"8iq11","2","2","1.00","0.00","OK"
"8iq1n","8","6","0.75","0.25","OK"
"8iq1z","685","123","0.18","0.82","Observation"
"8iq22","215","120","0.56","0.44","OK"
"8iq3b","35","28","0.80","0.20","OK"
"8iq4r","754","207","0.27","0.73","OK"
"8iq53","2759","98","0.04","0.96","OK"
"8iq7l","1","1","1.00","0.00","OK"
"8iq7q","19","8","0.42","0.58","OK"
"8iq85","24","18","0.75","0.25","OK"
"8iqbs","5","3","0.60","0.40","OK"
"8iqd8","1","1","1.00","0.00","OK"
"8iqde","28","20","0.71","0.29","OK"
"8iqe6","9","5","0.56","0.44","OK"
"8iqec","1","1","1.00","0.00","OK"
"8iqee","1","1","1.00","0.00","OK"
"8iqez","1","1","1.00","0.00","OK"
"8iqfg","4","1","0.25","0.75","OK"
"8iqhl","4","2","0.50","0.50","OK"
"8iqip","1","1","1.00","0.00","OK"
"8iqjj","2","2","1.00","0.00","OK"
"8iqk3","20","7","0.35","0.65","OK"
"8iqks","5","5","1.00","0.00","OK"
"8iqni","9","2","0.22","0.78","OK"
"8iqnn","7","3","0.43","0.57","OK"
"8iqnv","7250","4500","0.62","0.38","OK"
"8iqp5","1","1","1.00","0.00","OK"
"8iqqe","7","6","0.86","0.14","OK"
"8iqr5","1","1","1.00","0.00","OK"
"8iqsf","1","1","1.00","0.00","OK"
"8iqsw","1","1","1.00","0.00","OK"
"8iqtd","2","1","0.50","0.50","OK"
"8iqth","46","10","0.22","0.78","OK"
"8iqu0","1","1","1.00","0.00","OK"
"8iqu4","1","1","1.00","0.00","OK"
"8iqu5","1","1","1.00","0.00","OK"
