"partnerid","Skew1Min","Skew5Min","Skew3Hr","Skew6Hr","status"
"8idn9","2.47","2.47","2.47","2.47","OK"
"8idnv",0.00,0.00,0.00,0.00,"OK"
"8idny",0.00,0.00,0.00,0.00,"OK"
"8ido2","5.20","3.21","2.11","1.55","OK"
"8idoa","2.36","2.36","2.19","1.71","OK"
"8idob","0.00","0.00","0.00","0.00","OK"
"8idoc","1.15","1.15","-0.71","-0.71","OK"
"8idou","2.85","2.85","1.75","1.00","OK"
"8idp1",0.00,0.00,0.00,0.00,"OK"
"8idp3",0.00,0.00,0.00,0.00,"OK"
"8ie57",0.00,0.00,0.00,0.00,"OK"
"8ie5k",0.00,0.00,0.00,0.00,"OK"
"8ie7p",0.00,0.00,0.00,"0.00","OK"
"8ie82","0.71","0.71","0.71","0.71","OK"
"8ie98","-1.15","0.38",0.00,0.00,"OK"
"8ie9s",0.00,0.00,0.00,"1.15","OK"
"8iea1","1.50","0.00","0.00","0.00","OK"
"8ieaq","2.62","2.18","0.54","-0.33","OK"
"8ieaz","1.36","1.39","0.36","-0.39","OK"
"8ieb4",0.00,"0.71","0.71","0.71","OK"
"8iebt",0.00,0.00,0.00,0.00,"OK"
"8iebx",0.00,0.00,"2.04","1.79","OK"
"8ief6",0.00,0.00,"1.12","1.50","OK"
"8iefb","4.33","2.51","1.52","1.17","OK"
"8iefl","4.16","1.87","0.36","-0.34","OK"
"8iefo",0.00,0.00,0.00,0.00,"OK"
"8iefs",0.00,0.00,0.00,0.00,"OK"
"8ieg2","8.66","3.45","0.95","0.03","OK"
"8iegi",0.00,0.00,0.00,0.00,"OK"
"8ieh3",0.00,0.00,"2.04","1.79","OK"
"8iehk",0.00,"2.37","1.18","1.05","OK"
"8ieht","0.84","0.80","0.08","-0.79","Observation"
"8iejt",0.00,0.00,0.00,0.00,"OK"
"8iel9","3.11","2.38","0.47","-0.16","OK"
"8ielc",0.00,0.00,"0.57","0.89","OK"
"8iem5","2.56","2.14","1.69","0.80","Fraud"
"8iemj",0.00,0.00,0.00,0.00,"OK"
"8ien9",0.00,0.00,"1.12","1.79","OK"
"8ieo7",0.00,0.00,0.00,0.00,"OK"
"8ieol",0.00,0.00,"1.60","0.14","OK"
"8ieqn",0.00,0.00,"0.71","0.00","OK"
"8iequ",0.00,0.00,0.00,0.00,"OK"
"8ies6","2.67","2.47","2.47","2.27","OK"
"8ies8","5.77","2.76","0.32","0.10","OK"
"8ieso",0.00,0.00,0.00,0.00,"OK"
"8iet9","1.43","1.71","0.69","-0.62","OK"
"8ietw",0.00,0.00,"1.15","0.63","OK"
"8ieuh",0.00,0.00,0.00,0.00,"OK"
"8iev9",0.00,0.00,0.00,0.00,"OK"
"8ievj",0.00,"3.18","0.00","0.00","OK"
"8ievt","4.06","2.65","0.30","-0.06","OK"
"8ievz","0.61","2.99","2.43","2.78","Fraud"
"8iex1","2.90","1.12","0.43","-0.60","OK"
"8iex9","2.13","1.09","0.46","-0.33","OK"
"8iexi",0.00,0.00,"1.79","1.50","OK"
"8iext",0.00,0.00,"1.79","1.50","OK"
"8if13","3.24","4.63","2.63","1.24","OK"
"8if2b",0.00,0.00,"1.15","1.15","OK"
"8if3m","4.59","2.62","0.86","0.44","OK"
"8if4w",0.00,0.00,0.00,0.00,"OK"
"8if5c",0.00,0.00,0.00,0.00,"OK"
"8if5p","4.59","-0.07",0.00,0.00,"OK"
"8if6n",0.00,0.00,0.00,0.00,"OK"
"8if7b",0.00,0.00,0.00,0.00,"OK"
"8if9o","1.24","1.86","2.73","2.13","Fraud"
"8ifa1","0.97","0.88","0.50","-0.42","Observation"
"8ifan","5.75","5.75","1.87","1.22","OK"
"8ifcw","2.53","1.64","0.32","0.31","Fraud"
"8ifem",0.00,0.00,0.00,0.00,"OK"
"8iff5","1.15","1.15","0.00","0.00","OK"
"8iff6",0.00,0.00,0.00,0.00,"OK"
"8iffk","3.99","2.40","0.54","-0.31","OK"
"8ifg0",0.00,0.00,0.00,0.00,"OK"
"8ifg9",0.00,0.00,0.00,0.00,"OK"
"8ifgn",0.00,"1.15","0.71","0.00","OK"
"8ifik","4.20","3.20","0.87","-0.02","OK"
"8ifm5",0.00,0.00,0.00,0.00,"OK"
"8ifma","6.62","3.73","0.34","-0.46","OK"
"8ifmk",0.00,0.00,0.00,0.00,"OK"
"8ifna",0.00,0.00,0.00,"0.95","OK"
"8ifnd",0.00,0.00,0.00,0.00,"OK"
"8ifog","3.94","5.90","0.43","0.04","OK"
"8ifov",0.00,"4.19","0.70","-0.06","OK"
"8ifqc","5.39","3.87","0.61","0.00","OK"
"8ifqi","2.34","2.18","0.99","0.54","Fraud"
"8ifqk","1.23","1.57","1.13","1.13","OK"
"8ifvn",0.00,0.00,0.00,0.00,"OK"
"8ifwd",0.00,0.00,"0.71","0.71","OK"
"8ifzw",0.00,0.00,"1.79","0.41","OK"
"8ig0z",0.00,0.00,0.00,0.00,"OK"
"8ig13","5.10","0.99","0.33","-0.08","OK"
"8ig4x",0.00,0.00,"0.71","0.71","OK"
"8ig5c",0.00,0.00,0.00,"1.79","OK"
"8ig76","4.60","2.86","0.30","0.24","OK"
"8ig8i","3.46","2.40","1.21","2.17","OK"
"8igb7",0.00,0.00,"2.66","2.39","OK"
"8igbs",0.00,0.00,"1.15","0.71","OK"
"8igbt",0.00,0.00,"1.79","1.50","OK"
"8igbu",0.00,"2.04","0.84","0.82","OK"
"8igc1","4.37","3.21","1.11","0.23","OK"
"8igcb",0.00,"2.67","1.56","0.33","OK"
"8igdb",0.00,0.00,0.00,"0.71","OK"
"8igdp",0.00,0.00,0.00,0.00,"OK"
"8igem","2.67","1.56","1.16","1.16","OK"
"8igew",0.00,0.00,0.00,"0.00","OK"
"8igfs","3.57","2.47","1.56","0.58","OK"
"8igh8",0.00,0.00,"2.04","1.79","OK"
"8igih",0.00,0.00,0.00,0.00,"OK"
"8igj2","6.41","3.33","0.94","0.95","OK"
"8igji",0.00,"0.49",0.00,0.00,"OK"
"8igkk",0.00,0.00,0.00,0.00,"OK"
"8igkp",0.00,0.00,"2.56","1.35","OK"
"8igl1","6.08","5.18","1.27","1.00","OK"
"8igl7","1.15","1.15","1.15","1.15","OK"
"8iglk","-0.40","1.20","0.24","0.24","OK"
"8igm1",0.00,0.00,0.00,0.00,"OK"
"8igm8","2.85","2.07","0.63","0.63","OK"
"8igmr","0.71","0.00","1.29","1.05","OK"
"8ign1",0.00,0.00,0.00,0.00,"OK"
"8ignc",0.00,"0.00","0.00","0.00","OK"
"8igne",0.00,0.00,0.00,"1.15","OK"
"8igo3","1.06","1.06","1.03","-0.04","OK"
"8igo7","2.72","2.05","1.00","1.15","OK"
"8igox",0.00,"3.75","1.12","0.57","OK"
"8igpd","0.00","0.00",0.00,0.00,"OK"
"8igpr",0.00,0.00,0.00,"1.15","OK"
"8igql","3.02","2.07","1.89","1.43","OK"
"8igqx",0.00,0.00,0.00,0.00,"OK"
"8igr1",0.00,0.00,0.00,0.00,"OK"
"8igsh",0.00,0.00,0.00,0.00,"OK"
"8igsi",0.00,0.00,"0.71","0.71","OK"
"8igts",0.00,0.00,0.00,"0.00","OK"
"8igv1","2.67","1.88","1.71","1.34","OK"
"8igvd",0.00,"1.15","1.15","1.15","OK"
"8igy3","3.88","1.60","0.46","0.46","OK"
"8igyy","2.92","1.85","0.96","0.85","Observation"
"8igz8","2.74","0.49","1.79","1.79","OK"
"8igzo",0.00,0.00,0.00,0.00,"OK"
"8igzs",0.00,0.00,0.00,0.00,"OK"
"8igzy",0.00,0.00,0.00,0.00,"OK"
"8igzz",0.00,0.00,0.00,0.00,"OK"
"8ih09","1.86","1.22","1.49","0.99","Fraud"
"8ih1h","0.95","0.95","0.96","0.96","OK"
"8ih1j",0.00,0.00,0.00,0.00,"OK"
"8ih20",0.00,0.00,"2.07","1.89","OK"
"8ih2n","5.15","4.58","0.89","1.39","OK"
"8ih3o",0.00,"0.71","0.71","0.71","OK"
"8ih4k",0.00,"1.15","0.00","0.00","OK"
"8ih6i",0.00,0.00,0.00,0.00,"OK"
"8iha2","3.16","2.03","1.00","0.57","Observation"
"8ihab",0.00,0.00,"2.85","1.92","OK"
"8ihac",0.00,0.00,0.00,0.00,"OK"
"8ihaj",0.00,"2.57","0.75","-0.13","OK"
"8ihba","3.02","1.73","2.26","1.36","Observation"
"8ihbr",0.00,0.00,0.00,0.00,"OK"
"8ihbx","1.47","0.80","0.04","-0.74","OK"
"8ihc4","3.03","2.74","0.65","-0.42","OK"
"8ihcj",0.00,0.00,0.00,0.00,"OK"
"8ihck",0.00,0.00,"0.54","0.77","OK"
"8ihcm",0.00,0.00,0.00,0.00,"OK"
"8ihct",0.00,0.00,0.00,0.00,"OK"
"8ihcu",0.00,0.00,"0.83","1.45","OK"
"8ihd5",0.00,0.00,"1.79","0.49","OK"
"8ihdv","3.52","2.69","1.24","0.14","OK"
"8ihe5","4.11","3.22","2.65","1.23","OK"
"8ihhk",0.00,0.00,0.00,0.00,"OK"
"8ihij",0.00,0.00,"0.00","0.00","OK"
"8ihik","6.93","4.12","2.79","1.84","OK"
"8ihk7","1.98","1.04","0.42","-0.60","Observation"
"8ihkj",0.00,0.00,0.00,0.00,"OK"
"8ihkt","4.76","2.58","1.27","0.16","OK"
"8ihl1",0.00,0.00,0.00,0.00,"Fraud"
"8ihl9","4.05","2.69","2.00","1.32","OK"
"8ihlr","4.42","5.55","0.68","0.60","OK"
"8ihn7",0.00,"3.37","1.00","-0.22","OK"
"8ihna","5.03","2.94","0.72","0.19","OK"
"8ihnk",0.00,"3.33","0.72","0.43","OK"
"8ihot",0.00,0.00,"1.50","1.50","OK"
"8ihpi","3.63","3.69","2.24","1.93","OK"
"8ihqx","3.30","2.46","0.83","-0.29","OK"
"8ihrz",0.00,"3.02","1.89","1.69","OK"
"8ihs5",0.00,0.00,"0.58","0.22","OK"
"8ihsd","4.48","5.98","2.00","1.42","OK"
"8ihsp","5.18","3.56","1.09","1.14","OK"
"8ihth",0.00,"2.08","0.70","1.62","OK"
"8ihtk",0.00,0.00,0.00,0.00,"OK"
"8ihtv","4.49","5.13","1.74","0.54","OK"
"8ihue",0.00,0.00,"0.00","0.00","OK"
"8ihuk",0.00,0.00,"0.71","0.71","OK"
"8ihup","4.72","2.43","0.50","-0.19","OK"
"8ihuv",0.00,0.00,0.00,0.00,"OK"
"8ihuy",0.00,0.00,"0.00","0.00","OK"
"8ihv1","5.66","2.73","0.79","-0.07","OK"
"8ihvb",0.00,0.00,0.00,0.00,"OK"
"8ihwi",0.00,0.00,0.00,0.00,"OK"
"8ihwm",0.00,"1.15","-0.71","-0.71","OK"
"8ihxc",0.00,0.00,0.00,0.00,"OK"
"8ihxl",0.00,0.00,0.00,0.00,"OK"
"8ihxp",0.00,0.00,0.00,0.00,"OK"
"8ihxy",0.00,0.00,0.00,0.00,"OK"
"8ihy6",0.00,0.00,0.00,0.00,"OK"
"8ihyb",0.00,0.00,"2.04","2.04","OK"
"8ihyi",0.00,0.00,0.00,0.00,"OK"
"8ihz5",0.00,0.00,"0.33","-0.34","OK"
"8ihzv",0.00,0.00,0.00,0.00,"OK"
"8ihzw",0.00,0.00,"1.79","1.50","OK"
"8ihzy","1.92","1.75","2.63","2.04","OK"
"8ii07",0.00,"1.50","1.88","1.38","OK"
"8ii0g","3.80","4.33","1.04","1.11","OK"
"8ii0i","4.39","2.65","-0.05","0.09","OK"
"8ii0k","1.98","3.35","1.28","0.69","OK"
"8ii11","2.10","1.55","0.32","0.45","OK"
"8ii14","3.75","1.93","0.61","0.08","OK"
"8ii1p",0.00,0.00,"1.15","0.29","OK"
"8ii1r","2.68","1.86","0.47","0.02","OK"
"8ii26","2.65","1.69","1.97","1.80","OK"
"8ii2b","4.37","3.98","0.61","0.23","OK"
"8ii2l",0.00,0.00,"0.00","0.00","OK"
"8ii2n",0.00,0.00,0.00,0.00,"OK"
"8ii3a","3.31","2.62","1.00","0.75","OK"
"8ii4l","1.79","1.79","0.49","0.71","OK"
"8ii4n",0.00,0.00,0.00,0.00,"OK"
"8ii4y",0.00,0.00,0.00,0.00,"OK"
"8ii58","7.81","3.51","1.12","0.93","OK"
"8ii5a",0.00,"5.48","1.16","0.05","OK"
"8ii5u",0.00,0.00,0.00,0.00,"OK"
"8ii6o","2.27","2.27","0.00","0.21","OK"
"8ii7u","2.21","1.27","0.98","0.64","OK"
"8ii9a","5.01","2.03","1.10","0.33","OK"
"8iiai",0.00,0.00,0.00,0.00,"OK"
"8iiby",0.00,0.00,0.00,"0.00","OK"
"8iic8",0.00,0.00,0.00,0.00,"OK"
"8iicn",0.00,0.00,0.00,0.00,"OK"
"8iid3","2.71","2.42","2.07","0.50","OK"
"8iid4","0.39","1.19","1.10","0.75","Fraud"
"8iidh","5.39","3.45","0.92","0.35","OK"
"8iidk","7.07","8.33","4.06","2.24","OK"
"8iidm","2.25","1.26","0.28","-0.25","OK"
"8iidn","8.52","7.90","3.82","2.05","OK"
"8iidr","7.15","7.04","3.71","1.69","OK"
"8iie9",0.00,0.00,"2.07","1.57","OK"
"8iieo",0.00,0.00,0.00,0.00,"OK"
"8iig5","9.61","9.09","1.02","0.34","OK"
"8iigf",0.00,0.00,0.00,0.00,"OK"
"8iigk",0.00,0.00,0.00,0.00,"OK"
"8iigl","11.32","8.23","3.86","1.88","OK"
"8iigz",0.00,"5.05","0.51","-0.37","OK"
"8iih9","5.12","1.62","2.37","1.98","OK"
"8iiii",0.00,0.00,0.00,0.00,"OK"
"8iiiv",0.00,0.00,0.00,"0.71","OK"
"8iij1",0.00,0.00,0.00,0.00,"OK"
"8iijd",0.00,"0.00","0.00","0.00","OK"
"8iijk","5.61","4.56","1.18","1.27","OK"
"8iijt","5.16","2.96","0.72","0.31","OK"
"8iik1","2.42","2.45","1.54","1.64","OK"
"8iilm",0.00,0.00,0.00,0.00,"OK"
"8iim7",0.00,0.00,0.00,0.00,"OK"
"8iimi",0.00,0.00,0.00,0.00,"OK"
"8iina","2.54","1.24","0.36","0.06","OK"
"8iinm",0.00,0.00,0.00,0.00,"OK"
"8iiov",0.00,"2.27","0.95","1.12","OK"
"8iiq8",0.00,0.00,"0.71","0.71","OK"
"8iiqq",0.00,0.00,0.00,0.00,"OK"
"8iir0","2.44","2.26","2.23","1.75","OK"
"8iird",0.00,"3.72","0.42","-0.26","OK"
"8iitn",0.00,0.00,0.00,0.00,"OK"
"8iitu","3.87","2.19","1.58","0.17","OK"
"8iitv","2.06","1.66","-0.71","-0.32","OK"
"8iivd","4.79","2.96","0.37","0.03","OK"
"8iivr","4.78","2.69","0.37","-0.11","OK"
"8iiwo",0.00,0.00,"0.71","0.71","OK"
"8iix3",0.00,0.00,0.00,0.00,"OK"
"8iixo","6.33","2.67","0.22","-0.17","OK"
"8iixv",0.00,"2.27","1.86","1.31","OK"
"8iixy",0.00,0.00,"1.50","1.50","OK"
"8iixz","1.15","-0.71","-0.71","-0.71","OK"
"8iiy4","3.46","2.22","0.98","-0.43","OK"
"8iiyk","3.23","3.90","1.36","0.85","OK"
"8ij00",0.00,0.00,0.00,0.00,"OK"
"8ij02","3.61","3.47","2.07","2.01","OK"
"8ij0g","1.76","1.88","1.01","0.01","OK"
"8ij0y","2.07","3.50","3.73","2.59","OK"
"8ij1v",0.00,0.00,0.00,0.00,"OK"
"8ij22","4.36","2.44","0.12","0.83","OK"
"8ij28",0.00,0.00,0.00,0.00,"OK"
"8ij2q","7.62","3.64","0.43","-0.14","OK"
"8ij2z","5.79","2.61","1.89","0.99","OK"
"8ij34",0.00,0.00,0.00,0.00,"OK"
"8ij3p",0.00,0.00,0.00,0.00,"OK"
"8ij42","3.17","1.72","0.86","-0.31","OK"
"8ij4e","1.15","1.15","-0.71","-0.71","OK"
"8ij4s",0.00,0.00,0.00,0.00,"OK"
"8ij4w",0.00,0.00,"1.50","0.00","OK"
"8ij4y","4.87","3.00","0.98","0.87","OK"
"8ij4z",0.00,0.00,"2.27","0.00","OK"
"8ij59","3.61","1.78","0.93","0.82","OK"
"8ij5w","1.89","1.16","0.70","0.22","OK"
"8ij62",0.00,0.00,0.00,0.00,"OK"
"8ij63","2.85","2.67","1.81","1.64","OK"
"8ij6x",0.00,0.00,"1.92","2.07","OK"
"8ij77",0.00,0.00,0.00,0.00,"OK"
"8ij7g",0.00,0.00,0.00,0.00,"OK"
"8ij8t",0.00,"0.00",0.00,0.00,"OK"
"8ij92","4.44","4.24","0.65","-0.51","OK"
"8ij9m","4.30","2.42","1.48","0.28","OK"
"8ijat","1.42","0.25","0.68","0.60","OK"
"8ijb4",0.00,0.00,"1.34","1.41","OK"
"8ijb7",0.00,"5.00","1.04","0.93","OK"
"8ijb8","1.31","0.67","-0.10","-0.27","OK"
"8ijba","1.52","0.97","0.39","0.29","OK"
"8ijbf","2.02","1.89","1.62","1.09","OK"
"8ijcm","4.50","3.78","2.19","0.98","OK"
"8ijd3","4.01","4.01","1.51","0.82","OK"
"8ijdf",0.00,0.00,0.00,0.00,"OK"
"8ije6",0.00,0.00,0.00,"1.79","OK"
"8ijed",0.00,0.00,0.00,0.00,"OK"
"8ijei","3.75","1.50","0.82","0.00","OK"
"8ijeq",0.00,0.00,"0.71","0.71","OK"
"8ijf6",0.00,0.00,"1.50","1.50","OK"
"8ijfb","4.61","3.12","0.83","-0.11","OK"
"8ijfd","3.70","2.60","1.86","0.50","OK"
"8ijfl",0.00,0.00,0.00,0.00,"OK"
"8ijgn",0.00,0.00,0.00,0.00,"OK"
"8ijj1",0.00,0.00,0.00,0.00,"OK"
"8ijjb",0.00,0.00,"0.71","0.00","OK"
"8ijlc",0.00,0.00,0.00,0.00,"OK"
"8ijmb",0.00,0.00,0.00,0.00,"OK"
"8ijod","7.14","5.36","1.80","1.67","OK"
"8ijq9",0.00,0.00,"1.93","1.57","OK"
"8ijql","1.18","2.22","0.90","1.39","Observation"
"8ijqm",0.00,0.00,0.00,0.00,"OK"
"8ijqn",0.00,0.00,0.00,0.00,"OK"
"8ijqw","1.79","1.79","0.49","0.49","OK"
"8ijro","5.83","3.58","-0.11","0.06","OK"
"8ijs4",0.00,0.00,0.00,0.00,"OK"
"8ijsn",0.00,"2.47","1.15","-0.71","OK"
"8ijsu",0.00,0.00,"1.15","-0.71","OK"
"8ijtd",0.00,0.00,0.00,0.00,"OK"
"8ijub",0.00,"3.88","0.85","0.24","OK"
"8ijva",0.00,0.00,"0.71","0.00","OK"
"8ijw3","4.19","2.35","1.51","0.23","OK"
"8ijwf",0.00,0.00,0.00,"0.71","OK"
"8ijx4","2.47","2.47","2.47","2.47","OK"
"8ijy9","4.31","2.27","0.02","-0.11","OK"
"8ijyd","4.48","2.53","0.95","0.11","OK"
"8ijzd","3.56","1.95","1.43","0.67","Observation"
"8ijze","5.93","2.44","1.56","1.57","OK"
"8ijzf",0.00,0.00,"0.95","0.34","OK"
"8ijzi","1.59","1.60","2.72","1.92","OK"
"8ijzj","2.64","1.51","0.28","-0.03","Fraud"
"8ijzx","1.58","1.41","1.48","0.98","OK"
"8ik0f",0.00,0.00,"0.00",0.00,"OK"
"8ik0g",0.00,0.00,0.00,0.00,"OK"
"8ik0y","0.85","0.00","0.69","0.69","OK"
"8ik15",0.00,0.00,0.00,0.00,"OK"
"8ik16",0.00,0.00,"2.27","0.00","OK"
"8ik1o",0.00,0.00,0.00,0.00,"OK"
"8ik1t",0.00,0.00,"2.04","0.71","OK"
"8ik2b","4.52","4.52","2.02","1.68","OK"
"8ik2u",0.00,"4.48","1.81","0.80","OK"
"8ik4w",0.00,"3.88","1.05","0.73","OK"
"8ik58","1.53","1.36","1.00","0.46","OK"
"8ik59","4.25","4.67","1.43","0.83","OK"
"8ik67",0.00,0.00,0.00,0.00,"OK"
"8ik6c",0.00,0.00,"1.92","1.24","OK"
"8ik6x",0.00,0.00,0.00,0.00,"OK"
"8ik7d","4.51","2.35","0.54","-0.08","OK"
"8ik7m",0.00,0.00,0.00,0.00,"OK"
"8ik7q",0.00,0.00,0.00,0.00,"OK"
"8ik9c","1.79","0.41","-1.15","0.71","OK"
"8ik9l",0.00,0.00,0.00,"0.71","OK"
"8ik9s",0.00,0.00,"0.71","0.84","OK"
"8ik9t","4.13","2.58","1.04","1.72","OK"
"8ika3",0.00,0.00,"1.40","1.53","OK"
"8ikah","2.52","2.13","2.12","1.30","OK"
"8ikap",0.00,0.00,0.00,0.00,"OK"
"8ikaq",0.00,0.00,0.00,"0.71","OK"
"8ikb5","3.92","4.40","0.24","0.00","OK"
"8ikba",0.00,"3.40","1.46","0.40","OK"
"8ikc8",0.00,0.00,0.00,0.00,"OK"
"8ikdj","4.25","4.25","1.07","0.00","OK"
"8ikdw",0.00,"5.92","1.52","2.30","OK"
"8ike2",0.00,0.00,"1.79","0.75","OK"
"8ikf1",0.00,"3.47","1.16","-0.02","OK"
"8ikfo","1.02","0.53",0.00,0.00,"OK"
"8ikg6",0.00,"3.02","1.24","1.57","OK"
"8ikg9",0.00,0.00,0.00,"0.71","OK"
"8iki8",0.00,0.00,0.00,0.00,"OK"
"8ikip","3.28","1.81","0.81","-0.11","OK"
"8ikjp","3.02","1.65","0.24","-0.27","OK"
"8iklg",0.00,0.00,0.00,0.00,"OK"
"8ikm9","4.69","2.36","0.51","0.52","OK"
"8ikme","7.31","6.06","0.57","0.05","OK"
"8ikmz",0.00,0.00,0.00,0.00,"OK"
"8ikn6","4.17","2.54","1.13","1.03","OK"
"8ikna","2.20","2.48","2.04","2.04","OK"
"8ikou","5.72","3.96","0.97","0.59","OK"
"8ikpq","5.36","2.54","0.16","-0.06","Observation"
"8ikr4","3.89","2.33","0.26","0.17","OK"
"8iks0",0.00,"3.75","0.84","0.28","OK"
"8ikt9","0.44","-0.59","-0.05","-0.28","Fraud"
"8ikuf",0.00,0.00,0.00,0.00,"OK"
"8ikvr","3.90","2.66","0.70","0.56","OK"
"8ikyc",0.00,0.00,0.00,0.00,"OK"
"8ikzq","3.48","2.13","0.39","0.00","OK"
"8il0o","1.45","1.22","1.17","0.80","Fraud"
"8il17",0.00,0.00,0.00,"0.71","OK"
"8il1w","2.67","1.76","0.71","-0.08","OK"
"8il22",0.00,"6.71","0.53","1.29","OK"
"8il2j",0.00,"2.27","1.36","0.65","OK"
"8il2x","3.13","1.68","0.64","0.66","OK"
"8il3g","5.60","1.98","-0.15","-0.53","OK"
"8il3o",0.00,0.00,"1.15","1.15","OK"
"8il3v","5.90","4.09","1.21","0.45","OK"
"8il4c","4.13","3.75","0.82","0.93","OK"
"8il4n","4.13","1.91","0.23","-0.23","OK"
"8il4r",0.00,"2.04","0.84","0.84","OK"
"8il6b","2.64","1.41","1.70","1.21","OK"
"8il79","3.43","2.95","2.17","1.46","OK"
"8il7m",0.00,0.00,0.00,0.00,"OK"
"8il8k","2.04","2.04","1.79","0.84","OK"
"8ilbu","11.92","4.15","0.44","-1.15","OK"
"8ilbx","2.71","4.56","3.62","2.32","OK"
"8ilc9",0.00,0.00,0.00,0.00,"OK"
"8ildb",0.00,0.00,"1.25","0.00","OK"
"8ildi","1.61","1.47","0.36","-0.20","OK"
"8ildn",0.00,0.00,"2.47","0.63","OK"
"8ilee",0.00,0.00,0.00,0.00,"OK"
"8ilel",0.00,"1.50","1.12","0.73","OK"
"8ilf9","6.73","2.75","0.91","0.68","OK"
"8ilff",0.00,"2.85","1.96","1.71","OK"
"8ilfu","3.12","1.73","1.06","0.04","OK"
"8ilh8",0.00,0.00,0.00,0.00,"OK"
"8ili5","7.68","3.63","0.17","0.38","OK"
"8iljx","1.81","1.69","0.48","-1.27","OK"
"8iljy","5.51","2.73","1.11","0.44","OK"
"8ill4","1.50","1.50","1.50","0.00","OK"
"8ilm3",0.00,0.00,0.00,0.00,"OK"
"8ilm4",0.00,"3.68","0.83","0.27","OK"
"8ilma",0.00,0.00,0.00,0.00,"OK"
"8ilmh","0.00","0.00","0.00","0.00","OK"
"8ilnq",0.00,0.00,0.00,0.00,"OK"
"8ilnu","4.13","2.57","0.67","0.97","OK"
"8iloh",0.00,0.00,"0.84","0.84","OK"
"8ilok","2.56","2.41","1.68","0.51","Observation"
"8ilp2",0.00,0.00,"1.79","1.50","OK"
"8ilqt","2.00","1.39","1.32","0.27","OK"
"8ils4",0.00,0.00,0.00,0.00,"OK"
"8ils9","2.80","2.13","0.75","0.89","Observation"
"8ilu4",0.00,0.00,0.00,0.00,"OK"
"8iluh",0.00,"0.00","0.00","0.00","OK"
"8iluo",0.00,0.00,0.00,"0.00","OK"
"8iluy","0.98","0.44","0.76","0.43","Observation"
"8ilyg",0.00,0.00,"1.79","1.79","OK"
"8ilzp","4.67","2.49","1.71","1.43","OK"
"8ilzu",0.00,0.00,0.00,0.00,"OK"
"8im0u","3.68","2.34","0.92","-0.60","OK"
"8im11",0.00,0.00,0.00,0.00,"OK"
"8im12",0.00,0.00,0.00,0.00,"OK"
"8im1a",0.00,0.00,0.00,0.00,"OK"
"8im1j",0.00,0.00,0.00,0.00,"OK"
"8im29",0.00,0.00,"0.71","0.71","OK"
"8im41","5.88","2.38","0.47","-0.71","OK"
"8im4f","3.79","0.66","1.10","0.76","OK"
"8im4k",0.00,0.00,"2.04","2.04","OK"
"8im4l",0.00,0.00,"1.15","1.15","OK"
"8im50",0.00,0.00,0.00,0.00,"OK"
"8im59","1.79","0.83","0.31","-0.48","OK"
"8im6c",0.00,"2.62","2.51","1.30","OK"
"8im6t","2.18","1.70","1.20","0.31","OK"
"8im78","7.23","3.00","0.13","-1.03","OK"
"8im90",0.00,0.00,0.00,0.00,"OK"
"8im9a","1.67","0.95","-0.21","-1.21","OK"
"8imbb",0.00,0.00,0.00,0.00,"OK"
"8imcs","3.30","0.46","1.28","0.79","OK"
"8imd2","0.70","0.56","0.55","0.68","OK"
"8imdp",0.00,0.00,0.00,0.00,"OK"
"8imdt",0.00,0.00,"0.58","0.76","OK"
"8ime3","4.21","3.42","0.71","0.12","OK"
"8ime7","4.59","2.26","1.89","0.62","OK"
"8imef","1.15","1.15","1.15","0.71","OK"
"8imfu",0.00,0.00,0.00,0.00,"OK"
"8img5",0.00,0.00,0.00,0.00,"OK"
"8imgt","2.19","1.65","1.46","1.50","OK"
"8imh7",0.00,0.00,"1.50","0.00","OK"
"8imho",0.00,0.00,"0.00","0.00","OK"
"8imhp",0.00,0.00,0.00,0.00,"OK"
"8imhz",0.00,0.00,"0.14","0.21","OK"
"8imi0","0.71","0.71","0.71","0.71","OK"
"8imib","3.75","3.75","0.90","0.42","OK"
"8imik",0.00,0.00,0.00,0.00,"OK"
"8imk8","0.82","0.17","1.15","0.71","Observation"
"8imkc","3.20","2.20","0.65","0.40","Observation"
"8imkd","5.03","2.77","0.97","-0.19","OK"
"8imko",0.00,0.00,"0.00","0.00","OK"
"8immj","0.84","0.72","0.27","-0.32","OK"
"8immk","9.38","3.80","1.68","1.40","OK"
"8immq",0.00,0.00,0.00,0.00,"OK"
"8immu",0.00,0.00,"0.41","0.41","OK"
"8imna","2.37","1.15","1.58","1.40","OK"
"8imob","3.31","2.16","0.20","-0.57","OK"
"8impo","3.56","2.19","0.94","-0.18","OK"
"8imqe","2.17","1.63","1.04","0.88","OK"
"8imqn",0.00,0.00,0.00,0.00,"OK"
"8imrg","1.36","1.43","0.91","0.91","OK"
"8imrr","3.78","4.67","1.21","1.77","OK"
"8ims6","3.75","1.92","0.57","-0.60","Fraud"
"8imt7",0.00,0.00,0.00,0.00,"OK"
"8imtk",0.00,0.00,"1.79","1.50","OK"
"8imtz",0.00,0.00,0.00,0.00,"OK"
"8imu3",0.00,0.00,"0.63","0.75","OK"
"8imv2","3.20","2.52","0.39","0.19","OK"
"8imvn","1.61","2.12","2.49","1.92","OK"
"8imvu",0.00,0.00,"0.00","0.00","OK"
