"partnerid","AgentClickRatio","AgentVariance","MaxSameCidCount","NoOfUniqueCid","CidClickRatio","CidVariance","status"
"8icv3","1.00","0.00","1","1","1.00","0.00","OK"
"8icvc","0.58","3.13","13","8","0.31","15.19","OK"
"8icwe","0.75","0.22","8","1","0.13","0.00","OK"
"8icx6","1.00","0.00","1","1","1.00","0.00","OK"
"8icxc","0.89","0.11","1","9","1.00","0.00","OK"
"8icxd","1.00","0.00","1","2","1.00","0.00","OK"
"8icxf","0.75","0.22","1","8","1.00","0.00","OK"
"8icxl","0.55","6.39","53","13","0.17","192.28","OK"
"8icyy","0.92","0.08","4","9","0.75","0.89","OK"
"8icz2","0.46","9.64","28","156","0.46","11.23","OK"
"8iczh","0.22","137.55","453","110","0.14","1853.48","Fraud"
"8id02","0.23","98.30","73","180","0.15","104.80","OK"
"8id03","0.31","19.55","305","37","0.11","2426.20","OK"
"8id0y","0.90","0.10","2","8","0.80","0.19","OK"
"8id0z","0.35","25.21","31","12","0.23","67.72","OK"
"8id1a","0.33","8.00","2","6","0.67","0.25","OK"
"8id2f","1.00","0.00","1","1","1.00","0.00","OK"
"8id2s","0.50","0.00","2","1","0.50","0.00","OK"
"8id2w","0.82","0.17","2","10","0.91","0.09","OK"
"8id2z","0.83","0.30","9","21","0.60","3.46","OK"
"8id56","1.00","0.00","1","1","1.00","0.00","OK"
"8id57","0.26","26.40","234","89","0.15","629.42","OK"
"8id5b","0.67","0.25","2","2","0.67","0.25","OK"
"8id5p","0.14","151.80","58","25","0.04","555.13","Fraud"
"8id6y","0.17","174.19","56","242","0.21","57.39","OK"
"8id6z","0.74","0.66","2","18","0.95","0.05","OK"
"8id7o","0.49","6.60","64","42","0.34","92.21","OK"
"8id7z","1.00","0.00","1","1","1.00","0.00","OK"
"8id89","0.80","0.19","1","5","1.00","0.00","OK"
"8id8z","1.00","0.00","1","1","1.00","0.00","OK"
"8id9y","0.84","0.23","15","5","0.16","28.16","OK"
"8ida1","0.18","141.51","339","260","0.13","496.83","OK"
"8idam","1.00","0.00","1","2","1.00","0.00","OK"
"8idbx","0.44","8.52","59","22","0.26","145.15","OK"
"8idc4","0.18","2.25","2","7","0.64","0.24","OK"
"8iddj","0.18","37.06","11","9","0.23","15.36","OK"
"8iddv","1.00","0.00","1","1","1.00","0.00","OK"
"8iddw","0.47","4.12","5","8","0.53","1.86","OK"
"8ide1","0.50","4.00","2","8","0.80","0.19","OK"
"8ide5","1.00","0.00","1","1","1.00","0.00","OK"
"8idem","0.60","0.22","1","5","1.00","0.00","OK"
"8idf6","1.00","0.00","1","1","1.00","0.00","OK"
"8idfl","0.50","2.00","2","5","0.83","0.16","OK"
"8idg8","1.00","0.00","2","1","0.50","0.00","OK"
"8idgb","1.00","0.00","1","1","1.00","0.00","OK"
"8idh3","1.00","0.00","1","1","1.00","0.00","OK"
"8idhm","0.03","1938.65","64","76","0.17","134.59","Fraud"
"8idhn","0.39","3.58","3","16","0.70","0.37","OK"
"8idhp","0.12","73.04","11","37","0.43","5.95","OK"
"8idhs","0.71","0.64","4","4","0.57","1.69","OK"
"8idht","1.00","0.00","1","1","1.00","0.00","OK"
"8idhw","1.00","0.00","2","1","0.50","0.00","OK"
"8idi0","1.00","0.00","2","1","0.50","0.00","OK"
"8idi1","0.38","4.22","2","14","0.88","0.12","OK"
"8idi4","0.67","0.25","1","3","1.00","0.00","OK"
"8idi5","0.36","0.69","2","10","0.91","0.09","OK"
"8idi7","0.24","5.19","8","20","0.59","2.41","OK"
"8idib","1.00","0.00","1","1","1.00","0.00","OK"
"8idit","0.05","4491.66","48","22","0.07","190.95","Fraud"
"8idmr","0.50","2.00","2","4","0.67","0.25","OK"
"8idn9","0.50","2.40","2","9","0.90","0.10","OK"
"8idnv","1.00","0.00","1","1","1.00","0.00","OK"
"8idny","1.00","0.00","1","1","1.00","0.00","OK"
"8ido2","0.19","45.81","6","18","0.58","1.53","OK"
"8idoa","0.25","2.00","4","10","0.63","1.04","OK"
"8idob","1.00","0.00","2","2","0.67","0.25","OK"
"8idoc","0.60","0.89","2","4","0.80","0.19","OK"
"8idou","0.42","2.24","2","10","0.83","0.16","OK"
"8idp1","1.00","0.00","2","1","0.50","0.00","OK"
"8idp3","1.00","0.00","1","1","1.00","0.00","OK"
"8ie57","1.00","0.00","1","1","1.00","0.00","OK"
"8ie5k","0.50","0.00","2","1","0.50","0.00","OK"
"8ie7p","1.00","0.00","1","3","1.00","0.00","OK"
"8ie82","0.75","0.22","2","3","0.75","0.22","OK"
"8ie98","0.14","0.00","3","4","0.57","0.69","OK"
"8ie9s","0.60","0.22","4","2","0.40","2.25","OK"
"8iea1","0.67","0.25","2","5","0.83","0.16","OK"
"8ieaq","0.16","11.55","10","25","0.58","3.24","OK"
"8ieaz","0.03","119.44","26","34","0.24","35.34","OK"
"8ieb4","1.00","0.00","2","3","0.75","0.22","OK"
"8iebt","1.00","0.00","1","1","1.00","0.00","OK"
"8iebx","0.22","12.25","8","2","0.22","12.25","OK"
"8ief6","0.22","12.25","8","2","0.22","12.25","OK"
"8iefb","0.36","8.95","20","42","0.31","18.62","OK"
"8iefl","0.28","46.18","23","161","0.30","13.55","OK"
"8iefo","1.00","0.00","1","1","1.00","0.00","OK"
"8iefs","1.00","0.00","1","4","1.00","0.00","OK"
"8ieg2","0.54","2.28","55","25","0.32","111.97","OK"
"8iegi","1.00","0.00","1","1","1.00","0.00","OK"
"8ieh3","0.22","12.25","2","6","0.67","0.25","OK"
"8iehk","0.58","1.29","4","10","0.53","0.89","OK"
"8ieht","0.03","34165.89","1462","717","0.02","28720.70","Observation"
"8iejt","1.00","0.00","2","3","0.75","0.22","OK"
"8iel9","0.35","13.00","174","114","0.27","262.41","OK"
"8ielc","0.80","0.19","3","12","0.80","0.35","OK"
"8iem5","0.03","2608.76","101","17","0.03","773.99","Fraud"
"8iemj","1.00","0.00","1","1","1.00","0.00","OK"
"8ien9","0.17","16.00","2","8","0.67","0.25","OK"
"8ieo7","0.50","0.00","1","2","1.00","0.00","OK"
"8ieol","0.47","7.88","15","4","0.21","35.19","OK"
"8ieqn","0.69","1.34","14","2","0.13","36.00","OK"
"8iequ","1.00","0.00","1","1","1.00","0.00","OK"
"8ies6","0.64","0.53","3","8","0.73","0.48","OK"
"8ies8","0.48","4.72","8","129","0.58","1.24","OK"
"8ieso","1.00","0.00","1","1","1.00","0.00","OK"
"8iet9","0.04","3952.18","469","649","0.05","2412.44","OK"
"8ietw","0.60","0.56","2","9","0.90","0.10","OK"
"8ieuh","0.50","0.00","2","1","0.50","0.00","OK"
"8iev9","1.00","0.00","1","1","1.00","0.00","OK"
"8ievj","0.14","25.00","12","2","0.14","25.00","OK"
"8ievt","0.33","11.27","5","19","0.58","1.25","OK"
"8ievz","0.03","1684.47","63","25","0.12","144.70","Fraud"
"8iex1","0.41","6.12","10","12","0.31","8.85","OK"
"8iex9","0.12","622.68","2175","153","0.06","30655.68","OK"
"8iexi","0.25","9.00","7","2","0.25","9.00","OK"
"8iext","0.25","9.00","2","6","0.75","0.22","OK"
"8if13","0.60","4.89","11","35","0.70","2.99","OK"
"8if2b","0.40","0.25","2","4","0.80","0.19","OK"
"8if3m","0.68","0.72","5","16","0.64","1.00","OK"
"8if4w","1.00","0.00","1","1","1.00","0.00","OK"
"8if5c","1.00","0.00","1","1","1.00","0.00","OK"
"8if5p","0.04","0.00","24","2","0.08","132.25","OK"
"8if6n","0.50","0.00","2","1","0.50","0.00","OK"
"8if7b","1.00","0.00","1","1","1.00","0.00","OK"
"8if9o","0.06","7033.20","229","148","0.08","1182.13","Fraud"
"8ifa1","0.03","39791.57","2109","683","0.02","52402.31","Observation"
"8ifan","0.57","1.61","6","24","0.65","1.50","OK"
"8ifcw","0.24","51.37","56","106","0.15","183.13","Fraud"
"8ifem","1.00","0.00","1","3","1.00","0.00","OK"
"8iff5","0.40","2.25","4","2","0.40","2.25","OK"
"8iff6","1.00","0.00","1","1","1.00","0.00","OK"
"8iffk","0.38","10.99","17","84","0.29","13.15","OK"
"8ifg0","1.00","0.00","1","1","1.00","0.00","OK"
"8ifg9","0.33","0.00","3","1","0.33","0.00","OK"
"8ifgn","0.60","0.89","1","5","1.00","0.00","OK"
"8ifik","0.46","13.54","10","91","0.60","2.00","OK"
"8ifm5","0.67","0.25","2","2","0.67","0.25","OK"
"8ifma","0.39","8.01","30","48","0.28","27.45","OK"
"8ifmk","1.00","0.00","1","2","1.00","0.00","OK"
"8ifna","0.67","0.58","2","8","0.89","0.11","OK"
"8ifnd","1.00","0.00","1","1","1.00","0.00","OK"
"8ifog","0.47","3.79","19","53","0.37","12.74","OK"
"8ifov","0.60","1.30","7","19","0.44","3.67","OK"
"8ifqc","0.41","11.22","84","14","0.14","455.49","OK"
"8ifqi","0.13","230.20","135","152","0.08","944.04","Fraud"
"8ifqk","0.20","321.46","9","44","0.36","6.14","OK"
"8ifvn","1.00","0.00","1","1","1.00","0.00","OK"
"8ifwd","1.00","0.00","2","3","0.75","0.22","OK"
"8ifzw","0.86","0.14","2","5","0.71","0.24","OK"
"8ig0z","0.50","1.00","2","3","0.75","0.22","OK"
"8ig13","0.02","0.00","13","12","0.20","11.33","OK"
"8ig4x","0.75","0.22","1","4","1.00","0.00","OK"
"8ig5c","0.86","0.14","5","3","0.43","3.56","OK"
"8ig76","0.43","5.69","25","38","0.20","43.78","OK"
"8ig8i","0.50","3.54","5","10","0.38","1.44","OK"
"8igb7","0.65","1.34","2","15","0.88","0.12","OK"
"8igbs","0.17","0.00","3","3","0.50","0.67","OK"
"8igbt","0.25","9.00","7","2","0.25","9.00","OK"
"8igbu","0.25","9.00","2","5","0.63","0.24","OK"
"8igc1","0.68","0.89","6","22","0.59","1.40","OK"
"8igcb","1.00","0.00","3","9","0.82","0.40","OK"
"8igdb","0.25","0.00","1","4","1.00","0.00","OK"
"8igdp","1.00","0.00","1","1","1.00","0.00","OK"
"8igem","0.55","1.14","4","7","0.64","1.10","OK"
"8igew","0.67","0.25","1","3","1.00","0.00","OK"
"8igfs","0.64","0.93","11","26","0.52","4.07","OK"
"8igh8","0.50","1.50","5","3","0.38","2.89","OK"
"8igih","1.00","0.00","1","2","1.00","0.00","OK"
"8igj2","0.78","0.38","9","13","0.29","6.25","OK"
"8igji","0.14","0.00","2","5","0.71","0.24","OK"
"8igkk","0.50","0.00","1","2","1.00","0.00","OK"
"8igkp","0.92","0.08","4","22","0.85","0.42","OK"
"8igl1","0.60","1.34","31","12","0.29","68.75","OK"
"8igl7","1.00","0.00","2","4","0.80","0.19","OK"
"8iglk","0.18","8.25","7","4","0.18","4.25","OK"
"8igm1","1.00","0.00","1","4","1.00","0.00","OK"
"8igm8","0.23","6.89","2","7","0.54","0.12","OK"
"8igmr","0.42","3.44","3","7","0.58","0.78","OK"
"8ign1","1.00","0.00","1","1","1.00","0.00","OK"
"8ignc","0.67","0.25","1","3","1.00","0.00","OK"
"8igne","1.00","0.00","1","5","1.00","0.00","OK"
"8igo3","0.32","3.14","2","12","0.63","0.24","OK"
"8igo7","0.06","792.07","21","44","0.23","22.60","OK"
"8igox","0.72","0.70","2","17","0.94","0.06","OK"
"8igpd","0.25","0.00","2","3","0.75","0.22","OK"
"8igpr","1.00","0.00","1","5","1.00","0.00","OK"
"8igql","0.38","3.04","2","12","0.92","0.08","OK"
"8igqx","1.00","0.00","1","2","1.00","0.00","OK"
"8igr1","1.00","0.00","1","1","1.00","0.00","OK"
"8igsh","1.00","0.00","1","1","1.00","0.00","OK"
"8igsi","0.80","0.19","1","5","1.00","0.00","OK"
"8igts","0.67","0.25","2","2","0.67","0.25","OK"
"8igv1","0.55","2.64","4","12","0.55","0.97","OK"
"8igvd","1.00","0.00","2","4","0.80","0.19","OK"
"8igy3","0.68","0.86","6","13","0.68","1.79","OK"
"8igyy","0.18","99.55","750","204","0.15","2745.29","Observation"
"8igz8","0.21","6.19","3","12","0.63","0.58","OK"
"8igzo","0.50","0.00","1","2","1.00","0.00","OK"
"8igzs","0.50","0.00","1","2","1.00","0.00","OK"
"8igzy","0.50","0.00","2","1","0.50","0.00","OK"
"8igzz","0.50","0.00","2","1","0.50","0.00","OK"
"8ih09","0.05","2172.85","31","52","0.14","67.76","Fraud"
"8ih1h","0.33","0.67","4","6","0.67","1.25","OK"
"8ih1j","1.00","0.00","1","1","1.00","0.00","OK"
"8ih20","1.00","0.00","2","12","0.92","0.08","OK"
"8ih2n","0.05","281.56","23","13","0.21","39.60","OK"
"8ih3o","0.75","0.22","4","1","0.25","0.00","OK"
"8ih4k","0.60","0.89","2","4","0.80","0.19","OK"
"8ih6i","1.00","0.00","1","3","1.00","0.00","OK"
"8iha2","0.21","222.22","808","74","0.08","8668.02","Observation"
"8ihab","0.77","0.41","2","10","0.77","0.21","OK"
"8ihac","1.00","0.00","1","6","1.00","0.00","OK"
"8ihaj","0.81","0.30","2","20","0.95","0.05","OK"
"8ihba","0.30","26.22","437","65","0.12","2873.45","Observation"
"8ihbr","1.00","0.00","1","1","1.00","0.00","OK"
"8ihbx","0.09","1176.16","836","255","0.04","9450.38","OK"
"8ihc4","0.22","72.49","88","208","0.16","225.20","OK"
"8ihcj","1.00","0.00","1","1","1.00","0.00","OK"
"8ihck","0.64","0.91","27","2","0.07","169.00","OK"
"8ihcm","0.50","0.00","1","2","1.00","0.00","OK"
"8ihct","1.00","0.00","1","3","1.00","0.00","OK"
"8ihcu","1.00","0.00","2","15","0.88","0.12","OK"
"8ihd5","0.57","0.69","2","5","0.71","0.24","OK"
"8ihdv","0.63","0.76","6","28","0.57","1.83","OK"
"8ihe5","0.34","25.23","15","155","0.43","5.75","OK"
"8ihhk","1.00","0.00","1","2","1.00","0.00","OK"
"8ihij","0.83","0.16","2","4","0.67","0.25","OK"
"8ihik","0.65","0.96","13","23","0.44","6.63","OK"
"8ihk7","0.09","933.08","196","368","0.08","662.35","Observation"
"8ihkj","1.00","0.00","1","1","1.00","0.00","OK"
"8ihkt","0.29","70.39","16","54","0.23","18.28","OK"
"8ihl1","0.33","0.00","1","3","1.00","0.00","Fraud"
"8ihl9","0.40","12.78","143","53","0.24","371.91","OK"
"8ihlr","0.45","6.75","10","20","0.43","4.53","OK"
"8ihn7","0.67","1.66","6","37","0.61","1.47","OK"
"8ihna","0.45","3.80","130","34","0.19","472.67","OK"
"8ihnk","0.73","0.41","3","9","0.60","0.44","OK"
"8ihot","0.67","0.75","1","6","1.00","0.00","OK"
"8ihpi","0.02","88449.21","12361","396","0.01","935375.09","OK"
"8ihqx","0.04","457.94","35","15","0.08","173.32","OK"
"8ihrz","0.38","7.44","2","9","0.69","0.25","OK"
"8ihs5","0.69","1.16","19","12","0.38","24.39","OK"
"8ihsd","0.39","6.30","8","44","0.53","3.10","OK"
"8ihsp","0.57","2.33","5","29","0.59","1.46","OK"
"8ihth","0.71","0.84","3","10","0.71","0.44","OK"
"8ihtk","1.00","0.00","1","1","1.00","0.00","OK"
"8ihtv","0.53","2.45","61","19","0.22","178.34","OK"
"8ihue","1.00","0.00","1","3","1.00","0.00","OK"
"8ihuk","0.50","1.00","1","4","1.00","0.00","OK"
"8ihup","0.32","15.35","148","135","0.39","159.73","OK"
"8ihuv","1.00","0.00","1","1","1.00","0.00","OK"
"8ihuy","0.67","0.25","1","3","1.00","0.00","OK"
"8ihv1","0.37","6.82","9","61","0.57","2.02","OK"
"8ihvb","1.00","0.00","1","1","1.00","0.00","OK"
"8ihwi","1.00","0.00","1","1","1.00","0.00","OK"
"8ihwm","0.60","0.22","1","5","1.00","0.00","OK"
"8ihxc","1.00","0.00","1","1","1.00","0.00","OK"
"8ihxl","1.00","0.00","1","2","1.00","0.00","OK"
"8ihxp","1.00","0.00","1","1","1.00","0.00","OK"
"8ihxy","1.00","0.00","1","1","1.00","0.00","OK"
"8ihy6","1.00","0.00","1","3","1.00","0.00","OK"
"8ihyb","0.63","1.44","2","7","0.88","0.12","OK"
"8ihyi","1.00","0.00","1","1","1.00","0.00","OK"
"8ihz5","0.73","0.98","5","4","0.36","2.19","OK"
"8ihzv","1.00","0.00","2","1","0.50","0.00","OK"
"8ihzw","0.86","0.14","2","6","0.86","0.14","OK"
"8ihzy","0.30","41.01","69","13","0.08","459.10","OK"
"8ii07","0.83","0.36","2","11","0.92","0.08","OK"
"8ii0g","0.33","13.64","28","37","0.21","33.17","OK"
"8ii0i","0.33","13.34","15","47","0.29","8.75","OK"
"8ii0k","0.20","147.52","45","4","0.05","321.69","OK"
"8ii11","0.07","2590.35","51","25","0.05","265.78","OK"
"8ii14","0.50","6.22","7","18","0.50","2.00","OK"
"8ii1p","0.20","16.00","2","8","0.80","0.19","OK"
"8ii1r","0.20","44.60","184","137","0.24","245.07","OK"
"8ii26","0.09","345.00","159","9","0.05","2434.47","OK"
"8ii2b","0.23","51.01","472","92","0.12","2389.65","OK"
"8ii2l","0.67","0.25","1","3","1.00","0.00","OK"
"8ii2n","0.50","0.00","2","1","0.50","0.00","OK"
"8ii3a","0.23","141.83","11","82","0.37","5.15","OK"
"8ii4l","0.71","0.64","2","6","0.86","0.14","OK"
"8ii4n","0.50","0.00","1","2","1.00","0.00","OK"
"8ii4y","1.00","0.00","1","2","1.00","0.00","OK"
"8ii58","0.52","2.14","3","52","0.80","0.23","OK"
"8ii5a","0.63","1.42","2","28","0.80","0.19","OK"
"8ii5u","1.00","0.00","1","1","1.00","0.00","OK"
"8ii6o","0.44","0.69","3","5","0.56","0.56","OK"
"8ii7u","0.01","7656.25","22","52","0.28","15.52","OK"
"8ii9a","0.35","15.06","15","84","0.28","7.89","OK"
"8iiai","0.33","0.00","2","2","0.67","0.25","OK"
"8iiby","0.50","2.00","3","4","0.67","0.75","OK"
"8iic8","1.00","0.00","2","1","0.50","0.00","OK"
"8iicn","0.83","0.16","2","4","0.67","0.25","OK"
"8iid3","0.25","137.03","30","201","0.25","17.04","OK"
"8iid4","0.05","2071.91","491","226","0.04","4877.17","Fraud"
"8iidh","0.79","0.41","4","22","0.65","0.79","OK"
"8iidk","0.27","28.67","71","166","0.18","134.35","OK"
"8iidm","0.14","246.60","277","223","0.09","1323.20","OK"
"8iidn","0.19","95.16","156","170","0.09","769.15","OK"
"8iidr","0.17","169.57","144","246","0.11","483.09","OK"
"8iie9","0.46","2.14","6","6","0.46","3.14","OK"
"8iieo","0.67","0.25","1","3","1.00","0.00","OK"
"8iig5","0.20","187.98","143","189","0.13","457.45","OK"
"8iigf","0.50","0.00","1","2","1.00","0.00","OK"
"8iigk","1.00","0.00","1","1","1.00","0.00","OK"
"8iigl","0.23","61.22","116","162","0.12","454.58","OK"
"8iigz","0.49","3.55","14","11","0.19","16.78","OK"
"8iih9","0.28","65.22","35","28","0.18","78.20","OK"
"8iiii","1.00","0.00","1","3","1.00","0.00","OK"
"8iiiv","0.25","0.00","2","2","0.50","0.00","OK"
"8iij1","1.00","0.00","1","1","1.00","0.00","OK"
"8iijd","0.67","0.25","1","3","1.00","0.00","OK"
"8iijk","0.61","2.95","7","69","0.49","2.61","OK"
"8iijt","0.17","179.28","70","262","0.17","108.25","OK"
"8iik1","0.27","54.20","166","256","0.16","304.80","OK"
"8iilm","1.00","0.00","1","2","1.00","0.00","OK"
"8iim7","1.00","0.00","1","2","1.00","0.00","OK"
"8iimi","1.00","0.00","1","2","1.00","0.00","OK"
"8iina","0.18","75.52","324","187","0.14","786.59","OK"
"8iinm","0.50","0.00","1","2","1.00","0.00","OK"
"8iiov","1.00","0.00","2","8","0.89","0.11","OK"
"8iiq8","1.00","0.00","1","5","1.00","0.00","OK"
"8iiqq","1.00","0.00","1","2","1.00","0.00","OK"
"8iir0","0.04","552.25","8","26","0.53","2.79","OK"
"8iird","0.42","5.30","12","36","0.51","4.19","OK"
"8iitn","1.00","0.00","1","1","1.00","0.00","OK"
"8iitu","0.29","28.75","14","132","0.39","5.43","OK"
"8iitv","0.15","54.24","14","10","0.30","13.21","OK"
"8iivd","0.31","53.23","34","91","0.23","49.68","OK"
"8iivr","0.05","1120.98","32","14","0.10","94.67","OK"
"8iiwo","0.75","0.22","1","4","1.00","0.00","OK"
"8iix3","1.00","0.00","1","1","1.00","0.00","OK"
"8iixo","0.61","1.34","3","35","0.80","0.25","OK"
"8iixv","0.53","2.52","21","9","0.25","37.56","OK"
"8iixy","1.00","0.00","5","2","0.33","4.00","OK"
"8iixz","0.60","0.22","1","5","1.00","0.00","OK"
"8iiy4","0.29","36.10","49","133","0.23","70.58","OK"
"8iiyk","0.56","3.41","11","27","0.63","4.02","OK"
"8ij00","0.67","0.25","2","2","0.67","0.25","OK"
"8ij02","0.65","0.61","3","12","0.71","0.41","OK"
"8ij0g","0.07","4775.35","582","506","0.05","1784.53","OK"
"8ij0y","0.38","33.69","87","1","0.01","0.00","OK"
"8ij1v","1.00","0.00","1","1","1.00","0.00","OK"
"8ij22","0.26","25.47","4","10","0.43","1.01","OK"
"8ij28","0.67","0.25","1","3","1.00","0.00","OK"
"8ij2q","0.49","3.51","115","51","0.26","251.10","OK"
"8ij2z","0.28","36.82","13","27","0.36","6.69","OK"
"8ij34","1.00","0.00","1","2","1.00","0.00","OK"
"8ij3p","0.50","0.00","1","2","1.00","0.00","OK"
"8ij42","0.25","55.70","58","175","0.25","67.39","OK"
"8ij4e","0.80","0.19","2","4","0.80","0.19","OK"
"8ij4s","1.00","0.00","1","1","1.00","0.00","OK"
"8ij4w","0.67","0.75","2","4","0.67","0.25","OK"
"8ij4y","0.01","1681.00","35","18","0.13","108.11","OK"
"8ij4z","0.67","0.58","3","6","0.67","0.58","OK"
"8ij59","0.00","59454.89","124","43","0.05","926.01","OK"
"8ij5w","0.06","137.43","36","17","0.07","86.59","OK"
"8ij62","1.00","0.00","1","1","1.00","0.00","OK"
"8ij63","0.83","0.16","6","7","0.58","3.06","OK"
"8ij6x","0.77","0.41","2","12","0.92","0.08","OK"
"8ij77","1.00","0.00","1","1","1.00","0.00","OK"
"8ij7g","1.00","0.00","1","1","1.00","0.00","OK"
"8ij8t","0.33","0.00","2","2","0.67","0.25","OK"
"8ij92","0.23","81.60","56","176","0.21","104.74","OK"
"8ij9m","0.37","14.85","260","90","0.23","735.01","OK"
"8ijat","0.39","2.02","3","16","0.70","0.37","OK"
"8ijb4","0.79","0.20","4","9","0.64","0.91","OK"
"8ijb7","0.76","0.31","9","16","0.55","3.78","OK"
"8ijb8","0.11","1066.43","1027","128","0.02","23362.67","OK"
"8ijba","0.07","2995.87","848","136","0.02","13773.60","OK"
"8ijbf","0.21","110.04","647","50","0.03","14174.23","OK"
"8ijcm","0.56","3.34","9","86","0.59","2.46","OK"
"8ijd3","0.35","7.55","11","9","0.45","9.73","OK"
"8ijdf","1.00","0.00","1","1","1.00","0.00","OK"
"8ije6","0.86","0.14","1","7","1.00","0.00","OK"
"8ijed","1.00","0.00","1","2","1.00","0.00","OK"
"8ijei","0.28","6.24","4","11","0.61","0.78","OK"
"8ijeq","0.75","0.22","1","4","1.00","0.00","OK"
"8ijf6","1.00","0.00","1","6","1.00","0.00","OK"
"8ijfb","0.57","4.33","9","119","0.65","1.42","OK"
"8ijfd","0.32","36.51","15","120","0.39","5.96","OK"
"8ijfl","1.00","0.00","1","1","1.00","0.00","OK"
"8ijgn","1.00","0.00","1","3","1.00","0.00","OK"
"8ijj1","1.00","0.00","1","1","1.00","0.00","OK"
"8ijjb","1.00","0.00","1","5","1.00","0.00","OK"
"8ijlc","0.50","1.00","1","4","1.00","0.00","OK"
"8ijmb","1.00","0.00","1","1","1.00","0.00","OK"
"8ijod","0.71","1.22","4","39","0.71","0.65","OK"
"8ijq9","0.56","2.36","2","15","0.83","0.16","OK"
"8ijql","0.13","96.74","59","15","0.16","204.73","Observation"
"8ijqm","1.00","0.00","1","3","1.00","0.00","OK"
"8ijqn","1.00","0.00","1","1","1.00","0.00","OK"
"8ijqw","0.57","0.19","2","6","0.86","0.14","OK"
"8ijro","0.58","1.47","10","17","0.45","5.59","OK"
"8ijs4","1.00","0.00","1","1","1.00","0.00","OK"
"8ijsn","0.80","0.19","2","9","0.90","0.10","OK"
"8ijsu","1.00","0.00","1","5","1.00","0.00","OK"
"8ijtd","0.50","0.00","1","2","1.00","0.00","OK"
"8ijub","0.95","0.05","12","8","0.42","13.23","OK"
"8ijva","1.00","0.00","3","2","0.50","1.00","OK"
"8ijw3","0.72","0.69","4","35","0.81","0.35","OK"
"8ijwf","1.00","0.00","1","4","1.00","0.00","OK"
"8ijx4","1.00","0.00","10","1","0.10","0.00","OK"
"8ijy9","0.16","11.67","6","22","0.49","1.86","OK"
"8ijyd","0.36","9.19","24","112","0.33","12.66","OK"
"8ijzd","0.16","282.27","174","72","0.06","931.19","Observation"
"8ijze","0.03","402.89","30","19","0.17","59.00","OK"
"8ijzf","0.33","2.67","2","7","0.78","0.20","OK"
"8ijzi","0.23","50.35","106","82","0.15","221.07","OK"
"8ijzj","0.12","402.34","423","64","0.07","2871.63","Fraud"
"8ijzx","0.09","1033.89","1293","95","0.02","26417.79","OK"
"8ik0f","1.00","0.00","1","3","1.00","0.00","OK"
"8ik0g","0.50","0.00","2","1","0.50","0.00","OK"
"8ik0y","0.19","29.56","2","14","0.88","0.12","OK"
"8ik15","1.00","0.00","1","1","1.00","0.00","OK"
"8ik16","0.78","0.20","3","6","0.67","0.58","OK"
"8ik1o","1.00","0.00","1","1","1.00","0.00","OK"
"8ik1t","0.75","0.22","5","4","0.50","3.00","OK"
"8ik2b","0.59","2.30","10","24","0.62","3.32","OK"
"8ik2u","0.79","0.83","2","23","0.96","0.04","OK"
"8ik4w","0.74","0.80","18","2","0.11","72.25","OK"
"8ik58","0.08","2133.52","351","467","0.06","1896.21","OK"
"8ik59","0.59","3.52","4","29","0.66","0.80","OK"
"8ik67","1.00","0.00","1","1","1.00","0.00","OK"
"8ik6c","0.85","0.15","3","8","0.62","0.73","OK"
"8ik6x","1.00","0.00","1","1","1.00","0.00","OK"
"8ik7d","0.35","9.24","16","65","0.38","7.13","OK"
"8ik7m","1.00","0.00","1","1","1.00","0.00","OK"
"8ik7q","1.00","0.00","1","1","1.00","0.00","OK"
"8ik9c","0.29","2.25","3","3","0.43","0.22","OK"
"8ik9l","0.75","0.22","1","4","1.00","0.00","OK"
"8ik9s","1.00","0.00","1","8","1.00","0.00","OK"
"8ik9t","0.02","49.00","64","7","0.08","458.57","OK"
"8ika3","0.36","2.16","5","7","0.50","2.57","OK"
"8ikah","0.22","66.23","94","73","0.11","331.06","OK"
"8ikap","1.00","0.00","1","3","1.00","0.00","OK"
"8ikaq","1.00","0.00","1","4","1.00","0.00","OK"
"8ikb5","0.41","13.81","12","28","0.28","6.95","OK"
"8ikba","0.58","2.31","4","20","0.65","0.75","OK"
"8ikc8","1.00","0.00","1","1","1.00","0.00","OK"
"8ikdj","0.64","0.67","10","10","0.45","7.16","OK"
"8ikdw","0.67","1.56","3","28","0.72","0.45","OK"
"8ike2","0.88","0.12","11","7","0.41","12.24","OK"
"8ikf1","0.56","2.17","13","14","0.44","9.20","OK"
"8ikfo","0.13","4.00","5","8","0.50","2.25","OK"
"8ikg6","0.62","0.98","3","9","0.69","0.47","OK"
"8ikg9","1.00","0.00","1","4","1.00","0.00","OK"
"8iki8","1.00","0.00","1","4","1.00","0.00","OK"
"8ikip","0.33","24.39","18","187","0.37","9.83","OK"
"8ikjp","0.31","5.19","6","6","0.46","3.47","OK"
"8iklg","1.00","0.00","1","1","1.00","0.00","OK"
"8ikm9","0.46","4.79","18","131","0.46","5.47","OK"
"8ikme","0.54","3.69","7","38","0.50","2.21","OK"
"8ikmz","1.00","0.00","2","1","0.50","0.00","OK"
"8ikn6","0.52","13.57","9","79","0.62","2.24","OK"
"8ikna","0.43","10.61","9","12","0.52","5.24","OK"
