"partnerid","MaxClickPer1Min","MaxClickPer5Min","MaxClickPer3Hr","MaxClickPer6Hr","status"
"8iidn","31","54","418","494","OK"
"8iidr","27","53","439","509","OK"
"8iie9","1","1","4","4","OK"
"8iieo","1","1","1","1","OK"
"8iig5","19","42","138","224","OK"
"8iigf","2","2","2","2","OK"
"8iigk","1","1","1","1","OK"
"8iigl","31","42","266","312","OK"
"8iigz","1","2","7","9","OK"
"8iih9","5","6","55","71","OK"
"8iiii","1","1","1","1","OK"
"8iiiv","1","1","1","2","OK"
"8iij1","1","1","1","1","OK"
"8iijd","1","2","2","2","OK"
"8iijk","2","5","16","28","OK"
"8iijt","12","20","130","219","OK"
"8iik1","7","19","213","394","OK"
"8iilm","1","1","1","1","OK"
"8iim7","1","1","1","1","OK"
"8iimi","1","1","1","1","OK"
"8iina","6","9","117","202","OK"
"8iinm","1","1","1","1","OK"
"8iiov","1","2","2","3","OK"
"8iiq8","1","1","3","3","OK"
"8iiqq","1","1","1","1","OK"
"8iir0","2","6","25","25","OK"
"8iird","1","2","6","9","OK"
"8iitn","1","1","1","1","OK"
"8iitu","3","4","40","50","OK"
"8iitv","3","6","10","11","OK"
"8iivd","3","6","33","57","OK"
"8iivr","2","3","18","23","OK"
"8iiwo","1","1","2","2","OK"
"8iix3","1","1","1","1","OK"
"8iixo","2","2","5","7","OK"
"8iixv","1","2","9","9","OK"
"8iixy","1","1","2","2","OK"
"8iixz","2","2","2","2","OK"
"8iiy4","3","7","55","73","OK"
"8iiyk","2","5","7","9","OK"
"8ij00","1","1","1","1","OK"
"8ij02","2","3","6","7","OK"
"8ij0g","15","48","830","1305","OK"
"8ij0y","3","10","38","40","OK"
"8ij1v","1","1","1","1","OK"
"8ij22","2","3","4","7","OK"
"8ij28","1","1","1","1","OK"
"8ij2q","4","4","17","27","OK"
"8ij2z","2","2","14","18","OK"
"8ij34","1","1","1","1","OK"
"8ij3p","1","1","1","1","OK"
"8ij42","4","6","68","95","OK"
"8ij4e","2","2","2","2","OK"
"8ij4s","1","1","1","1","OK"
"8ij4w","1","1","2","2","OK"
"8ij4y","3","5","25","38","OK"
"8ij4z","1","1","2","2","OK"
"8ij59","5","8","97","171","OK"
"8ij5w","9","12","48","58","OK"
"8ij62","1","1","1","1","OK"
"8ij63","2","3","5","6","OK"
"8ij6x","1","1","3","4","OK"
"8ij77","1","1","1","1","OK"
"8ij7g","1","1","1","1","OK"
"8ij8t","1","2","3","3","OK"
"8ij92","7","15","72","101","OK"
"8ij9m","3","5","46","62","OK"
"8ijat","2","2","5","7","OK"
"8ijb4","1","1","4","5","OK"
"8ijb7","1","2","5","7","OK"
"8ijb8","9","26","516","940","OK"
"8ijba","10","24","533","927","OK"
"8ijbf","9","24","374","494","OK"
"8ijcm","4","6","24","30","OK"
"8ijd3","2","2","4","5","OK"
"8ijdf","1","1","1","1","OK"
"8ije6","1","1","1","2","OK"
"8ijed","1","1","1","1","OK"
"8ijei","2","2","4","5","OK"
"8ijeq","1","1","2","2","OK"
"8ijf6","1","1","2","2","OK"
"8ijfb","3","5","16","26","OK"
"8ijfd","3","6","42","46","OK"
"8ijfl","1","1","1","1","OK"
"8ijgn","1","1","1","1","OK"
"8ijj1","1","1","1","1","OK"
"8ijjb","1","1","3","4","OK"
"8ijlc","1","1","1","1","OK"
"8ijmb","1","1","1","1","OK"
"8ijod","2","4","8","12","OK"
"8ijq9","1","1","3","4","OK"
"8ijql","2","4","11","21","Observation"
"8ijqm","1","1","1","1","OK"
"8ijqn","1","1","1","1","OK"
"8ijqw","2","2","3","3","OK"
"8ijro","2","3","9","18","OK"
"8ijs4","1","1","1","1","OK"
"8ijsn","1","2","2","2","OK"
"8ijsu","1","1","2","2","OK"
"8ijtd","1","1","2","2","OK"
"8ijub","1","2","4","5","OK"
"8ijva","1","1","2","3","OK"
"8ijw3","2","3","6","7","OK"
"8ijwf","1","1","1","2","OK"
"8ijx4","2","2","2","2","OK"
"8ijy9","2","2","4","6","OK"
"8ijyd","4","5","37","47","OK"
"8ijzd","7","11","168","230","Observation"
"8ijze","3","3","16","31","OK"
"8ijzf","1","1","2","3","OK"
"8ijzi","6","18","202","237","OK"
"8ijzj","3","6","73","126","Fraud"
"8ijzx","10","31","637","866","OK"
"8ik0f","1","1","2","3","OK"
"8ik0g","1","1","1","1","OK"
"8ik0y","6","7","13","13","OK"
"8ik15","1","1","1","1","OK"
"8ik16","1","1","2","2","OK"
"8ik1o","1","1","1","1","OK"
"8ik1t","1","1","2","2","OK"
"8ik2b","3","3","8","10","OK"
"8ik2u","1","2","5","6","OK"
"8ik4w","1","2","3","4","OK"
"8ik58","11","38","781","1347","OK"
"8ik59","2","4","8","10","OK"
"8ik67","1","1","1","1","OK"
"8ik6c","1","1","3","3","OK"
"8ik6x","1","1","1","1","OK"
"8ik7d","2","4","15","23","OK"
"8ik7m","1","1","1","1","OK"
"8ik7q","1","1","1","1","OK"
"8ik9c","2","2","2","3","OK"
"8ik9l","1","1","1","2","OK"
"8ik9s","1","1","2","3","OK"
"8ik9t","2","5","27","51","OK"
"8ika3","1","1","3","5","OK"
"8ikah","5","13","133","161","OK"
"8ikap","1","1","1","1","OK"
"8ikaq","1","1","1","2","OK"
"8ikb5","3","5","9","14","OK"
"8ikba","1","2","6","6","OK"
"8ikc8","1","1","1","1","OK"
"8ikdj","2","2","8","10","OK"
"8ikdw","1","2","10","17","OK"
"8ike2","1","1","4","5","OK"
"8ikf1","1","2","5","5","OK"
"8ikfo","10","10","16","16","OK"
"8ikg6","1","2","3","4","OK"
"8ikg9","1","1","1","2","OK"
"8iki8","1","1","1","1","OK"
"8ikip","3","5","46","69","OK"
"8ikjp","2","2","4","4","OK"
"8iklg","1","1","1","1","OK"
"8ikm9","4","5","23","38","OK"
"8ikme","4","5","8","12","OK"
"8ikmz","1","1","2","2","OK"
"8ikn6","2","4","14","23","OK"
"8ikna","6","9","17","17","OK"
"8ikou","2","4","20","28","OK"
"8ikpq","4","4","22","44","Observation"
"8ikr4","3","7","55","87","OK"
"8iks0","1","2","5","6","OK"
"8ikt9","25","97","1150","1150","Fraud"
"8ikuf","1","1","1","1","OK"
"8ikvr","3","3","14","20","OK"
"8ikyc","1","1","1","1","OK"
"8ikzq","4","7","56","92","OK"
"8il0o","13","42","846","1470","Fraud"
"8il17","1","1","1","2","OK"
"8il1w","6","13","140","226","OK"
"8il22","1","2","6","11","OK"
"8il2j","1","2","4","4","OK"
"8il2x","4","6","59","110","OK"
"8il3g","4","5","26","51","OK"
"8il3o","1","1","2","2","OK"
"8il3v","4","6","25","36","OK"
"8il4c","2","4","6","9","OK"
"8il4n","3","4","38","67","OK"
"8il4r","1","2","3","3","OK"
"8il6b","4","8","29","29","OK"
"8il79","2","3","7","9","OK"
"8il7m","1","1","1","1","OK"
"8il8k","2","2","3","3","OK"
"8ilbu","2","3","12","17","OK"
"8ilbx","158","667","9338","9390","OK"
"8ilc9","1","1","1","1","OK"
"8ildb","1","1","3","4","OK"
"8ildi","9","32","473","781","OK"
"8ildn","1","1","2","3","OK"
"8ilee","1","1","1","1","OK"
"8ilel","1","2","5","5","OK"
"8ilf9","2","3","15","23","OK"
"8ilff","1","4","10","10","OK"
"8ilfu","4","7","75","109","OK"
"8ilh8","1","1","1","1","OK"
"8ili5","2","3","7","11","OK"
"8iljx","8","25","378","558","OK"
"8iljy","2","3","15","18","OK"
"8ill4","2","2","2","2","OK"
"8ilm3","1","1","1","1","OK"
"8ilm4","1","2","5","7","OK"
"8ilma","1","1","1","1","OK"
"8ilmh","2","2","2","2","OK"
"8ilnq","1","1","1","1","OK"
"8ilnu","2","2","5","9","OK"
"8iloh","1","1","3","3","OK"
"8ilok","11","25","365","432","Observation"
"8ilp2","1","1","2","3","OK"
"8ilqt","6","16","274","410","OK"
"8ils4","1","1","1","1","OK"
"8ils9","8","20","216","396","Observation"
"8ilu4","1","1","1","1","OK"
"8iluh","1","2","2","2","OK"
"8iluo","1","1","1","2","OK"
"8iluy","4","10","113","153","Observation"
"8ilyg","1","1","3","3","OK"
"8ilzp","3","3","20","27","OK"
"8ilzu","1","1","1","1","OK"
"8im0u","5","8","60","91","OK"
"8im11","1","1","1","1","OK"
"8im12","1","1","1","1","OK"
"8im1a","1","1","1","1","OK"
"8im1j","1","1","1","1","OK"
"8im29","1","1","2","2","OK"
"8im41","2","3","14","21","OK"
"8im4f","3","11","128","149","OK"
"8im4k","1","1","2","2","OK"
"8im4l","1","1","2","2","OK"
"8im50","1","1","1","1","OK"
"8im59","8","17","325","478","OK"
"8im6c","1","3","6","6","OK"
"8im6t","9","21","328","491","OK"
"8im78","2","3","13","20","OK"
"8im90","1","1","1","1","OK"
"8im9a","8","20","343","531","OK"
"8imbb","1","1","1","1","OK"
"8imcs","3","10","127","147","OK"
"8imd2","44","171","5174","9804","OK"
"8imdp","1","1","1","1","OK"
"8imdt","1","1","5","7","OK"
"8ime3","2","4","15","22","OK"
"8ime7","2","3","19","24","OK"
"8imef","3","3","3","4","OK"
"8imfu","1","1","1","1","OK"
"8img5","1","1","1","1","OK"
"8imgt","7","18","292","559","OK"
"8imh7","1","1","2","2","OK"
"8imho","1","1","2","2","OK"
"8imhp","1","1","1","1","OK"
"8imhz","1","1","3","5","OK"
"8imi0","2","2","2","2","OK"
"8imib","3","3","5","6","OK"
"8imik","1","1","1","1","OK"
"8imk8","10","26","355","356","Observation"
"8imkc","2","5","33","51","Observation"
"8imkd","2","5","26","35","OK"
"8imko","1","1","2","2","OK"
"8immj","19","67","1655","2787","OK"
"8immk","2","2","14","19","OK"
"8immq","1","1","1","1","OK"
"8immu","1","1","2","2","OK"
"8imna","2","3","22","24","OK"
"8imob","4","9","76","120","OK"
"8impo","2","3","16","17","OK"
"8imqe","4","9","118","195","OK"
"8imqn","1","1","1","1","OK"
"8imrg","3","4","4","4","OK"
"8imrr","3","6","19","37","OK"
"8ims6","4","7","54","84","Fraud"
"8imt7","1","1","1","1","OK"
"8imtk","1","1","2","3","OK"
"8imtz","1","1","1","1","OK"
"8imu3","1","1","4","7","OK"
"8imv2","3","5","14","23","OK"
"8imvn","11","30","565","855","OK"
"8imvu","1","1","2","2","OK"
"8imw6","1","1","2","3","OK"
"8imwm","2","2","9","16","OK"
"8imwn","2","3","5","8","OK"
"8imwx","7","17","222","376","OK"
"8imxk","1","1","1","1","OK"
"8imxz","2","2","3","3","OK"
"8imy8","1","1","1","1","OK"
"8imyq","1","1","1","1","OK"
"8imyz","2","2","3","3","OK"
"8imz2","1","2","4","6","OK"
"8imza","1","2","5","5","OK"
"8imzd","8","32","299","420","OK"
"8imze","3","4","13","20","OK"
"8imzr","2","3","28","43","OK"
"8imzv","2","3","14","26","OK"
"8in00","1","1","1","1","OK"
"8in07","2","3","5","5","OK"
"8in0d","15","44","715","1133","OK"
"8in0q","1","1","1","1","OK"
"8in1c","1","2","4","5","OK"
"8in1d","8","8","11","19","OK"
"8in1s","11","41","693","1107","OK"
"8in1t","5","12","171","327","OK"
"8in1y","1","1","1","1","OK"
"8in20","1","1","1","1","OK"
"8in2d","1","1","3","4","OK"
"8in2g","1","1","1","1","OK"
"8in34","2","2","3","4","OK"
"8in35","4","5","12","15","OK"
"8in36","1","1","1","1","OK"
"8in3c","8","24","197","241","OK"
"8in41","1","1","1","1","OK"
"8in43","1","1","1","1","OK"
"8in49","1","1","3","3","OK"
"8in4e","1","1","1","1","OK"
"8in66","2","2","6","10","OK"
"8in69","30","121","3144","5894","OK"
"8in6a","160","519","2327","4561","OK"
"8in7f","2","4","32","42","OK"
"8in80","1","1","2","2","OK"
"8in8e","3","6","49","83","Fraud"
"8in8l","1","1","2","3","OK"
"8in8z","1","1","5","6","OK"
"8in9f","1","1","1","1","OK"
"8in9m","1","1","5","5","OK"
"8ina8","1","1","1","1","OK"
"8inag","3","3","3","4","OK"
"8inat","1","2","2","2","OK"
"8inay","41","113","1669","2870","OK"
"8inbg","1","1","1","1","OK"
"8inca","1","1","1","1","OK"
"8incg","1","1","1","2","OK"
"8inch","1","1","1","1","OK"
"8inck","2","5","26","37","OK"
"8ind9","1","1","1","1","OK"
"8indc","2","2","9","12","OK"
"8inei","3","4","30","45","OK"
"8inf7","3","3","7","11","OK"
"8ingg","2","3","6","7","OK"
"8ings","2","5","18","29","OK"
"8inhr","7","14","196","289","OK"
"8ini4","2","4","9","9","OK"
"8ini5","1","1","1","1","OK"
"8inig","2","3","9","11","OK"
"8inil","2","2","8","11","OK"
"8injc","2","2","4","7","OK"
"8injo","3","3","3","3","OK"
"8inkd","2","2","3","4","OK"
"8inld","1","1","1","1","OK"
"8inn7","4","7","69","98","OK"
"8ino6","6","15","181","334","OK"
"8inp3","1","3","4","4","OK"
"8inrc","3","4","5","7","OK"
"8ins1","2","5","20","36","OK"
"8insm","1","2","4","5","OK"
"8insr","2","2","2","2","OK"
"8intf","2","3","7","11","OK"
"8inu8","2","2","3","3","OK"
"8inum","5","5","36","53","OK"
"8invg","1","1","1","1","OK"
"8inwd","2","3","18","27","OK"
"8inwo","4","9","26","38","OK"
"8inwq","2","2","12","12","OK"
"8inwx","1","1","2","2","OK"
"8inz6","2","2","7","8","OK"
"8inz8","3","5","23","42","OK"
"8io28","1","2","7","9","OK"
"8io3k","1","2","2","2","OK"
"8io3v","2","2","2","2","OK"
"8io4k","1","1","1","1","OK"
"8io4t","1","1","2","2","OK"
"8io5j","5","12","121","181","OK"
"8io5s","6","15","221","310","OK"
"8io79","1","1","1","1","OK"
"8io7a","1","2","2","2","OK"
"8io8s","3","4","15","18","OK"
"8io95","2","3","9","11","OK"
"8io9t","1","1","2","3","OK"
"8ioac","1","1","4","8","OK"
"8ioad","3","5","60","94","Observation"
"8ioaf","2","4","34","56","OK"
"8iob1","3","5","11","12","OK"
"8ioby","1","2","3","4","OK"
"8iofb","2","2","3","3","OK"
"8iohm","1","1","1","1","OK"
"8ioj0","1","1","1","1","OK"
"8iok5","1","1","1","1","OK"
"8iokr","1","1","1","1","OK"
"8ioml","1","1","1","1","OK"
"8iomw","1","1","1","1","OK"
"8ionb","1","1","1","1","OK"
"8ionh","1","1","1","1","OK"
"8ionj","1","1","2","2","OK"
"8ioo5","1","2","3","3","OK"
"8ioo7","1","1","2","2","OK"
"8ioov","1","1","1","1","OK"
"8ioqe","4","8","74","104","OK"
"8ior0","1","1","2","2","OK"
"8iory","1","1","1","1","OK"
"8iosv","7","19","236","349","OK"
"8iot1","4","6","54","92","OK"
"8iott","1","1","1","1","OK"
"8iou1","1","1","2","3","OK"
"8iou5","1","1","2","2","OK"
"8iou8","2","4","16","31","OK"
"8ioui","1","1","2","2","OK"
"8ioul","1","1","2","2","OK"
"8iow5","1","2","7","7","OK"
"8iowu","2","5","8","13","OK"
"8ioyh","1","1","1","1","OK"
"8ioyz","1","1","1","1","OK"
"8iozi","2","2","6","6","OK"
"8ip10","2","2","2","2","OK"
"8ip1i","1","1","1","1","OK"
"8ip1v","4","6","112","173","OK"
"8ip45","43","117","736","1448","OK"
"8ip46","1","1","2","3","OK"
"8ip4d","28","92","1377","2217","OK"
"8ip5p","5","13","186","267","OK"
"8ip5q","3","7","31","52","OK"
"8ip65","1","1","1","1","OK"
"8ip71","5","9","95","158","Observation"
"8ip85","1","1","1","1","OK"
"8ip8o","1","1","2","2","OK"
"8ipat","1","2","2","2","OK"
"8ipcr","1","1","2","3","OK"
"8ipdk","1","1","2","2","OK"
"8ipdp","1","1","2","3","OK"
"8ipdr","1","1","2","2","OK"
"8ipeq","1","1","3","3","OK"
"8ipg0","1","1","1","2","OK"
"8ipg1","1","1","1","2","OK"
"8ipgq","1","1","4","6","OK"
"8ipgz","1","1","1","1","OK"
"8iph1","1","1","1","1","OK"
"8ipif","1","1","2","2","OK"
"8ipiu","1","1","2","2","OK"
"8ipks","1","2","4","7","OK"
"8ipls","5","12","19","28","OK"
"8ipm4","2","2","3","4","OK"
"8ipn0","1","1","1","2","OK"
"8ipoi","1","2","2","2","OK"
"8ipoo","6","9","67","90","OK"
"8ippe","1","2","2","2","OK"
"8ippl","1","1","2","2","OK"
"8ipr3","2","2","21","27","OK"
"8iprx","1","1","1","1","OK"
"8ipxe","2","3","23","32","OK"
"8ipxf","2","2","2","2","OK"
"8iq0e","4","6","28","45","OK"
"8iq0h","1","1","1","1","OK"
"8iq0l","2","5","14","22","OK"
"8iq0m","2","2","2","2","OK"
"8iq0q","1","2","7","10","OK"
"8iq0r","2","3","3","4","OK"
"8iq11","1","1","1","1","OK"
"8iq1n","1","2","2","2","OK"
"8iq1z","4","7","52","81","Observation"
"8iq22","3","4","26","36","OK"
"8iq3b","3","3","5","7","OK"
"8iq4r","6","8","72","96","OK"
"8iq53","13","27","625","859","OK"
"8iq7l","1","1","1","1","OK"
"8iq7q","2","2","4","5","OK"
"8iq85","1","1","3","4","OK"
"8iqbs","1","1","2","2","OK"
"8iqd8","1","1","1","1","OK"
"8iqde","1","2","7","7","OK"
"8iqe6","1","1","2","2","OK"
"8iqec","1","1","1","1","OK"
"8iqee","1","1","1","1","OK"
"8iqez","1","1","1","1","OK"
"8iqfg","1","2","2","2","OK"
"8iqhl","1","1","2","2","OK"
"8iqip","1","1","1","1","OK"
"8iqjj","1","1","1","1","OK"
"8iqk3","1","2","4","6","OK"
"8iqks","1","1","2","2","OK"
"8iqni","1","1","3","3","OK"
"8iqnn","3","3","4","4","OK"
"8iqnv","15","40","771","1322","OK"
"8iqp5","1","1","1","1","OK"
"8iqqe","1","1","2","2","OK"
"8iqr5","1","1","1","1","OK"
"8iqsf","1","1","1","1","OK"
"8iqsw","1","1","1","1","OK"
"8iqtd","1","1","1","1","OK"
"8iqth","7","19","26","29","OK"
"8iqu0","1","1","1","1","OK"
"8iqu4","1","1","1","1","OK"
"8iqu5","1","1","1","1","OK"
"8iqua","1","1","1","1","OK"
"8iqug","4","7","77","151","OK"
"8iqur","1","1","1","1","OK"
"8iquu","1","1","1","1","OK"
"8iqvd","1","1","1","1","OK"
"8iqvi","5","5","8","13","OK"
"8iqvo","1","1","2","2","OK"
"8iqvp","2","3","4","4","OK"
"8iqvs","1","1","3","3","OK"
"8iqw0","1","1","1","1","OK"
"8iqw1","3","4","45","59","OK"
"8iqw2","1","2","6","9","OK"
"8iqw6","2","3","19","28","OK"
"8iqw8","1","2","6","8","OK"
"8iqw9","1","1","3","5","OK"
"8iqwa","1","2","4","5","OK"
"8iqwb","1","1","2","2","OK"
"8iqwc","3","5","5","7","OK"
"8iqwe","1","1","1","1","OK"
"8iqwf","1","1","1","1","OK"
"8iqwy","1","1","1","1","OK"
"8iqx9","2","3","4","4","OK"
"8iqxa","1","1","4","5","OK"
"8iqxb","1","1","2","3","OK"
"8iqxi","1","1","1","1","OK"
"8iqym","1","1","1","1","OK"
"8iqyw","3","6","37","67","OK"
"8iqzc","2","7","56","68","OK"
"8iqzg","2","2","10","16","OK"
"8iqzh","2","4","27","45","OK"
"8iqzi","8","17","229","352","OK"
"8iqzk","6","10","122","173","OK"
"8iqzl","3","7","36","47","OK"
"8iqzm","3","4","20","27","OK"
"8iqzn","2","2","9","11","OK"
"8iqzo","2","3","19","27","OK"
"8iqzp","5","11","127","189","OK"
"8iqzs","5","6","69","87","OK"
"8iqzu","4","4","15","21","OK"
"8iqzw","5","13","131","208","OK"
"8iqzz","4","7","49","78","OK"
"8ir00","3","4","39","71","OK"
"8ir01","4","9","116","229","OK"
"8ir05","5","12","93","170","Fraud"
"8ir06","2","5","42","73","OK"
"8ir07","5","12","126","232","OK"
"8ir09","5","9","161","271","OK"
"8ir0d","2","4","27","38","OK"
"8ir0f","3","7","43","75","OK"
"8ir0i","1","1","3","3","OK"
"8ir0v","1","1","3","3","OK"
"8ir0z","1","1","1","1","OK"
"8ir14","2","3","12","14","OK"
"8ir16","2","3","15","23","OK"
"8ir1o","1","1","1","1","OK"
"8ir25","1","1","3","5","OK"
"8ir28","1","1","2","2","OK"
"8ir2b","1","2","4","4","OK"
"8ir2e","1","2","7","13","OK"
"8ir2l","2","2","4","5","OK"
"8ir2o","1","1","1","1","OK"
"8ir2s","1","1","1","1","OK"
"8ir3v","2","3","3","3","OK"
"8ir4d","1","1","1","1","OK"
"8ir6j","1","1","1","1","OK"
"8ir6k","1","1","1","1","OK"
"8ir6w","1","1","1","1","OK"
"8ir7h","1","1","1","1","OK"
"8ir96","3","5","43","60","OK"
"8irab","21","63","727","1054","OK"
"8irb0","2","3","4","5","OK"
"8irbp","3","5","39","69","OK"
"8irck","1","1","2","3","OK"
"8ircl","1","2","5","7","OK"
"8ircq","2","2","9","11","OK"
"8ircw","1","1","1","1","OK"
"8ircy","1","1","2","2","OK"
"8irdq","1","1","1","1","OK"
"8irdv","2","2","3","3","OK"
"8ire4","1","2","3","3","OK"
"8irek","1","1","1","1","OK"
"8irgx","1","1","1","2","OK"
"8irid","1","1","1","1","OK"
"8irih","4","10","81","151","OK"
"8iriv","4","14","22","27","OK"
"8irjv","1","3","4","4","OK"
"8irk4","4","4","19","33","OK"
"8irkm","2","4","5","5","OK"
"8irl1","1","1","1","1","OK"
"8irlc","8","15","129","219","OK"
"8irle","2","4","22","29","OK"
"8irll","4","9","56","65","Observation"
"8irob","89","161","2250","4326","OK"
"8irot","4","8","78","117","OK"
"8irq0","5","10","141","259","OK"
"8irqh","1","1","1","1","OK"
"8irqi","1","1","1","1","OK"
"8irqk","1","1","1","1","OK"
"8irr8","1","1","2","2","OK"
"8irr9","1","2","8","8","OK"
"8irrl","1","1","1","1","OK"
"8irrw","1","1","1","1","OK"
"8irrx","3","5","44","76","Observation"
"8irs5","2","3","15","20","OK"
"8irsq","1","1","1","1","OK"
"8irsy","2","3","6","9","OK"
"8irt8","2","3","14","18","OK"
"8irtb","1","1","1","1","OK"
"8irtc","1","2","3","3","OK"
"8irti","1","1","2","2","OK"
"8irtu","1","1","1","1","OK"
"8iru0","1","1","3","4","OK"
"8iru3","1","1","1","1","OK"
"8irui","15","42","82","82","OK"
"8iruq","1","1","1","1","OK"
"8irvj","4","8","81","142","OK"
"8irwu","1","1","1","1","OK"
"8irzv","1","1","1","1","OK"
"8is01","4","6","62","92","OK"
"8is0l","1","2","2","3","OK"
"8is1d","4","4","8","13","OK"
"8is20","1","2","5","6","OK"
"8is2b","6","11","170","206","OK"
"8is2k","4","8","92","141","Fraud"
"8is2p","1","1","3","3","OK"
"8is30","1","1","1","1","OK"
"8is32","1","1","1","1","OK"
"8is41","1","1","1","1","OK"
"8is47","2","3","5","5","OK"
"8is4p","1","1","1","1","OK"
"8is4w","5","17","60","65","OK"
"8is4x","2","2","3","6","OK"
"8is5e","5","9","102","194","OK"
"8is5f","1","1","2","2","OK"
"8is5h","5","12","200","300","Observation"
"8is5o","1","2","5","6","OK"
"8is5q","2","3","8","13","OK"
"8is5r","2","3","8","8","OK"
"8is6u","1","1","2","2","OK"
"8is82","5","16","109","213","OK"
"8is85","1","1","1","1","OK"
"8is87","2","3","15","19","OK"
"8is8g","2","2","11","16","OK"
"8isas","8","16","177","241","OK"
"8isat","6","18","283","561","OK"
"8isau","2","3","3","3","OK"
"8isbh","2","3","7","10","OK"
"8isbo","1","1","1","2","OK"
"8isbr","1","1","1","1","OK"
"8isbz","2","2","15","23","OK"
"8isch","4","10","139","247","Observation"
"8iscw","3","5","12","16","OK"
"8iscy","2","4","16","24","OK"
"8isd4","1","1","1","1","OK"
"8isd6","1","1","1","1","OK"
"8isdb","3","3","12","15","OK"
"8isdq","1","1","3","4","OK"
"8ise8","1","1","2","3","OK"
"8isei","2","2","2","3","OK"
"8ises","3","9","77","106","OK"
"8iseu","2","3","6","6","OK"
"8isf7","2","2","7","12","OK"
"8isfp","1","1","1","1","OK"
"8isfs","1","1","1","1","OK"
"8isgu","1","1","3","4","OK"
"8ish6","5","11","80","131","OK"
"8ishk","1","2","4","5","OK"
"8ishn","2","3","4","4","OK"
"8isi3","1","1","1","1","OK"
"8isj3","8","25","444","780","OK"
"8isj9","1","4","10","11","OK"
"8isje","1","2","12","16","OK"
"8isk1","1","1","1","1","OK"
"8isk6","1","1","1","1","OK"
"8islr","2","4","6","7","OK"
"8isme","1","1","2","3","OK"
"8ismw","1","1","1","1","OK"
"8isp2","1","1","1","1","OK"
"8isrm","2","5","20","25","OK"
"8isrt","1","1","1","1","OK"
"8issu","3","4","37","48","OK"
"8isvf","1","1","1","1","OK"
"8isxs","1","1","2","2","OK"
"8isxw","1","1","1","1","OK"
"8isyx","1","1","1","1","OK"
"8isz2","1","1","2","3","OK"
"8isz4","1","1","1","1","OK"
"8it0b","2","4","6","6","OK"
"8it0m","1","1","1","1","OK"
"8it0v","1","1","4","5","OK"
"8it18","1","1","2","3","OK"
"8it2h","5","6","56","104","OK"
"8it36","6","12","212","411","Fraud"
"8it3p","5","5","13","20","OK"
"8it4b","1","1","1","2","OK"
"8it51","2","4","18","28","OK"
"8it52","2","2","8","12","OK"
"8it54","2","3","14","14","OK"
"8it55","3","4","21","26","OK"
"8it57","1","1","3","3","OK"
"8it59","2","2","2","2","OK"
"8it5a","1","2","6","6","OK"
"8it5b","1","1","3","3","OK"
"8it5c","2","3","9","9","OK"
"8it5d","1","1","4","4","OK"
"8it5e","2","4","23","23","OK"
"8it5i","2","3","7","7","OK"
"8it5k","2","3","12","12","OK"
"8it5n","2","3","18","18","OK"
"8it5o","2","3","5","5","OK"
"8it5q","1","1","2","2","OK"
"8it5r","1","1","2","2","OK"
"8it5t","2","3","17","22","OK"
"8it63","1","1","1","1","OK"
"8it65","1","1","1","1","OK"
"8it66","1","1","1","1","OK"
"8it6j","1","2","4","4","OK"
"8it7k","1","1","4","4","OK"
"8it7m","1","1","1","1","OK"
"8it7o","1","2","5","5","OK"
"8it7p","1","1","4","4","OK"
"8it8j","2","4","15","19","OK"
"8it8l","1","1","1","1","OK"
"8it8q","1","2","2","2","OK"
"8it9g","7","26","180","261","OK"
"8it9n","1","1","2","3","OK"
"8it9p","4","9","92","134","OK"
"8it9w","5","6","57","82","OK"
"8itaa","2","3","3","3","OK"
"8itap","9","19","386","575","Observation"
"8itat","1","1","1","1","OK"
"8itb0","23","85","2127","4175","OK"
"8itb1","30","105","1518","2018","OK"
"8itcr","6","15","170","251","OK"
"8itcx","1","1","1","1","OK"
"8itdr","1","1","3","3","OK"
"8itdx","1","1","1","1","OK"
"8ite3","12","37","617","988","OK"
"8iteu","1","1","3","3","OK"
"8itf4","1","2","7","7","OK"
"8itfc","1","1","1","1","OK"
"8itgs","1","1","2","3","OK"
"8ith0","2","4","5","5","OK"
"8ith4","10","23","447","742","OK"
"8ith6","1","1","1","1","OK"
"8ithb","1","1","1","1","OK"
"8ithf","7","16","236","450","Observation"
"8ithn","1","1","2","2","OK"
"8ithu","2","4","28","37","OK"
"8ithz","1","1","1","1","OK"
"8itif","4","5","5","5","OK"
"8itio","1","1","1","1","OK"
"8itiu","3","3","8","13","OK"
"8itj5","3","4","9","11","OK"
"8itji","6","13","176","253","OK"
"8itk7","2","2","6","8","OK"
"8itka","1","1","1","1","OK"
"8itkq","1","2","4","4","OK"
"8itks","1","1","4","4","OK"
"8itkt","2","2","13","22","OK"
"8itl2","1","1","1","1","OK"
"8itl8","2","2","2","2","OK"
"8itla","1","1","1","1","OK"
"8itlh","2","2","12","21","OK"
"8itli","1","1","3","3","OK"
"8itlt","3","4","8","14","OK"
"8itly","3","3","20","38","OK"
"8itm2","1","1","1","1","OK"
"8itme","1","1","4","4","OK"
"8itmi","13","29","364","575","OK"
"8itmu","2","2","4","6","OK"
"8itnb","1","1","1","1","OK"
"8itod","3","5","49","49","OK"
"8itoe","1","1","2","2","OK"
"8itof","5","9","91","125","OK"
"8itop","5","15","106","207","OK"
"8itos","1","1","1","1","OK"
"8itoz","1","1","2","2","OK"
