"partnerid","TimeatVariance1Min","TimeatVariance5Min","TimeatVariance3Hr","TimeatVariance6Hr","status"
"8idp3","0.00","0.00","0.00","0.00","OK"
"8ie57","0.00","0.00","0.00","0.00","OK"
"8ie5k","0.00","0.00","0.00","0.00","OK"
"8ie7p","0.00","0.00","0.00","0.25","OK"
"8ie82","0.22","0.22","0.22","0.22","OK"
"8ie98","0.19","1.56","0.00","0.00","OK"
"8ie9s","0.00","0.00","0.00","0.19","OK"
"8iea1","0.16","0.25","0.25","0.67","OK"
"8ieaq","0.09","0.11","1.46","2.26","OK"
"8ieaz","0.30","0.44","16.60","43.69","OK"
"8ieb4","0.00","0.22","0.22","0.22","OK"
"8iebt","0.00","0.00","0.00","0.00","OK"
"8iebx","0.00","0.00","0.49","1.25","OK"
"8ief6","0.00","0.00","0.58","2.56","OK"
"8iefb","0.08","0.37","41.96","85.63","OK"
"8iefl","0.09","0.49","69.22","229.67","OK"
"8iefo","0.00","0.00","0.00","0.00","OK"
"8iefs","0.00","0.00","0.00","0.00","OK"
"8ieg2","0.01","0.06","4.85","7.08","OK"
"8iegi","0.00","0.00","0.00","0.00","OK"
"8ieh3","0.00","0.00","0.49","1.25","OK"
"8iehk","0.00","0.10","0.93","1.65","OK"
"8ieht","16.96","252.77","233325.76","999999.99","Observation"
"8iejt","0.00","0.00","0.00","0.00","OK"
"8iel9","0.09","0.52","59.87","211.61","OK"
"8ielc","0.00","0.00","0.23","1.11","OK"
"8iem5","0.14","1.81","435.53","1037.14","Fraud"
"8iemj","0.00","0.00","0.00","0.00","OK"
"8ien9","0.00","0.00","1.35","5.00","OK"
"8ieo7","0.00","0.00","0.00","0.00","OK"
"8ieol","0.00","0.00","0.15","0.49","OK"
"8ieqn","0.00","0.00","0.22","0.75","OK"
"8iequ","0.00","0.00","0.00","0.00","OK"
"8ies6","0.09","0.40","0.40","0.98","OK"
"8ies8","0.05","0.31","26.55","85.98","OK"
"8ieso","0.00","0.00","0.00","0.00","OK"
"8iet9","3.76","48.22","30405.20","118724.08","OK"
"8ietw","0.00","0.00","0.19","0.56","OK"
"8ieuh","0.00","0.00","0.00","0.00","OK"
"8iev9","0.00","0.00","0.00","0.00","OK"
"8ievj","0.00","0.07","25.00","25.00","OK"
"8ievt","0.16","0.22","0.69","1.81","OK"
"8ievz","1.91","3.93","447.94","1326.24","Fraud"
"8iex1","1.73","2.91","39.19","42.00","OK"
"8iex9","0.47","3.98","1529.13","6204.90","OK"
"8iexi","0.00","0.00","0.56","1.44","OK"
"8iext","0.00","0.00","0.56","1.44","OK"
"8if13","0.51","1.96","7.92","11.97","OK"
"8if2b","0.00","0.00","0.19","0.19","OK"
"8if3m","0.04","0.25","2.08","3.28","OK"
"8if4w","0.00","0.00","0.00","0.00","OK"
"8if5c","0.00","0.00","0.00","0.00","OK"
"8if5p","0.04","0.41","0.00","0.00","OK"
"8if6n","0.00","0.00","0.00","0.00","OK"
"8if7b","0.00","0.00","0.00","0.00","OK"
"8if9o","13.08","190.85","37777.25","105200.56","Fraud"
"8ifa1","29.21","530.16","512421.64","999999.99","Observation"
"8ifan","0.03","0.03","3.46","5.41","OK"
"8ifcw","0.31","1.10","332.40","1275.69","Fraud"
"8ifem","0.00","0.00","0.00","0.00","OK"
"8iff5","0.19","0.19","2.25","2.25","OK"
"8iff6","0.00","0.00","0.00","0.00","OK"
"8iffk","0.11","0.36","27.42","93.63","OK"
"8ifg0","0.00","0.00","0.00","0.00","OK"
"8ifg9","0.00","0.00","0.00","0.00","OK"
"8ifgn","0.00","0.19","0.89","0.25","OK"
"8ifik","0.05","0.32","16.92","43.78","OK"
"8ifm5","0.00","0.00","0.00","0.00","OK"
"8ifma","0.05","0.22","14.11","26.64","OK"
"8ifmk","0.00","0.00","0.00","0.00","OK"
"8ifna","0.00","0.00","0.00","0.20","OK"
"8ifnd","0.00","0.00","0.00","0.00","OK"
"8ifog","0.11","0.45","11.79","24.74","OK"
"8ifov","0.00","0.05","2.13","3.41","OK"
"8ifqc","0.03","0.10","6.53","16.08","OK"
"8ifqi","0.58","4.89","1857.10","6965.91","Fraud"
"8ifqk","2.74","9.64","60.81","174.69","OK"
"8ifvn","0.00","0.00","0.00","0.00","OK"
"8ifwd","0.00","0.00","0.22","0.22","OK"
"8ifzw","0.00","0.00","0.14","0.24","OK"
"8ig0z","0.00","0.00","0.00","0.00","OK"
"8ig13","0.03","0.67","25.00","47.33","OK"
"8ig4x","0.00","0.00","0.22","0.22","OK"
"8ig5c","0.00","0.00","0.00","0.14","OK"
"8ig76","0.07","0.23","18.34","61.76","OK"
"8ig8i","0.20","0.55","2.97","8.84","OK"
"8igb7","0.00","0.00","2.07","4.77","OK"
"8igbs","0.00","0.00","0.75","2.00","OK"
"8igbt","0.00","0.00","0.56","1.44","OK"
"8igbu","0.00","0.12","0.64","1.50","OK"
"8igc1","0.14","0.58","2.12","3.14","OK"
"8igcb","0.00","0.09","0.48","0.81","OK"
"8igdb","0.00","0.00","0.00","0.22","OK"
"8igdp","0.00","0.00","0.00","0.00","OK"
"8igem","0.09","0.48","1.14","1.14","OK"
"8igew","0.00","0.00","0.00","0.25","OK"
"8igfs","0.06","0.10","5.84","9.97","OK"
"8igh8","0.00","0.00","0.12","0.56","OK"
"8igih","0.00","0.00","0.00","0.00","OK"
"8igj2","0.02","0.07","1.92","4.52","OK"
"8igji","0.00","0.69","0.00","0.00","OK"
"8igkk","0.00","0.00","0.00","0.00","OK"
"8igkp","0.00","0.00","0.96","1.31","OK"
"8igl1","0.10","0.25","2.44","6.15","OK"
"8igl7","0.19","0.19","0.19","0.19","OK"
"8iglk","0.76","2.25","4.22","4.22","OK"
"8igm1","0.00","0.00","0.00","0.00","OK"
"8igm8","0.33","0.91","6.89","6.89","OK"
"8igmr","0.22","0.25","3.44","5.50","OK"
"8ign1","0.00","0.00","0.00","0.00","OK"
"8ignc","0.00","0.25","0.25","0.25","OK"
"8igne","0.00","0.00","0.00","0.19","OK"
"8igo3","0.20","0.20","1.11","0.98","OK"
"8igo7","0.12","0.24","24.58","74.33","OK"
"8igox","0.00","0.06","0.58","1.11","OK"
"8igpd","1.00","1.00","0.00","0.00","OK"
"8igpr","0.00","0.00","0.00","0.19","OK"
"8igql","0.08","0.91","2.98","7.44","OK"
"8igqx","0.00","0.00","0.00","0.00","OK"
"8igr1","0.00","0.00","0.00","0.00","OK"
"8igsh","0.00","0.00","0.00","0.00","OK"
"8igsi","0.00","0.00","0.89","0.89","OK"
"8igts","0.00","0.00","0.00","0.25","OK"
"8igv1","0.09","0.13","6.91","8.19","OK"
"8igvd","0.00","0.19","0.19","0.19","OK"
"8igy3","0.05","0.15","0.99","0.99","OK"
"8igyy","0.32","2.11","874.18","3614.49","Observation"
"8igz8","0.28","0.56","0.14","0.14","OK"
"8igzo","0.00","0.00","0.00","0.00","OK"
"8igzs","0.00","0.00","0.00","0.00","OK"
"8igzy","0.00","0.00","0.00","0.00","OK"
"8igzz","0.00","0.00","0.00","0.00","OK"
"8ih09","0.17","1.71","416.98","607.41","Fraud"
"8ih1h","0.20","0.20","2.69","2.69","OK"
"8ih1j","0.00","0.00","0.00","0.00","OK"
"8ih20","0.00","0.00","0.91","2.98","OK"
"8ih2n","0.03","0.22","7.35","19.16","OK"
"8ih3o","0.00","0.22","0.22","0.22","OK"
"8ih4k","0.00","0.19","0.25","0.25","OK"
"8ih6i","0.00","0.00","0.00","0.00","OK"
"8iha2","0.23","1.40","448.40","1550.99","Observation"
"8ihab","0.00","0.00","0.33","0.41","OK"
"8ihac","0.00","0.00","0.00","0.00","OK"
"8ihaj","0.00","0.09","0.54","1.11","OK"
"8ihba","0.19","1.53","685.62","2006.85","Observation"
"8ihbr","0.00","0.00","0.00","0.00","OK"
"8ihbx","1.56","18.02","10325.29","39157.62","OK"
"8ihc4","0.29","1.98","414.35","1650.13","OK"
"8ihcj","0.00","0.00","0.00","0.00","OK"
"8ihck","0.00","0.00","0.86","2.56","OK"
"8ihcm","0.00","0.00","0.00","0.00","OK"
"8ihct","0.00","0.00","0.00","0.00","OK"
"8ihcu","0.00","0.00","0.21","0.81","OK"
"8ihd5","0.00","0.00","0.14","0.69","OK"
"8ihdv","0.06","0.30","3.27","6.58","OK"
"8ihe5","0.14","0.72","122.22","252.56","OK"
"8ihhk","0.00","0.00","0.00","0.00","OK"
"8ihij","0.00","0.00","0.25","0.25","OK"
"8ihik","0.02","0.26","10.92","21.51","OK"
"8ihk7","0.56","7.56","5185.08","20552.75","Observation"
"8ihkj","0.00","0.00","0.00","0.00","OK"
"8ihkt","0.04","0.23","23.92","69.17","OK"
"8ihl1","0.00","0.00","0.00","0.00","Fraud"
"8ihl9","0.05","0.40","58.89","178.79","OK"
"8ihlr","0.04","0.22","1.83","6.85","OK"
"8ihn7","0.00","0.07","2.36","7.69","OK"
"8ihna","0.06","0.20","16.60","39.79","OK"
"8ihnk","0.00","0.07","1.36","1.84","OK"
"8ihot","0.00","0.00","0.16","0.16","OK"
"8ihpi","318.99","7476.87","999999.99","999999.99","OK"
"8ihqx","0.07","0.28","20.02","49.64","OK"
"8ihrz","0.00","0.08","2.98","4.81","OK"
"8ihs5","0.00","0.00","0.75","2.16","OK"
"8ihsd","0.21","1.48","14.13","37.24","OK"
"8ihsp","0.10","0.15","3.55","10.07","OK"
"8ihth","0.00","0.38","1.14","4.56","OK"
"8ihtk","0.00","0.00","0.00","0.00","OK"
"8ihtv","0.09","0.48","6.56","12.06","OK"
"8ihue","0.00","0.00","0.25","0.25","OK"
"8ihuk","0.00","0.00","0.22","0.22","OK"
"8ihup","0.11","0.38","50.11","172.83","OK"
"8ihuv","0.00","0.00","0.00","0.00","OK"
"8ihuy","0.00","0.00","0.25","0.25","OK"
"8ihv1","0.16","0.34","6.30","17.91","OK"
"8ihvb","0.00","0.00","0.00","0.00","OK"
"8ihwi","0.00","0.00","0.00","0.00","OK"
"8ihwm","0.00","0.19","0.22","0.22","OK"
"8ihxc","0.00","0.00","0.00","0.00","OK"
"8ihxl","0.00","0.00","0.00","0.00","OK"
"8ihxp","0.00","0.00","0.00","0.00","OK"
"8ihxy","0.00","0.00","0.00","0.00","OK"
"8ihy6","0.00","0.00","0.00","0.00","OK"
"8ihyb","0.00","0.00","0.12","0.12","OK"
"8ihyi","0.00","0.00","0.00","0.00","OK"
"8ihz5","0.00","0.00","0.81","0.56","OK"
"8ihzv","0.00","0.00","0.00","0.00","OK"
"8ihzw","0.00","0.00","0.14","0.64","OK"
"8ihzy","0.54","3.42","819.52","1280.61","OK"
"8ii07","0.00","0.16","1.00","1.06","OK"
"8ii0g","0.09","0.37","23.92","63.79","OK"
"8ii0i","0.08","0.28","10.82","43.75","OK"
"8ii0k","5.38","20.02","50.37","57.61","OK"
"8ii11","0.74","7.70","246.22","856.91","OK"
"8ii14","0.06","0.35","1.16","3.11","OK"
"8ii1p","0.00","0.00","0.19","0.24","OK"
"8ii1r","0.11","0.69","99.52","178.25","OK"
"8ii26","0.12","0.96","273.40","745.82","OK"
"8ii2b","0.16","0.91","215.02","781.15","OK"
"8ii2l","0.00","0.00","0.25","0.25","OK"
"8ii2n","0.00","0.00","0.00","0.00","OK"
"8ii3a","0.13","0.70","50.22","89.89","OK"
"8ii4l","0.14","0.14","0.69","0.22","OK"
"8ii4n","0.00","0.00","0.00","0.00","OK"
"8ii4y","0.00","0.00","0.00","0.00","OK"
"8ii58","0.02","0.29","5.04","11.85","OK"
"8ii5a","0.00","0.12","1.70","2.88","OK"
"8ii5u","0.00","0.00","0.00","0.00","OK"
"8ii6o","0.11","0.11","0.25","1.69","OK"
"8ii7u","0.11","2.37","717.84","663.04","OK"
"8ii9a","0.05","0.24","59.48","196.44","OK"
"8iiai","0.00","0.00","0.00","0.00","OK"
"8iiby","0.00","0.00","0.00","0.25","OK"
"8iic8","0.00","0.00","0.00","0.00","OK"
"8iicn","0.00","0.00","0.00","0.00","OK"
"8iid3","0.19","1.46","448.71","1023.25","OK"
"8iid4","31.16","599.81","111454.15","280499.63","Fraud"
"8iidh","0.12","0.38","2.10","3.44","OK"
"8iidk","2.44","15.74","1991.47","4002.08","OK"
"8iidm","0.46","3.71","1183.28","5353.10","OK"
"8iidn","2.64","20.80","5606.04","13170.79","OK"
"8iidr","2.38","19.13","5839.26","12841.31","OK"
"8iie9","0.00","0.00","0.91","0.98","OK"
"8iieo","0.00","0.00","0.00","0.00","OK"
"8iig5","0.79","5.41","689.61","2572.09","OK"
"8iigf","0.00","0.00","0.00","0.00","OK"
"8iigk","0.00","0.00","0.00","0.00","OK"
"8iigl","1.98","11.42","2090.72","4621.25","OK"
"8iigz","0.00","0.03","3.35","4.09","OK"
"8iih9","0.22","0.95","192.77","410.98","OK"
"8iiii","0.00","0.00","0.00","0.00","OK"
"8iiiv","0.00","0.00","0.00","0.22","OK"
"8iij1","0.00","0.00","0.00","0.00","OK"
"8iijd","0.00","0.25","0.25","0.25","OK"
"8iijk","0.03","0.25","11.49","39.92","OK"
"8iijt","0.49","2.82","839.25","3215.48","OK"
"8iik1","1.02","9.48","3280.51","12430.86","OK"
"8iilm","0.00","0.00","0.00","0.00","OK"
"8iim7","0.00","0.00","0.00","0.00","OK"
"8iimi","0.00","0.00","0.00","0.00","OK"
"8iina","0.33","2.31","1031.84","3301.56","OK"
"8iinm","0.00","0.00","0.00","0.00","OK"
"8iiov","0.00","0.11","0.20","0.58","OK"
"8iiq8","0.00","0.00","0.89","0.89","OK"
"8iiqq","0.00","0.00","0.00","0.00","OK"
"8iir0","0.10","1.25","50.47","58.00","OK"
"8iird","0.00","0.06","3.19","5.41","OK"
"8iitn","0.00","0.00","0.00","0.00","OK"
"8iitu","0.07","0.43","78.01","173.46","OK"
"8iitv","0.35","2.36","10.64","4.69","OK"
"8iivd","0.07","0.48","62.07","228.24","OK"
"8iivr","0.04","0.21","15.61","38.10","OK"
"8iiwo","0.00","0.00","0.22","0.22","OK"
"8iix3","0.00","0.00","0.00","0.00","OK"
"8iixo","0.02","0.09","1.89","4.55","OK"
"8iixv","0.00","0.11","4.77","5.11","OK"
"8iixy","0.00","0.00","0.16","0.16","OK"
"8iixz","0.19","0.22","0.22","0.22","OK"
"8iiy4","0.12","0.66","122.02","341.56","OK"
"8iiyk","0.07","0.58","3.02","6.08","OK"
"8ij00","0.00","0.00","0.00","0.00","OK"
"8ij02","0.06","0.25","2.32","3.61","OK"
"8ij0g","3.15","45.05","30627.27","110371.92","OK"
"8ij0y","0.27","2.90","64.88","106.69","OK"
"8ij1v","0.00","0.00","0.00","0.00","OK"
"8ij22","0.04","0.27","1.41","3.35","OK"
"8ij28","0.00","0.00","0.00","0.00","OK"
"8ij2q","0.08","0.25","12.11","43.82","OK"
"8ij2z","0.03","0.09","9.48","22.33","OK"
"8ij34","0.00","0.00","0.00","0.00","OK"
"8ij3p","0.00","0.00","0.00","0.00","OK"
"8ij42","0.18","0.91","184.32","533.63","OK"
"8ij4e","0.19","0.19","0.22","0.22","OK"
"8ij4s","0.00","0.00","0.00","0.00","OK"
"8ij4w","0.00","0.00","0.16","0.25","OK"
"8ij4y","0.07","0.45","53.16","172.33","OK"
"8ij4z","0.00","0.00","0.11","0.25","OK"
"8ij59","0.22","1.42","661.48","2274.59","OK"
"8ij5w","3.25","9.30","164.64","293.94","OK"
"8ij62","0.00","0.00","0.00","0.00","OK"
"8ij63","0.08","0.36","1.92","3.33","OK"
"8ij6x","0.00","0.00","0.41","0.91","OK"
"8ij77","0.00","0.00","0.00","0.00","OK"
"8ij7g","0.00","0.00","0.00","0.00","OK"
"8ij8t","0.00","0.25","0.00","0.00","OK"
"8ij92","0.32","1.97","300.81","794.67","OK"
"8ij9m","0.10","0.54","82.74","222.21","OK"
"8ijat","0.17","0.25","1.81","3.92","OK"
"8ijb4","0.00","0.00","0.94","1.56","OK"
"8ijb7","0.00","0.03","1.49","4.09","OK"
"8ijb8","1.67","21.99","16524.08","59754.56","OK"
"8ijba","1.56","20.17","16751.68","66349.87","OK"
"8ijbf","1.23","16.84","11398.93","28380.40","OK"
"8ijcm","0.23","0.76","22.53","53.52","OK"
"8ijd3","0.05","0.05","0.72","1.95","OK"
"8ijdf","0.00","0.00","0.00","0.00","OK"
"8ije6","0.00","0.00","0.00","0.14","OK"
"8ijed","0.00","0.00","0.00","0.00","OK"
"8ijei","0.06","0.16","0.69","2.00","OK"
"8ijeq","0.00","0.00","0.22","0.22","OK"
"8ijf6","0.00","0.00","0.16","0.16","OK"
"8ijfb","0.09","0.32","10.70","40.06","OK"
"8ijfd","0.13","0.67","79.29","128.22","OK"
"8ijfl","0.00","0.00","0.00","0.00","OK"
"8ijgn","0.00","0.00","0.00","0.00","OK"
"8ijj1","0.00","0.00","0.00","0.00","OK"
"8ijjb","0.00","0.00","0.89","2.25","OK"
"8ijlc","0.00","0.00","0.00","0.00","OK"
"8ijmb","0.00","0.00","0.00","0.00","OK"
"8ijod","0.02","0.21","2.59","7.08","OK"
"8ijq9","0.00","0.00","0.35","0.78","OK"
"8ijql","0.19","0.44","9.39","29.41","Observation"
"8ijqm","0.00","0.00","0.00","0.00","OK"
"8ijqn","0.00","0.00","0.00","0.00","OK"
"8ijqw","0.14","0.14","0.69","0.69","OK"
"8ijro","0.03","0.16","11.67","50.25","OK"
"8ijs4","0.00","0.00","0.00","0.00","OK"
"8ijsn","0.00","0.10","0.19","0.22","OK"
"8ijsu","0.00","0.00","0.19","0.22","OK"
"8ijtd","0.00","0.00","0.00","0.00","OK"
"8ijub","0.00","0.05","1.49","2.20","OK"
"8ijva","0.00","0.00","0.22","1.00","OK"
"8ijw3","0.05","0.21","1.66","3.41","OK"
"8ijwf","0.00","0.00","0.00","0.22","OK"
"8ijx4","0.10","0.10","0.10","0.10","OK"
"8ijy9","0.04","0.11","1.09","3.02","OK"
"8ijyd","0.10","0.51","78.02","119.58","OK"
"8ijzd","0.30","2.59","1334.58","4194.69","Observation"
"8ijze","0.06","0.15","18.39","69.58","OK"
"8ijzf","0.00","0.00","0.20","0.56","OK"
"8ijzi","1.36","18.36","2300.72","5913.30","OK"
"8ijzj","0.17","1.05","340.54","1293.79","Fraud"
"8ijzx","2.35","36.87","31617.36","89973.36","OK"
"8ik0f","0.00","0.00","0.25","0.00","OK"
"8ik0g","0.00","0.00","0.00","0.00","OK"
"8ik0y","3.22","6.50","29.56","29.56","OK"
"8ik15","0.00","0.00","0.00","0.00","OK"
"8ik16","0.00","0.00","0.11","0.25","OK"
"8ik1o","0.00","0.00","0.00","0.00","OK"
"8ik1t","0.00","0.00","0.12","0.22","OK"
"8ik2b","0.13","0.13","3.03","5.85","OK"
"8ik2u","0.00","0.04","1.92","2.89","OK"
"8ik4w","0.00","0.05","0.40","1.09","OK"
"8ik58","2.75","41.91","34996.55","122187.72","OK"
"8ik59","0.05","0.27","5.30","10.36","OK"
"8ik67","0.00","0.00","0.00","0.00","OK"
"8ik6c","0.00","0.00","0.41","0.47","OK"
"8ik6x","0.00","0.00","0.00","0.00","OK"
"8ik7d","0.04","0.34","15.36","39.46","OK"
"8ik7m","0.00","0.00","0.00","0.00","OK"
"8ik7q","0.00","0.00","0.00","0.00","OK"
"8ik9c","0.14","0.24","0.19","0.22","OK"
"8ik9l","0.00","0.00","0.00","0.22","OK"
"8ik9s","0.00","0.00","0.22","0.64","OK"
"8ik9t","0.05","0.63","88.44","276.00","OK"
"8ika3","0.00","0.00","0.44","1.71","OK"
"8ikah","0.40","3.50","1108.56","2721.67","OK"
"8ikap","0.00","0.00","0.00","0.00","OK"
"8ikaq","0.00","0.00","0.00","0.22","OK"
"8ikb5","0.10","0.33","5.46","14.18","OK"
"8ikba","0.00","0.06","2.33","2.88","OK"
"8ikc8","0.00","0.00","0.00","0.00","OK"
"8ikdj","0.05","0.05","5.55","13.25","OK"
"8ikdw","0.00","0.03","7.08","20.69","OK"
"8ike2","0.00","0.00","0.79","1.67","OK"
"8ikf1","0.00","0.06","1.38","1.36","OK"
"8ikfo","12.50","11.56","0.00","0.00","OK"
"8ikg6","0.00","0.08","0.47","0.98","OK"
"8ikg9","0.00","0.00","0.00","0.22","OK"
"8iki8","0.00","0.00","0.00","0.00","OK"
"8ikip","0.12","0.54","95.10","258.75","OK"
"8ikjp","0.08","0.15","1.47","1.04","OK"
"8iklg","0.00","0.00","0.00","0.00","OK"
"8ikm9","0.11","0.44","23.03","70.19","OK"
"8ikme","0.14","0.28","4.07","11.05","OK"
"8ikmz","0.00","0.00","0.00","0.00","OK"
"8ikn6","0.05","0.30","14.03","39.67","OK"
"8ikna","2.09","5.24","31.35","31.35","OK"
"8ikou","0.03","0.18","23.85","71.60","OK"
"8ikpq","0.10","0.37","29.57","102.95","Observation"
"8ikr4","0.11","0.60","189.08","642.33","OK"
"8iks0","0.00","0.06","1.40","3.11","OK"
"8ikt9","18.22","444.29","181636.84","167072.69","Fraud"
"8ikuf","0.00","0.00","0.00","0.00","OK"
"8ikvr","0.17","0.27","17.14","58.94","OK"
"8ikyc","0.00","0.00","0.00","0.00","OK"
"8ikzq","0.13","0.85","158.41","634.99","OK"
"8il0o","2.64","33.77","24728.57","101293.78","Fraud"
"8il17","0.00","0.00","0.00","0.22","OK"
"8il1w","0.32","2.60","847.71","3216.02","OK"
"8il22","0.00","0.02","2.65","6.25","OK"
"8il2j","0.00","0.11","0.96","1.19","OK"
"8il2x","0.18","0.89","233.20","736.49","OK"
"8il3g","0.08","0.46","34.08","136.22","OK"
"8il3o","0.00","0.00","0.19","0.19","OK"
"8il3v","0.13","0.48","24.78","77.76","OK"
"8il4c","0.05","0.36","1.98","6.51","OK"
"8il4n","0.07","0.42","87.49","239.64","OK"
"8il4r","0.00","0.12","0.64","0.64","OK"
"8il6b","0.36","3.20","70.41","78.36","OK"
"8il79","0.06","0.17","2.75","4.74","OK"
"8il7m","0.00","0.00","0.00","0.00","OK"
"8il8k","0.12","0.12","0.56","0.64","OK"
"8ilbu","0.01","0.08","9.81","15.25","OK"
"8ilbx","1019.77","11260.15","999999.99","999999.99","OK"
"8ilc9","0.00","0.00","0.00","0.00","OK"
"8ildb","0.00","0.00","0.35","1.05","OK"
"8ildi","1.46","18.10","9609.90","39389.82","OK"
"8ildn","0.00","0.00","0.10","0.56","OK"
"8ilee","0.00","0.00","0.00","0.00","OK"
"8ilel","0.00","0.16","2.33","2.24","OK"
"8ilf9","0.02","0.22","13.47","31.39","OK"
"8ilff","0.00","0.63","9.39","10.00","OK"
"8ilfu","0.15","1.02","273.37","756.85","OK"
"8ilh8","0.00","0.00","0.00","0.00","OK"
"8ili5","0.02","0.13","3.48","8.02","OK"
"8iljx","1.07","11.48","4891.29","15983.56","OK"
"8iljy","0.03","0.18","13.04","30.05","OK"
"8ill4","0.16","0.16","0.16","0.25","OK"
"8ilm3","0.00","0.00","0.00","0.00","OK"
"8ilm4","0.00","0.06","1.53","4.25","OK"
"8ilma","0.00","0.00","0.00","0.00","OK"
"8ilmh","0.25","0.25","0.25","0.25","OK"
"8ilnq","0.00","0.00","0.00","0.00","OK"
"8ilnu","0.05","0.09","1.89","5.42","OK"
"8iloh","0.00","0.00","0.64","0.64","OK"
"8ilok","1.59","19.35","9277.42","18715.98","Observation"
"8ilp2","0.00","0.00","0.14","0.64","OK"
"8ilqt","0.64","7.03","3420.40","10173.92","OK"
"8ils4","0.00","0.00","0.00","0.00","OK"
"8ils9","0.68","6.58","2133.18","7661.02","Observation"
"8ilu4","0.00","0.00","0.00","0.00","OK"
"8iluh","0.00","0.25","0.25","0.25","OK"
"8iluo","0.00","0.00","0.00","0.25","OK"
"8iluy","0.30","7.84","1017.32","3128.39","Observation"
"8ilyg","0.00","0.00","0.56","0.56","OK"
"8ilzp","0.11","0.24","18.54","40.74","OK"
"8ilzu","0.00","0.00","0.00","0.00","OK"
"8im0u","0.16","0.84","173.52","466.71","OK"
"8im11","0.00","0.00","0.00","0.00","OK"
"8im12","0.00","0.00","0.00","0.00","OK"
"8im1a","0.00","0.00","0.00","0.00","OK"
"8im1j","0.00","0.00","0.00","0.00","OK"
"8im29","0.00","0.00","0.22","0.22","OK"
"8im41","0.03","0.14","8.91","27.81","OK"
"8im4f","0.09","2.97","1778.47","2567.19","OK"
"8im4k","0.00","0.00","0.12","0.12","OK"
"8im4l","0.00","0.00","0.19","0.19","OK"
"8im50","0.00","0.00","0.00","0.00","OK"
"8im59","0.89","9.29","5980.34","17635.15","OK"
"8im6c","0.00","0.29","2.05","2.69","OK"
"8im6t","0.93","10.57","6175.32","13448.59","OK"
"8im78","0.02","0.14","7.46","19.54","OK"
"8im90","0.00","0.00","0.00","0.00","OK"
"8im9a","1.14","11.83","4691.70","17510.37","OK"
"8imbb","0.00","0.00","0.00","0.00","OK"
"8imcs","0.09","2.92","1642.98","2251.69","OK"
"8imd2","75.51","1734.05","999999.99","999999.99","OK"
"8imdp","0.00","0.00","0.00","0.00","OK"
"8imdt","0.00","0.00","2.00","6.86","OK"
"8ime3","0.05","0.23","12.39","35.44","OK"
"8ime7","0.04","0.23","14.10","28.08","OK"
"8imef","0.75","0.75","0.75","2.00","OK"
"8imfu","0.00","0.00","0.00","0.00","OK"
"8img5","0.00","0.00","0.00","0.00","OK"
"8imgt","0.78","8.54","6194.15","22611.48","OK"
"8imh7","0.00","0.00","0.16","0.25","OK"
"8imho","0.00","0.00","0.25","0.25","OK"
"8imhp","0.00","0.00","0.00","0.00","OK"
"8imhz","0.00","0.00","0.78","2.61","OK"
"8imi0","0.22","0.22","0.22","0.22","OK"
"8imib","0.22","0.22","2.10","4.47","OK"
"8imik","0.00","0.00","0.00","0.00","OK"
"8imk8","3.19","59.63","23408.50","27848.00","Observation"
"8imkc","0.07","0.45","53.36","145.16","Observation"
"8imkd","0.03","0.33","36.41","70.33","OK"
"8imko","0.00","0.00","0.25","0.25","OK"
"8immj","8.53","119.96","117375.99","511958.71","OK"
"8immk","0.01","0.05","9.69","19.39","OK"
"8immq","0.00","0.00","0.00","0.00","OK"
"8immu","0.00","0.00","0.24","0.24","OK"
"8imna","0.10","0.45","43.21","55.11","OK"
"8imob","0.21","1.18","218.12","908.95","OK"
"8impo","0.06","0.22","15.91","17.41","OK"
"8imqe","0.22","1.93","1168.46","4291.75","OK"
"8imqn","0.00","0.00","0.00","0.00","OK"
"8imrg","0.53","1.22","1.20","1.20","OK"
"8imrr","0.11","0.54","37.71","118.00","OK"
"8ims6","0.13","0.72","125.51","397.92","Fraud"
"8imt7","0.00","0.00","0.00","0.00","OK"
"8imtk","0.00","0.00","0.14","0.64","OK"
"8imtz","0.00","0.00","0.00","0.00","OK"
"8imu3","0.00","0.00","0.93","2.96","OK"
"8imv2","0.19","0.42","12.85","31.98","OK"
"8imvn","2.79","38.80","22771.45","71595.67","OK"
"8imvu","0.00","0.00","0.25","0.25","OK"
"8imw6","0.00","0.00","0.24","0.69","OK"
"8imwm","0.01","0.11","4.92","15.17","OK"
"8imwn","0.02","0.17","1.66","5.76","OK"
"8imwx","0.72","6.18","2284.39","9635.25","OK"
"8imxk","0.00","0.00","0.00","0.00","OK"
"8imxz","0.07","0.07","0.45","0.25","OK"
"8imy8","0.00","0.00","0.00","0.00","OK"
"8imyq","0.00","0.00","0.00","0.00","OK"
"8imyz","0.22","0.22","1.00","1.00","OK"
"8imz2","0.00","0.06","1.06","1.36","OK"
"8imza","0.00","0.05","1.69","2.44","OK"
"8imzd","0.79","8.39","3641.91","10375.87","OK"
"8imze","0.10","0.46","10.43","29.81","OK"
"8imzr","0.04","0.18","22.59","84.44","OK"
"8imzv","0.03","0.20","16.49","73.92","OK"
"8in00","0.00","0.00","0.00","0.00","OK"
"8in07","0.25","0.67","4.00","4.00","OK"
"8in0d","7.26","119.94","47758.56","212236.22","OK"
